id,name
uxcanvas,UXCanvas.ai
lovart,Lovart
dotgui,dotGUI contributors
figspecs,FigSpecs
plexui,Plex UI
program-ui,Program UI / BuninUX
dmaya,dMaya
dstoai,DStoAI
youware,YouWare
jeda,Jeda.ai
niki,Niki Studio
gendesigns,GenDesigns
mimic-ai,Mimic AI contributors
adalo,Adalo
microsoft,Microsoft
squarespace,Squarespace
one-com,one.com
brilliant,Brilliant Design Ltd
locofy,Locofy Pte. Ltd.
dualite,Dualite
we0,蔚灵深度（杭州）科技有限公司
visdiff,Visdiff
zigma,Zigma by NextUI
codejet,Codejet
rocket-new,Rocket USA Inc.
mitsubishi-electric,Mitsubishi Electric
elephancube,Elephancube Inc.
aidesigner,AIDesigner Inc.
dentsu-digital,Dentsu Digital Inc.
layermate,Layermate Inc. (Goodpatch group)
musho,Musho
flato,Flato
komposo,Komposo
pixello,Pixello
disenia,DisenIA
codia,Codia AI
quby,Quby
artiso,ARTISO AI
inescop-iti,INESCOP and ITI
jenova,Jenova AI
ux-studio-ai,UX Studio AI
holst-ai,Холст.ИИ
ai-design-space,AI DESIGN SPACE
easeui,EaseUI
appy-pie,Appy Pie
rosebud-ai,Rosebud AI
deepshot-inc,DeepShot Inc.
pptcraft,PPTCraft
influencer-studio,Influencer Studio
reel-studio,Reel Studio
autogent,Autogent
slidex,SlideX
zoea,Zoea
story,Story.com
preso,Preso
visk,Visk
deckscript,DeckScript
recraft,Recraft
kittl,Kittl
dafty,Dafty
autodesk,Autodesk
hemline,Hemline
gadidokan,GadiDokan Pvt. Ltd.
archgen,ArchGen
prompt2cad,Prompt2CAD
forgent3d,Forgent3D
adder-labs,Adder Labs
maker42,42Maker
mercer-design-studio,Mercer Design Studio Inc.
buildcad,BuildCAD AI
cadcursor,CadCursor
architechtures,ARCHITEChTURES
bezi,Bezi
unity,Unity
dressx,DRESSX / More Dash Inc.
bosi-yunchuang,Shenzhen Bosi Yunchuang Technology
orbis-intelligence,Orbis
tapcanvas,TapCanvas
uxbot,UXbot
autocraft,Autocraft
hyperplane-design,Hyperplane
backdraft,Backdraft
vberai,Shanghai Xingyun Network Technology
qinaxis,QINAXIS TECHNOLOGY GROUP LIMITED
mowgli-ai,Mowgli AI
uitiful,Uitiful
websim-inc,Websim Inc.
gnucleus-ai,gNucleus AI
yuantiao-technology,Hangzhou Yuantiao Technology
soulcanvas,灵境画布
aipto,AIPTO
dateng,Shenzhen Dateng Information Technology
layout-design,Layout
typeui,TypeUI
devwares,Devwares / Windframe
step1,Step1
thesys,Thesys / OpenUI contributors
kevoyuan-agentscad,AgentSCAD / Kevoyuan
ai-prototyper-research,AI Prototyper research project
tokvista,Tokvista / Nibin Kurian
behavr,Behavr
dawnlabs,Dawnlabs Intelligence Ltd
mydesignmd,MYDESIGN.MD
designmd,DESIGNmd
prompt-to-app,Prompt To App
frictionux,Friction UX
supercorp,Supercorp
zinloop,Zinloop
sio,Sio
usertesting,UserTesting
pegasystems,Pegasystems
copilotkit,CopilotKit
draftbit,Draftbit
marmoui,Marmo UI / Mahmoud Ilyan
designflow,DesignFlow / Jason
statecraft,Statecraft
figr,Figrfast Systems
replay,Replay
daltlc,Zephyr Framework / Dalton Carr
a2ui-project,A2UI Project
tonkotsu-ai,Tonkotsu AI
caliper,Caliper
sandeep-baskaran,Design Mode / Sandeep Baskaran
codecanvas-ai,CodeCanvas AI / Farid Garcia
prefect,Prefect
qoqo,QoQo
bux,BUX / independent creator
dreamui,DreamUI / Noor Maqsood
superun,Superun
oneui,1UI
flaude,Flaude / Ana Gigashvili
worried-presenter,Worried Presenter
design-system-docs-generator,Design System Docs Generator
ai-ux-writer,AI UX Writer / Ragnak8
buzzy,Buzzy
rocketpen,RocketPen
aesthetron,Aesthetron AI
dora,Dora
donghuc,donghuc
candor,Candor / independent creator
exportflow,ExportFlow / independent creator
design-audit-lens,Design Audit Lens / Muhammad Rahil
glide-design,GlideDesign / Brian Permut
shanmus4,Shanmugha Sundaram Srinivasan
fluvara,Fluvara
svgenius-figma,SVGenius / Dmitrii Teleganov
alexander-burgos,Alexander Burgos
figml,FigML / Piotr and Adrian
taploop,Taploop
axis-labs,Axis Labs LLC
throughline,ThroughLine / Jordan Pease
nico-brinkschroder,Nico Brinkschröder
wwwhat,wwwhat
jmpy,JMPY.me
jason-typecraft,TypeCraft / Jason
mkitplug,MKitPlug
qutesoft,Qutesoft / quill zhou
achmad-alimin,Calino / Achmad Alimin
sparkui-abbaas,SparkUI / abbaas
intersections-design-lab,Intersections Design Lab / Kai Magnus Müller
muapi,MuAPI / SamurAIGPT / Anil Matcha
recombyn,Recombyn / TianMeng
jonthebeef,jonthebeef
jaaz,Jaaz / 11cafe
all-the-vibes,All The Vibes
atiqullah-naemi,Atiqullah Naemi
prateet-mishra,Prateet Mishra
onimix,Onimix
gede-sudimahendra,Gede Sudimahendra
dan-rozhkov,Dan Rozhkov
brooks-talley,Brooks Talley
bitovi,Bitovi
jim-liu,Jim Liu / 宝玉
zero-x-funky,0xfunky
nayan-airship,Nayan / Airship
bluzir,Vlad Kooklev / bluzir
fudge,Fudge / simdi jinkins
memfree,MemFree / PageGen
app-club-design,App Club Design / munonzito
creative-forge,Creative Forge / Harsh Solanki
protome,Proto-me
nightghost4,NightGhost4 / Tyler Norcross
bergside,Bergside
dembrandt,Dembrandt
silships,Sil Bormüller / figma-cli
oh-my-design,oh-my-design / 곽성재
paidax,Paidax
javascript-mastery,JavaScript Mastery / Adrian Hajdin
ozoshanniao,Node Canvas / ozoshanniao
kyh-ai-canvas,Kaiyu Hsu / AI Canvas
tutti,Tutti
loomic,Loomic / fancyboi999
nick-chadwick,Nick Chadwick
an-pham,An Pham
an-hoang-vo,An Hoang Vo
storyflow,StoryFlow AI Canvas / luanluan-l
aris-montclair,Aristos / D2 Canvas
tran-hoai-hung,Trần Hoài Hưng / figma-ui-mcp
heygen,HeyGen
hak-lee,Hak Lee / Design Farmer
jpoindexter,jpoindexter / DESIGN.md Extractor
viperr,Viperr / Picasso
jason-hnd,Jason HND / DESIGN.md Generator
simon-bloom,Simon Bloom / Design System Extractor
claudate,ClaudeMate / Claudesign
myoji,Myoji / Awesome Design Extractor
christopher-maneu,Christopher Maneu / DESIGN.md Canvas
jeftar-mascarenhas,Jeftar Mascarenhas / design.md
bayes-wang,BayesWang / AI UI Style Director
lxcong,lxcong / Copy Design CLI
tathagat-maitray,Tathagat Maitray / Plumb
hyscaler,HyScaler
kno-raziel,Sand / kno-raziel
rantir,Rantir
djasha,Djasha System
michael-hirst,Michael Hirst / Quill
bryxnn,Bryxnn / Buildev
owl-listener,MC Dean / Designpowers
ryan-the-dev,Ryan / design-for-ai
booplex,Booplex / stitch-kit
bmad-code,BMad Code / Whiteport Design Studio
zcube,ZCube / Penpot MCP Server
designpipe,DesignPipe
juan-de-la-cruz,Juan de la Cruz / Penpot Skills
xiaofeng,XiaoFeng / Design Ruler
git-webb-app-studio,GIT Webb & App Studio AB
markvely,UICanvas / markvely
hugo-he,Hugo He / PPT Master
devin-axis,Devin AXIS / iPolloWork
pinvou,Pinvou
zeroz-lab,ZeroZ Lab / cc-design
manpo,manpo / AOSE
pm-shawn,Shawn / Abu
nomadamas,NomaDamas
affromero,Andrés Romero / kin3o
yizhian,Dongshuai / Aniya Studio
at-risk-media,At Risk Media
bamideleo,Seun Bamidele / Kleva
trystan-sa,Trystan Sarrade / Claude Design System Prompt
conardli,ConardLi / Garden Skills
ufira-ai,ufira.ai
iofficeai,iOfficeAI
allweone,ALLWEONE
calesthio,Calesthio / OpenMontage
genspark-ai,Genspark / GenOffice
digital-samba,Digital Samba
zanwei,Zanwei Guo / Design DNA
zane-cole,Zane Cole / Presentation Builder
strgfjojo,Josephine van Delden / AI Slide Editor
skobak,Aleksandr Skobeltcyn / Pix
redongreen,Ian Guisard / uSpec
hoangpm96,Hoang Phan / Reqwise
alima-max,Amy Lima / Prototype to Figma
olivier-ozoux,Olivier Ozoux / Figma MCP Write Server
ash-j,Ash J / Design Auditor
senlin-design,Sen Lin / Claude2Figma
plugin87,Thientan Soparat / UX UI Agent Skills
edenspiekermann,Edenspiekermann
the-design-project,The Design Project
aditya-raj,Aditya Raj / Naksha
noemuch,Noe Chague / Bridge
buildingopen,Building Open
vibe-otter,Vibe Otter
akameredon,Akameredon / CraftFlow
upendra-coder,Upendra / IntelliBuild
jihan-gajjar,Jihan Gajjar
karanvir-singh,Karanvir Singh / ShopNest
saksham-tyagi,Saksham Tyagi / AI CMS
keenoy,Keenoy / Webora
lukas-wilson,Lukas Wilson / LaunchLayer AI
albert-zhang,Albert Zhang / Figma to design.md
moonslicer,Hao Liu / Agentic Design Canvas
umair-khan,Umair Khan / Interior Render
musec,Musec / Genable
embeddedos,EmbeddedOS Research Foundation
better-design,Marvin Kaunda / Better Design
edu-calvo,Edu Calvo / UI Craft
goda-go,Goda Go / Reveal Presentations
brad-frost-web,Brad Frost Web
kamil-ziemann,Kamil Ziemann / Design System Agents
pilot-design-team,Pilot Design Team
mohamed-ahmed,Mohamed Ahmed / Master AI Design System
elleta-mcdaniel,Elleta McDaniel / CHIP
draiagent,DRAI Agent / Enterprise AI Design System
tillmann-vey,Tillmann Vey / Brand Booklet
aura-friday,Aura Friday
ibuilder,Matthew M. Emma / Massing
ziguishian,子圭时安 / 灵矩绘境
bitjaru,StyleSeed / bitjaru
russell-cell,Russell-cell
rampstack,RampStack
government-alberta,Government of Alberta
pbakaus,Paul Bakaus
tw93,Tw93
presenton,Presenton
hugoblox,HugoBlox
pipipi-pikachu,LLzzZZ / PPTist
muneerali199,Muneer Ali / DraftDeckAI
fluid-cad,Fluid CAD
ecto,Cam Pedersen / vCAD
hedless,Damond Hedley / Onshape MCP
reshef-elisha,Reshef Elisha / Jarvis Onshape MCP
wzyn,Wzyn / SolidWorks Automation Skill
eyfel,Cagatay Bakan / SolidPilot
cai-aa,Cai / CAE Agent Hub
armpro24,Libin Mao / CAD CAE Copilot
formsmith,Formsmith / SketchForge
bomwiki,BOMWiki / PartMode
hkuds,HKU Data Intelligence Lab
toeverything,Toeverything / AFFiNE
onlyoffice,ONLYOFFICE
jerryjliu,Jerry Liu / Presentation App
starrykit,StarryKit
aymenfurter,Aymen / SlideFinder
touying-typ,Touying / SeaSlides
dubh3124,Herman Haggerty / Director
isha-upadhyay,Isha Upadhyay / ChillDeck
xiaoyesoso,Souljoy / SlideFlow
shibinsp,Shibin P / PPT SaaS
decocms,deco CMS
archlizheng,Li Zheng / Frontend Slides Editable
ppak10,Peter Pak / RocketSmith
jaskirat1616,Jaskirat Singh / FusionMCP
jherr,Jack Herrington / SCAD WebMCP
valentil,Lewis Valentine / CAD Solver
travor278,Travor King / OmniMCP
vespo92,Vinnie Esposito / AI-CAD
zakpro786,ZAKPRO786 / AI Parametric CAD
tylina,Tylina
sandeco,Sandeco
opendcai,OpenDCAI
gnipbao,gnipbao
pikapika260214,Pikapika260214
gcwing,GCWing
databricks,Databricks
every,Every Inc
sunweitao,Sunweitao / Deckestra
che626,che626
inhyeoklee,Daniel Lee / paper2slides
codequest,Codequest / Codeck
core-inc,CORe Inc
linancn,Nan Li / Tiangong AI Decks
dgleich,David Gleich / Eigendeck
coille02,coille02
xupeiwust,xupeiwust / cycleCAD
pudpawat,PudPawat
andiveli,Andrei Veliz
sjchem,Santanu Jana
core-brim-tech,Core Brim Tech
seehiong,seehiong
rudy0z,Rudraksh Singh / Design OS
admin-blip7,Brand Manual App
multi-threaded,Multi-Threaded LLC / Milestone Designer
deepthinking-zhouliu,DeepThinkingZhouLiu / Paper to Any Studio
xmihura,XMihura / Kanvas
lakshman-turlapati,Lakshman Turlapati / Review Gate
joshcirre,Josh Cirre / Instruckt
regiellis,Regi Ellis / EasyColorCorrector
athevon,AThevon / genjutsu
simra-tech,Simra Tech
decibel-systems,Decibel Systems
jubscodes,jubscodes / Get Shit Pretty
rfingadam,RFingAdam Engineering MCPs
jgraph,JGraph / draw.io
mixelpixx,mixelpixx
lamaalrajih,Lama Al Rajih
montevive,Montevive.ai
salitronic,George Saliba / Salitronic
agents365,Agents365.ai
dayuan-jiang,Dayuan Jiang
cathryn-lavery,Cathryn Lavery
ladislav-gazo,Ladislav Gazo
purocean,Purocean / Yank Note
sparklabx,SparkLabX
icebird1998,icebird1998 / Scientific Illustrator
atlas-zeng,Atlas Zeng
xiaowei-hua,Xiaowei Hua
patrick-chugh,Patrick Chugh
alexey-vidanov,Alexey Vidanov
zhihao-ai-robotic,ZhihaoAIRobotic
wentong2022,wentong2022-arch / FlowForge
ian-anderson,Ian C. Anderson
vila-lab,VILA-Lab
lingyi-chen-ai,LingyiChen-AI
zhihui-chen,Zhihui Chen
vxai,VxAI
svetlana-dao,Svetlana DAO LLC
yipeng-gao,Yipeng Gao
hugging-face,Hugging Face
jesse-barkley,Jesse Barkley
one-red-oak,OneRedOak / Patrick Ellis
jezweb,Jezweb / Jeremy Dawes
tractorjuice,ArcKit / tractorjuice
optimizely-axiom,Optimizely Axiom
thomas-thornton,Thomas Thornton
poco-ai,Poco AI
simon-kurtz,Simon Kurtz
automate-your-network,Automate Your Network / John Capobianco
heroui,HeroUI
razorpay,Razorpay
dev-chauhan,Dev Chauhan / Reicon
baidu-efe,Baidu EFE
archondev,ArchonDev
sterll,Sterll / Claude Terminal
higgsfield,Higgsfield Inc.
haozhe-zhao,Haozhe Zhao / Crafter
anionex,Anionex / Agent Vision Toolkit
kyungseo-park,Kyungseo Park / Skillstead
xiao-yuling,xiao-yuling / sci-figure
c-narcissus,c-narcissus / Paper Framework Figure Studio Pro
suli,Suli / Premium Vector Icon Designer
pipi-22,pipi-22 / Layer-First Raster to SVG
lizheng-wang,Lizheng Wang / PowerPoint Business
limin-ge,Limin Ge / Shad Expo Studio
majid-manzarpour,Majid Manzarpour / Three.js Game Skills
xulio-ze,Xúlio Zé / AI Agents Talk to Figma
qt-company,The Qt Company
arvind-kishore,Arvind Ram Singh Kishore
pan-chera,Pan-Chera / Multi-Agent CAD
andreyka,Andreyka / Forma AI Agent Service
peng-ding,Peng Ding / CICADA
raylan-lin,Raylan Lin / Millwright
vast-intelligence-lab,Vast Intelligence Lab / spark-to-paper-skills
nature-skills,Nature Skills maintainers
matt-painter,Matt Painter / Circuit Weaver
zyipeng,zyipeng / Image to SVG
giszzt,giszzt / FigEdit
perpetualhui,perpetualhui
fazal-shah,Fazal Shah / Figma Editable Dashboard
chenyuanfan,chenyuanfan / Nature Figure Studio
scifig,SciFig
ma-qi,Ma Qi / Subcortex Visualization Skill
muxia0396,muxia0396 / SVG Icon Skills
abdygaziev,abdygaziev / SVG Factory
itayfi,itayfi / SVG Creation Skill
ian-nuttall,Ian Nuttall
proofshot,Julien Berthomier / ProofShot
playable-intelligence,Playable Intelligence
natdexterra,natdexterra / work-with-design-systems
tuotuo,tuotuo / Design System Extraction
signer-labs,Signer Labs
d2c-ai,d2c.ai
tuanna,TuanNA / Claude Figma Kit
jetray33,jetray33 / UI from References
loinz-max,loinz-Max / PRD to UI Automation Agent
ramadhani-wasil,Ramadhani Wasil / Agentic UI Design Workflow
oz-ai,Oz-AI / Claude-To-Print
kongzhe,Zhe Kong
zairui-lab,Zhizhu Zairui / Consulting Deck
app-automaton,App Automaton
siril,Siril / Presentation Skill
dinh-lucent,Eng.Dinh / Slide ProMax
tate-zhou-siu,TateZhouSiu
eddy-zhang,Eddy Zhang
prodige-project,Prodige Project
wenxuan-xie,Wenxuan Xie
pmds,PMDevSolutions
wyeworks,WyeWorks
whipforaweeb,WhipForAWeeb / WhipUI
charlie-ellington,Charlie Ellington
knuppe-art,KnuppeArt
roy-villasana,Roy Villasana
produlis,Produlis
airu,airu
bruno-eid,Bruno Eid
nick-vyhouski,Nick Vyhouski
wyrd-company,Wyrd Company
lixin-design,lixin-design
kalebtec-studio,Kalebtec Studio
jonathan-fermin,Jonathan Fermin
eric-davis,Eric Davis
ghsi011,ghsi011
bmad-labs,BMAD Labs
simplecore,SimpleCORE
earthtojake,earthtojake / Text to CAD
delements,Delements
densrt,Densrt
samuel-gregory,Samuel Gregory
plannotator,Plannotator
meng-to,Meng To
syahiid-nur-kamil,Syahiid Nur Kamil
ghaida-zahran,Ghaida Zahran
jiji262,jiji262
scott-durow,Scott Durow
renfei-design,renfei-design
khane0212,Khane0212
karaage0703,karaage
cyberchitta,CyberChitta
devon-peroutky,Devon Peroutky
john-furr,John Furr
ranranjiang666,ranranjiang666
baibai2013,rabbit on fire
ext-sakamoro,ext-sakamoro
wang-yiyang,Wang Yiyang
motiful,MOTIFUL
xianshang33,xs
manal-kaff,Manal Kaff
agenisea,Agenisea
phazur-labs,Phazur Labs
astro-alpha,Astro Alpha
farming-labs,Farming Labs
carlos-cuellar,Carlos Cuellar
tododeia,Tododeia
fagemx,fagemx
dmytro-shain,Dmytro Shain
jackli12,jackli12
coffee2bits,Coffee2Bits
fletcher-holt,Fletcher Holt
jon-williams,Jon Williams
nazir-louis,Nazir Louis
syed-daiam,Syed Daiam
caid-technologies,CAID Technologies
thanabordee-nammungkhun,Thanabordee Nammungkhun
megabyte-labs,Megabyte Labs
tonone-ai,tonone.ai
monumental-systems,Monumental Systems
donchitos,Donchitos
moose-design,Moose Design
fabricio-telles,Fabricio Telles
swan-htet-aung,Swan Htet Aung
josh-adams,Josh Adams
scott-tolinski,Scott Tolinski
supercharge-growth,Supercharge Growth
lenxism,Antunes
dragoon,Dragoon
huyhoangnhh98,huyhoangnhh98
filip-aladic,Filip Aladic
philip-senger,Philip A Senger
abvx,ABVX
vinhelysia,Pham The Vinh
k-telux,k-telux
haodong-li,Haodong Li
ash-stone,Ash Stone
yixuan-he,Yixuan He
agi-white-list,AGI White List
jeonghwan-kim,Jeonghwan Kim
qwen,Qwen
robb-walters,Robb Walters
zane29222,Zane29222
o2scale,o2scale
milind-sharma,Milind Sharma
han-seahan,Han
michal-protasowicki,Michal Protasowicki
li-ching-yu,Li Ching Yu
alan-steremberg,Alan Steremberg
tsukimori-dev,Tsukimori Dev
keitark,Keitark
ken-chan,Ken Chan
elli-furedy,Elli Furedy
avatarsd,AvatarSD
misko,Misko
masakazu-ohtsuka,Masakazu Ohtsuka
kiclaw,KiClaw
davin-hills,Davin Hills
straydog,Straydog
bowen-liang,Bowen Liang
ferdinando-bonsegna,Ferdinando Bonsegna
dealfluence,Dealfluence
moonshot-ai,Moonshot AI
yihao,Yihao
pascal,Pascal
content-designer,Content Designer
yuv-ai,YUV.AI / Yuval Avidani
anx,Anx
paper2poster,Paper2Poster
teng-lin,Teng Lin
atharva-jagtap,Atharva Jagtap
sensenova,SenseNova
osman-aslan,Osman Aslan
hubert-kicad,Hubert
mr-industries,MR. INDUSTRIES
biosshot,biosshot
photon-cat,photon-cat / Jacob Armstrong
per-simmons,per-simmons
tahooki,tahooki
ivan-yang,Ivan Yang
hurtz-donut,Hurtz Donut Studios
namurokuro,namurokuro
matt-olson,Matt Olson
sam-wasserman,Sam Wasserman
dcc-mcp,DCC-MCP
david-rousset,David Rousset
reer,REER
chisomo-banzi,Chisomo Banzi
thamsanqa-dreem,Thamsanqa Dreem
posecode,Posecode
jithin-joseph,Jithin Joseph
pris-cv,PRIS-CV
aklofas,Andrew Klofas
ahujasid,Siddharth / BlenderMCP
instadeep,InstaDeep
epic-games,Epic Games
quilter,Quilter
blackmagic-design,Blackmagic Design
artokun,Arthur R. Longbottom / comfyui-mcp
asif-kabir,Asif Kabir
buildwithtrace,Trace
eric-lee,Eric Lee
ronak-parmar,Ronak Parmar
show-lab,Show Lab at the National University of Singapore
trabian,Trabian
veriteknik,VeriTeknik
sean-zhang,Sean Zhang
kevin-lin,Kevin Lin
comfy-org,Comfy Org
quiverai,QuiverAI
remotion-dev,Remotion
shashank-bhat,Shashank Bhat
huashu,Huashu
anisha-paturi,Anisha Paturi
arnav-chhabra,Arnav Chhabra
guizimo,Guizimo
guicang,Guicang
tutti-os,Tutti OS
hi-unikitty,HiUnikitty
seeb4coding,seeb4coding
dongwoo-suk,Dongwoo Suk
bayllama,bayllama
aignermax,Max Aigner / Lunima
shape,Shape
resume-matcher,Resume Matcher
aiera-dev,AIEraDev
caret,Caret
kcaitech,KCAI Technology
ashmoonori-afk,GwangHoonMoon / BurnGuard Design
saoussen-ch,Saoussen Chaabnia
queue-solutions,Queue Solutions
mrsmartboy,Ganjayela Peddanna
danieljtrujillo,Daniel Joaquin Trujillo / Gantasmo
ako-studio,AKO Studio
sammsamy02,Sammsamy02 / DraftWalk
zullllkar,Zullllkar / Visual Agent Designer
murtazakafka,Murtaza Nikzad
ashishbishnoi18,Ashish Bishnoi
dhruv-suyal,Dhruv Suyal
abbinavv,Abhinav Raj
cj1044821606-cell,JUN CAO
poer2023,poer2023 / DesignCanvas
kyzdes,Viachesav Kuznetsov
muhamadbyaba,MB / BuildGraph
arcadia-1,Arcadia-1
mina-saad,Mina Saad
owox,OWOX
autockt,AutoCkt research team
tongji-university,Tongji University
ephonic,ephonic / EDACraft
blueasuka,BlueAsuka / CAP
l3wi,l3wi
blueray32,blueray32
bandung-institute-of-technology,Bandung Institute of Technology
vibeworkers,Vibeworkers
moodpixel,MoodPixel
icezone,IceZone
qbic,QBIC
kalotrapezis,kalotrapezis
alpha1-design,alpha-1-design
brawt,brawt / Bernardo Forcillo
goodmorningcoffee,goodmorningcoffee
thebobrovs,thebobrovs
utopia5327,Utopia5327
boutiqaat-studio,Boutiqaat Creative Studio
zohaib-usmani,Zohaib Usmani
abhinav-bhardwaj,Abhinav Bhardwaj
soljourner,Soljourner
macanalog,MacAnalog
jacobo-forero,Jacobo Forero
chili-chiplets,Chili Chiplets
specula,Specula Future Crafting
lokis-minions,Loki's Minions / Michael Weingartner
datapact,DATAPACT
sakalio-labs,Sakalio Labs
naphat-pound,NaphatPound
nguyen-yen-linh,Nguyen Yen Linh
pvanallen,Phil van Allen / Delft AI Toolkit
threat-vector-security,Threat Vector Security
pruthviraj-gavhane,Pruthviraj Gavhane
dotnetfactory,EliteCoders / dotnetfactory
peiiii,Peiiii
anima-digital-solutions,Anima Digital Solutions
hkxiaoyao,hkxiaoyao
daewu14,Daewu Bintara
huang-pufan,Huang Pufan
cagri-catik,Çağrı Çatık
balchandar,Bala / Balchandar
flyingcat-studio,Flying Cat Studio
magnova-research,Magnova Research
sashika-suraweera,Sashika Suraweera
rupam-golui,Rupam Golui
mohamed-badwy,Mohamed Ahmed Omar Ali Badwy
m-ahmad-butt,Mohammad Ahmad
kavishan-nipun,Kavishan Nipun
eric-tech,Eric Tech
corespeed,CoreSpeed
sai-dhinakar,Sai Dhinakar
bunlong-heng,Bunlong Heng
krish-jain,Krish Jain
vishal-maheshkumar,Vishal Maheshkumar
yathik,Yathik / RyVerse
pulipuli-chen,Pulipuli Chen
ai-jiaqian,ai-jiaqian
jose-prieto,Jose R. Prieto
josa-pratama,Josa Pratama
aaron-gonzalez,Aaron Gonzalez
jorg-amelunxen,Jörg Amelunxen
autograph,Autograph
adimaryanto,adimaryanto
shaurya-gupta,Shaurya Gupta
pritam,Pritam
rrs301,rrs301 / Flowbase
ad1tyad,Ad1tyaD
manas-more,Manas More
nihal-choutapelly,Nihal Choutapelly
gusgoooo,Gusgoooo
jinseo-lee,Jinseo Lee
nova-cx23,Chris / NovaCX23
ahs12,AHS12
fawisi,Florian Wisi
dbt-snowflake-u,CareerVivid Maintainers
debajyoti-mukhopadhyay,Debajyoti Mukhopadhyay
hansraj-singh-thakur,Hansraj Singh Thakur
jah-yee,Jah-yee
konrad-dzbik,Konrad Dzbik
mermaid,Mermaid Chart
matt-adams,Matt Adams
pramit-de,Pramit De
pranav-learner,Pranav Learner
swark-io,Swark.io
tt-a1i,TT-A1I
tuaran,TUARAN
xidoke,xidoke
azaddon,azaddon
codexu,CodeXU
sopaco,sopaco
fsoft-ai4code,FSoft AI4Code
thu-maic,THU-MAIC
chartdb,ChartDB
codeboarding,CodeBoarding
subhadeep-roy,Subhadeep Roy
notfromaustralia,DreamForge Maintainers
ben-feely,Ben Feely
chris-ayers,Chris Ayers
ryan-davis,Ryan Davis
simon-holmes,Simon Holmes
latent-sre,Latent SRE
sriram-sundaresan,Sriram Sundaresan
strands-agents,Strands Agents
learnhouse,LearnHouse
tharun-kumar,Tharun Kumar
maximilian-mayr,Maximilian Mayr
lee-to,Lee-to
aryxenv,aryxenv
khusburai28,Khusbu Rai
soyeon-ahn,Soyeon Ahn
dbx,DBX Maintainers
tabularisdb,Tabularis
vesperino,Vesperino
xai,xAI
adarsh-puri,Adarsh Puri
almog-gavra,Almog Gavra
anioko,Anioko
balaji-boominathan,Balaji Boominathan
c0st1nus,c0st1nus
catfoxvoyager,CatFoxVoyager
vyacheslav-chelischev,Vyacheslav Chelischev
chungos,chungos
codoptic,Codoptic
deepcodersinc,DeepCoders
dipesh-bhardwaj,Dipesh Bhardwaj
himanshu-gupta,Himanshu Gupta
error505,Error505
foblex,Foblex
dario-novoa,Dario Novoa
hoangsonww,Son Nguyen Hoang
idem-ai,Idem AI
jai-deep,Jai Deep
jerry-kwan,Jerry Kwan
jxuho,Juho Lee and WAM project team
lilzeecn,LilZee
livediagram,LiveDiagram
wang-cunchi,Wang Cunchi
