slug,layer,total,ai_in_loop,authority,mutation_by_ai,articulation,score_type,rationale
backdraft,H1,7.7,7,6,9,9,,"Code-native visual editor where visual edits become deterministic CST patches to existing source and the integrated agent makes bounded multi-file changes with screenshot verification; identity, AST rewriting and file mutations directly alter the durable Git-committed files, though the human drives the visual decisions and the core implementation is closed."
baidu-miaoda,H1,8.8,9,9,8,9,,"Multi-agent generation is gated on a structured PRD token with explicit confirmation; LUI/GUI refinement, AI quality inspection with repair and explicit release gates operate on a durable hosted app version, but the GUI-to-code materialization edge and internal reconciliation are closed, so mutation is real yet not fully deterministic."
banani,H1,7.8,8,8,7,8,,"Agent Mode creates complete component-based screen flows reusing tokens and memory with project-level unified history (undo/redo across screens); direct edits and conversational refinement mutate the project, but native schema and component-instance semantics are undisclosed and exports (Figma/code/MCP) are downstream projections."
base44,H1,9.0,9,9,9,9,,"Builder AI generates full-stack React/Vite apps with entities, functions, auth and agents; chat, Edit mode, Theme, branches, GitHub sync, remote sandboxes and publish converge on durable hosted code and data, with MIT CLI/SDK source corroborating deploy order and sandbox semantics — the product's own AI mutates the persistent app in multiple lanes."
boardmix-ai,H1,7.0,7,7,6,8,,"AI structures or creates mind maps, flows, decks and design assets that land as editable objects in a shared infinite-canvas boardmix file (named, persistent, collaborative); users do most post-generation editing and fine-grained version/rollback is not public, so AI mutation of existing work is only moderately evidenced."
bolt-new,H1,9.0,9,9,9,9,,"The Bolt agent generates and iterates full JavaScript applications (historical MIT source shows the model streaming file/shell actions into the runtime), with Design System context, Code View, Version History, GitHub commits and explicit publish; current storage/agent internals are closed but the record's own AI demonstrably builds and edits durable app state."
botlab-art,H1,7.6,8,8,7,7,,"A conversational textile-design agent generates and modifies patterns (repeat, recolor, vectorize, cleanup) on an infinite canvas with 30+ domain operations and durable creation records in the material library; canvas-history/version semantics are unverified, capping mutation and articulation below source-level certainty."
budibase,H1,5.6,5,4,6,8,,"Source-level platform where human-built apps/automations define the design and configured AI agents act as operational actors that can invoke application/automation actions and route approvals; agents call models and mutate workflow/app state, but the model loop does not primarily create the app design itself, so authority and design-loop scores stay moderate."
builderio-fusion,H1,8.8,9,8,9,9,,"Visual/agent/code changes on a live repository branch converge to source through Apply Visual Changes, Fast/Plan agents, Git push/PR and History restore; the record's own agent mutates real branch files and the dev-tools distribution shows the runtime bridge, but the visual-to-source capture/writeback core is closed, capping authority."
calcstack,H1,6.2,6,6,6,7,,"Five AI-assisted editors (diagrams, circuits, agent workflows, resumes, mind maps) where multi-model assistance generates or revises project material inside editable structured projects (agent workflows materialize to TypeScript); service internals and persistence schema are closed and docs-only, so all dimensions are product-contract claims."
caliper,H1,8.3,8,8,9,8,,"Code-native visual design tool where direct visual edits are materialized by an agent that rewrites the owning source using repository selectors, tokens, conventions and accumulated design history, with step-back/branch/compare/recover; early-access and closed implementation leave DOM-to-source identity and merge semantics unproven."
canva-magic-design,H1,8.5,9,8,8,9,,"Generative design candidates promote to native editable Canva designs; Canva AI and the public MCP expose layered object intelligence with explicit draft/commit editing transactions, brand constraints and durable design ids; internal design graph and model internals are closed and candidate-to-design fidelity remains vendor-claimed."
capcut,H1,7.0,7,7,7,7,,"Video Studio chat drafts video and AI operations (script/media generation, captioning, speech, background/object manipulation, image editing) act inside an editable CapCut media project whose export is a flattened delivery; a single autonomous agent mutating all project state is not established and project schemas are not public."
caret,H1,8.2,8,7,9,9,,"Source-level Design Mode instruments stable data-caret-ids for deterministic guarded AST text/color writes while a scoped agent handles open-ended edits, and a one-way sync orchestrator materializes reviewed design-layer changes into app source with a Git bookmark baseline for undo; AI directly edits durable files, though visual design origin stays human-led."
chartdb,H1,4.9,5,5,3,7,,"Source-level schema-authoring tool where the human designs the normalized database model and AI assistance only bridges cross-dialect SQL export gaps (deterministic where implemented); no evidence the AI mutates the persistent model itself, though the ERD/model is a durable structured editable artifact in browser storage."
cloudflare-vibesdk,H1,9.0,9,9,9,9,,"Source-level open agentic builder where ThinkAgent's model-and-tool loop creates files, Git commits, branch-scoped Dynamic Worker previews and restore-as-new-commit rewinds, with per-app SQLite facets; the record's own agent owns the full create-edit-deploy-verify cycle over durable structured state."
codecanvas-ai,H1,7.9,7,7,9,9,,"Source-level visual design IDE reconciling DOM and AST identity into file/source-range context for selected elements, with range-bounded deterministic HTML writes and agent chat edits converging on branch-scoped project files; AI mutation of persistent source is direct and evidenced, while broader design generation authority is moderate."
codoptic,H1,6.7,7,6,6,8,,"Source-level workspace where a textual system DSL and graph share one model, and an editing agent grounded in repository context prepares architecture/documentation edits that require explicit approval before mutation; durable, diffable structured source, but design creation remains human-authored and agent changes are gated."
cofounder,H1,8,8,7,7,8,,"Source-level early-alpha app generator whose core loop is model-driven: a model reasons over product views and a primitive ontology to emit a structured SVG layout, and generates product docs, backend specs and versioned React views. Authority high but moderated: human selects among versioned alternatives and validation modules are incomplete. AI can iterate existing work: versioned project-state tree with {id}/{version} coordinates and user-invokable component iteration from the running app. Outputs land as durable structured files (docs, SQL, server code, React views, layout SVG) that become the delivery authority."
comfyui,H1,4,4,3,1,8,,"Host that executes generative models (loaders/samplers) inside a human-authored node graph: model calls are central to execution but design decisions (graph wiring) are made by humans, so the core loop is not model-driven decision-making about the design. AI generates the media within nodes yet the human builds the artifact, so authority stays low. No evidence the record's own AI edits the persistent graph. The workflow graph itself is a durable structured editable artifact (blueprint JSON, workflow templates, subgraphs), giving high articulation."
contextui,H1,2,2,1,1,6,,"Desktop host that compiles/renders AI workflow source (TSX + Python) but contains no model loop of its own; intelligence lives in workflow code authored by humans, and agents reach the same files through an MCP bridge. Per the critical rule, the record enables rather than decides, so ai_in_loop and authority stay at/below 2 and no mutation is credited to its own AI. The workflow source is a durable structured editable artifact, giving moderate articulation."
dafty,H1,5,6,6,3,7,,"Closed brand-aware campaign workspace: AI extracts brand style into a studio and generates posts, carousels and videos from retained brand context — a genuine model-driven creative loop. AI performs most generation but human direction and selection remain, and internal orchestration is undisclosed. No evidence AI edits existing persistent assets (editor schema, version history not revealed), so mutation is unproven. Brand studio assets and campaign context form a durable managed project spanning deliverables."
data-formulator,H1,8,8,7,7,8,,"Source-level: unified analyst agent and chart-restyle agent drive a conversation over data and semantic chart specs — the record's core loop is model-driven chart design. Users can also directly author encodings, so authority is high but shared. The restyle agent transforms existing Vega-Lite style intent and users branch/edit from existing points, evidencing AI mutation of persistent specs. Workspace state (data, threads, semantic chart state) is autosaved as a schema-versioned snapshot and renders through multiple chart backends — durable structured artifact."
davinci-resolve,H1,5,5,3,5,7,,"Native media platform where current AI tools (face/object tracking, speech generation, deblur, cleanup) propose selections and transformations inside the project; the core editing loop remains human-driven with AI assists, so in-loop influence is moderate. AI does not author the creative work (authority low), but AI results land in and alter the persistent timeline/node graph (e.g., generated speech, tracked subjects, node adjustments), evidencing mutation of existing work. The saved Resolve project, timelines, nodes and versions are a durable structured artifact."
dawn-design,H1,7,7,7,6,8,,"Closed private-beta design studio: agent-created screen and flow variants are grounded in product evidence and real components/tokens, forming a model-driven decision loop (retrieval internals undisclosed). AI generates most of the screen creation while human review selects directions. Agents create parallel variants and continue prior agent reasoning in a shared studio, evidencing iteration over existing work, though a bidirectional compiler is not claimed. Accepted directions materialize as production React/HTML with MCP/PR handoff — durable editable artifact."
dbx,H1,7,7,6,7,6,,"Source-level: AI assistant proposes and explains SQL against live connections within a policy-gated execution model — the record's loop is model-driven data-model design. Human confirmation gates execution, keeping authority moderate. Accepted SQL or MCP operations mutate the authoritative live database/schema, evidencing direct AI mutation of persistent work. The ERD visualizes the live schema rather than a separate graph; the executable database is the durable truth, though the editable artifact is SQL rather than a design document."
designflow,H1,2,1,1,1,6,,"Source-level spatial canvas over React screen modules with no model call anywhere in the loop — AI is purely hypothetical, so ai_in_loop, authority and mutation are all 1. The tool does produce a durable editable artifact: flows.ts, designflow.theme.ts and React screens are authoritative source that the canvas reads and writes (drag positions serialized back via flow-writer), giving moderate articulation for a non-AI tool."
designmd-maker-jp,H1,5,6,5,2,7,,"Closed product where AI proposes up to ten font/color directions from audience, purpose and mood tags/sliders — a genuine model loop over design direction. The human selects the acceptance direction, so authority is shared with the AI proposing. AI cannot edit existing work: the downloaded DESIGN.md is a one-shot snapshot and later form changes do not update delivered copies, so mutation is minimal. The accepted direction lands as a durable Markdown constraint artifact with rationale, portable to coding agents."
diagram,H1,7,6,6,7,8,,"Historical closed family at last evidenced state: Magician runs model-driven spells (icons, images, copy via Stable Diffusion/OpenAI, Text Review API) inside the Figma document, while Genius (UI-AI) previews contextual generation — a genuine AI loop, though product cores and exact model contracts are closed and Genius never shipped fully. AI inserts/replaces/renames native layers in the shared Figma file, evidencing direct mutation of persistent design work. The durable center is the native Figma document with generations as editable native material."
dmaya,H1,7,7,7,6,6,,"Closed multi-model agent builds an initial interface from a brief and keeps reshaping it across a multi-screen canvas — the core loop is model-driven screen creation with subsequent chat refinement. AI authors most of the initial creation while the user directs via conversation. Conversation reshapes existing screens in the same managed project, evidencing AI mutation, though serialization/undo/versions are undisclosed. The hosted project with an editable screen set is the continuing artifact."
dora-ai,H1,5,6,6,3,6,,"Closed Figma plugin + hosted site product: prompt and style produce four AI previews from which the user selects before editable desktop/mobile designs are inserted into Figma and a Dora project is created — a real model-driven generation loop. Human candidate selection limits authority. There is no evidence the AI edits existing Figma or Dora work after insertion, and synchronization between surfaces is unproven, so mutation is low. The linked Dora project and Figma frames are durable artifacts."
draftbit,H1,7,7,7,7,8,,"Closed managed app builder where AI agents act on the same real project files a person edits visually, with source control history and export as ordinary product loops. Generation and modification of the application are model-driven with human co-editing. AI agents modify the existing application project directly, evidenced by git history diffs and rollback. The canvas/code/filesystem converge on durable project files with GitHub/ZIP exits — a strong structured artifact with independent source authority."
dreamina,H1,6,6,5,6,6,,"Closed ByteDance canvas product: image/video models generate assets that land on a layered creative canvas, and generative edits (expansion, removal, restyling) refine existing compositions — a genuine model loop, though the canvas production is human-directed. AI generates assets while humans arrange and direct. Generative edits directly alter existing canvas compositions, evidencing AI mutation of persistent work. The layered canvas, reusable layouts and timeline are a durable structured workspace, schema undisclosed."
dreamui,H1,8,8,7,8,8,,"Closed Figma plugin combining prompt-to-screen, screenshot/HTML-to-layers, chat editing of selected layers, redesign variants and token extraction — the record's loop is model-driven native design generation. AI performs most creation though node identity/implementation internals are undisclosed. Selected-layer conversational edits and variant/remix/history paths mutate the existing native Figma graph, evidencing strong AI mutation. Output lands as editable Figma layers, tokens and UI kit with generation history — durable structured artifacts."
dressx-ai-suite,H1,5,6,6,2,5,,"Closed commerce-media studio: a brand uploads garments and creative direction and AI runs bulk image/video collection production — a real model-driven generation loop. The AI creates the campaign media while humans define direction and batch jobs. No evidence the AI edits existing assets or a structured pattern/garment model; edit history and asset schemas are undisclosed, so mutation is unproven. Generated media collections are managed in the AI Studio with job continuity, but the schema and versioning are not public, giving moderate articulation."
drupal-canvas,H1,8,8,7,8,8,,"Source-level: Canvas AI submodule runs configured orchestrator, page-builder, component, template, metadata and title agents that call functions to inspect layout/entity context and place or edit components — the record's core loop is model-driven design mutation through explicit host tools. Agents write through Drupal's page/component model while prop schemas and catalogs constrain them, keeping authority high but human-gated. Agents directly edit persistent page entities, component trees and field content, evidencing deep AI mutation. The same stored component tree drives editor and published rendering with revisions — durable structured artifact."
dualite,H1,8,8,8,8,8,,"Closed full-stack app builder with prompt, Figma, GitHub and template entrances converging on one code-backed project; subsequent prompts add behavior, pages and Supabase data — the core loop is model-driven product creation. AI builds frontend, backend, auth and deployment state from intent. Interaction Mode binds natural-language requests to a selected element in the running preview, so the agent revises specific existing code-backed objects — direct AI mutation. The code-backed project, connected repository and deployment state are durable structured artifacts."
dyad,H1,8,8,8,8,8,,"Source-level local AI app builder: chat streams assemble repository context, invoke configured models and process streamed actions into bounded file operations — the core loop is model-driven file mutation. AI authors the application in a user-selectable local directory. Agent write_file tools operate inside the app boundary and version handlers coordinate Git commits and restore, evidencing direct AI edit/iteration of persistent source. The generated repository with Git history, SQLite-coordinated chats/versions and live preview is a durable structured artifact."
easeui,H1,6,7,6,4,7,,"Closed local-first canvas: each prompt produces parallel HTML/CSS artboards and prompting again creates a child whose parent HTML is context — a real model loop over design direction. Human selection and visual refinement share creation with the AI. AI generates descendant variants from existing parent context, but persistent visual edits are human-driven via DOM inspector, so AI mutation of persistent work is partial. The saved HTML variant tree, extracted tokens and ZIP/Figma export paths form a durable structured artifact, though implementation is not public."
etlaq,H1,7,7,7,7,7,,"Closed Saudi Arabic-first app builder: an agent workspace turns an Arabic/English brief into a working application (pages, flows, design, logic, database, auth) and conversational changes revise it — a genuine model-driven product loop with local RTL/payment context. AI creates most of the project from the brief. Conversational revision changes colors, layouts and content in the managed project, evidencing AI mutation, though version/rollback semantics are thin. The provider-managed project spanning experience, application and operation layers is the durable artifact."
faisca,H1,5,6,6,3,6,,"Closed social-content program: AI binds brand voice and visual rules to copy, designed posts, review, adjustment, scheduling and publication — a real model loop over recurring content. AI creates the posts while humans review and adjust. The mechanism of visual adjustment (layer-based, template-parameter or regeneration) is undisclosed, so AI mutation of persistent work is unproven. The managed brand/content/publishing project with assets and a release calendar is the durable continuing artifact."
figcraft,H1,8,8,8,8,7,,"Closed local visual workspace whose agent analyzes references, decomposes a brief into dependent subtasks, chooses generation/editing tools and iterates until a set is delivered — a model-driven creative loop with explicit planning. AI performs most of the image/video production. The agent refines through inpainting, background removal, image-to-image, layout changes and video continuation on existing layer projects, evidencing direct AI mutation of persistent work. The local workspace layer graph is the continuing artifact; serialized schema and version format are undisclosed."
figma-design-agent,H1,9,9,8,9,9,,"Closed in-file agent whose core loop is model-driven native design: it plans and performs layer edits using the file's real components, tokens and variables, with parallel prompts and file-sidebar chats. AI creates much of the native design, though human review and undo/branching remain in the loop. The agent directly creates/edits native layers, applies design-system conventions in bulk and participates in file undo and version history — deep AI mutation of the persistent artifact. Output lands as editable native layers in the shared file with durable version history."
figma-make,H1,8,8,8,8,8,,"Closed product (hosted prompt-to-code plus local-codebase beta): the agent creates or changes hosted React/TSX project files, reads context (attachments, Make kits, plan.md) and iterates code with AI — a model-driven build loop. AI authors the application from prompt/design, and the local beta changes a real Git repository. AI edits existing code with automatic versioning (hosted versions, local Git commits/branches/PRs), evidencing direct mutation of persistent work. The hosted project files/version graph or local repository with Git history is the durable artifact."
figma-weave,H1,4,5,3,2,8,,"Closed node-workflow media platform where generative nodes execute models but the workflow itself is human-composed, so model calls are central to execution yet design decisions about the graph are human — a host-shaped loop. AI generates media within nodes while humans build and connect the graph, keeping authority low. No evidence the record's AI edits the persistent workflow; branching/remix regenerate outputs rather than mutate the graph. The visible node workflow is a durable structured editable artifact with published versions and Tool mode."
figr,H1,6,7,7,3,6,,"Closed context-and-decision layer: the agent ingests screens, flows, docs, recordings, analytics and prior decisions, asks clarifying questions, and generates flows, IA, PRDs, tests and design-system-aware prototypes — a genuine model-driven design loop grounded in accumulated context. AI authors the deliverables from context. No public evidence that the AI edits existing persistent deliverables after generation (no iteration/repair path disclosed), so mutation is unproven. The decision package associating context with deliverables is the durable artifact, with citations not fully auditable."
firebase-studio,H1,8,8,8,8,8,,"Closed (sunsetting) agentic cloud IDE: the App Prototyping agent produces a Next.js codebase and Gemini Agent modes propose/apply file changes in a full VM workspace — the core loop is model-driven application creation. AI authors the application from prompts/blueprints. Prototyper commits every response to local Git and Gemini agents modify files, with Select/Annotate targeting rendered elements — direct AI mutation of persistent source. Durable artifacts include ordinary application files, local Git history, .idx/dev.nix environment and Firebase project state."
firecrawl-open-lovable,H1,8,8,8,8,6,,"Source-level open reactor: Firecrawl routes capture site evidence, generation routes create React files in a sandbox, and the product streams AI patches, detects Vite errors and renders a live preview — a model-driven reconstruction loop. AI authors editable React reconstruction from a URL, screenshot or prompt. Visual edit intent is translated into bounded source changes and patches are streamed back into the sandbox file set, evidencing AI mutation of persistent work. The sandbox source is the durable artifact with ZIP export, though no version ledger or project history exists."
fleck,H1,6,7,7,4,7,,"Closed product that keeps a thinking layer (validation, personas, sitemap, flows, direction) inside the project and generates multi-screen canvases and per-screen React/Tailwind from it — a genuine model-driven design loop. AI creates the screens and code while humans refine via the canvas. Version history and diff preview exist, but a round-trip protocol for AI editing arbitrary repository/canvas state is not claimed, so mutation of persistent work is partial. The managed project with reasoning artifacts, screens, tokens and versions, exporting to GitHub/ZIP/Figma, is the durable artifact."
flow-maker,H1,4,5,2,1,7,,"Source-level visual workflow workbench: the graph contains LLM/agent/tool decision nodes and the run view calls server routes for real provider operations, so the record executes model calls, but the workflow design is human-authored — a host-shaped loop with moderate in-loop influence. AI does not create the graph, so authority is low. No evidence the record's own AI edits the persistent graph. The autosaved local graph plus the compiled TypeScript workflow are durable structured editable artifacts."
flowise,H1,4,5,2,2,7,,"Source-level open platform whose server executes ChatFlow/AgentFlow definitions and streams model executions to chat/API consumers — the record runs the model loops, but the flow graphs are human-authored, so the loop is host-shaped with moderate in-loop influence. AI does not create the graph, keeping authority low. Agent flow nodes may act on external resources, but no evidence the record's own AI edits the persistent flow JSON. The serialized ChatFlow/AgentFlow JSON stored by the server is a durable editable operating artifact."
flutterflow,H1,7,7,7,8,7,,"Structured visual Flutter builder with a source-available agent control plane: the Desktop AI Agent and flutterflow ai path let an AI drive validated protobuf mutations of the canonical hosted project (the deciding model is user-chosen, harnessed by the product), so the loop is model-driven over the native graph. AI creates/mutates pages, components and state with human validation gates. The SDK fast-patches, compiles DSL edits, commits to internal branches with CAS and three-way YAML merges — deep AI mutation of the persistent structured project. Hosted project graph plus generated Dart/typed context are durable artifacts."
framer-ai,H1,9,9,8,9,9,,"Closed canvas-native Agent whose core loop is model-driven graph editing: the in-app Agent reads the project tree, expresses edits in a compact DSL and streams many small native edits while a deterministic linter checks layout/type/contrast/accessibility — AI directly decides and performs design changes. AI creates/edits pages, components, styles, CMS and code files in the hosted graph while humans review branch changes. applyChanges creates/updates/removes/moves nodes by canonical id and work lands on isolated whole-project branches before review/apply/publish — deep AI mutation of persistent work. The hosted project graph, branches, published versions and deployments are durable structured artifacts."
frappe-studio,H1,9,9,8,9,9,,"Source-level: AgentRunner compresses the current page block tree into model context and the model's typed operations (create/move/remove/patch blocks, wire styles/bindings/variables/events/visibility) are validated against a mirrored WorkingTree and saved to the native Studio page document via savePage. Core loop is model-driven design mutation of a persistent structured artifact; authority slightly tempered because human visual-builder edits share the same graph and the project is explicitly early-stage."
galileo-ai,H1,7,9,8,6,6,,"Historical closed product (redirects to Stitch): hosted generation service is clearly model-driven (specialized UI-task models, multi-variant screens, theme regeneration, based_on_screen_id refinement). Authority high: prompt/image -> complete screen designs. Mutation capped: AI regenerates screens on theme/refinement, but edits are regeneration of hosted projections over a chat/screen lineage, not deterministic node-tree mutation, and no version/rollback graph is public. Articulation medium: durable hosted thread with screens/themes, but Figma export is one-way HTML clipboard and raster/share are projections, not an editable graph."
gamma,H1,9,9,8,8,9,,"Closed but thoroughly documented: Generate/Paste/Import all produce structured card decks via AI; Agent rewrites content, suggests layouts and can run whole-artifact edits with accept-all on the durable card graph; version restore and hidden-card state are first-party. Authority 8 because human refines/approves; mutation 8 because AI edits existing cards at scope with explicit acceptance; articulation 9: cards are the durable structured editing authority for decks/docs/sites."
gemini-notebook,H1,8,9,8,7,8,,"Gemini generates a full slide deck from prompt + Drive sources with per-slide instructions; revisions are staged as Pending Changes and materialize an entirely new deck (previous decks stay loadable) rather than overwriting. Ai_in_loop high (model-driven deck production); authority 8 (user sets format/length/audience); mutation 7 since the AI's change model is new-deck materialization rather than in-place granular edits; articulation 8: hosted deck with revision set and history is the working authority, PDF/PPTX are delivery copies."
gendesigns,H1,7,8,8,6,7,,"Architecture-level, no public implementation: agent creates multi-screen mobile app projects with shared theme from a description and can clone references; first-party pages claim follow-up prompts change layout/color/features while maintaining the screen set. Mutation credited at 6 because iterative modification of the retained project is only product-level assertion with no schema/version evidence; articulation 7: output is a component-backed HTML+Tailwind project with theme state (ZIP/PNG delivery), but persistence and history are unknown."
github-spark,H1,9,9,9,8,9,,"Builder agent (Copilot infra) turns prompts/briefs/sketches into complete TypeScript/React apps and iterates by prompt, suggested tasks and Fix All; visual DOM patches pass through closed spark-designer source reconciliation into Workbench versions and two-way Git main sync. Authority 9 (intent -> full-stack app); mutation 8 (AI and visual edits converge durably on source, though exact save/conflict semantics are closed); articulation 9: durable code with version history, repository export, and managed data/deployment lanes. Snapshot reflects the 2026 transition/export window but lifecycle does not change score."
glide-design,H1,8,9,8,7,7,,"AI turns one brief into audience/product strategy, flow, UX risks, high-fidelity responsive screens and copy, then critiques from six perspectives and applies section-scoped refinement in the hosted project. Mutation 7: refinement of existing screens is a first-party workflow claim with no evidence of structured-patch vs regeneration mechanics; articulation 7: hosted project with screens/preview is durable but schema, version graph and undo semantics are undisclosed."
google-stitch,H1,9,9,9,9,9,,"Agent-first workspace: Design Agent/voice reason across the hosted project and stream work; MCP exposes generate_screen, edit_screens, generate_variants and design-system mutations executed by the hosted service (its own AI, not merely an external-mechanism adapter). Screens carry HTML/screenshot/Figma resources and instances on a canvas; DESIGN.md is portable intent. Mutation and articulation 9: AI edits existing persistent screens/assets in a durable project graph; project/screen/design-system identities are distinct, though no version/rollback graph is public."
google-vids,H1,7,8,7,5,7,,"Gemini proposes a fully editable outline/scene graph with scripts, stock media and music from a prompt + Drive file in a shared Workspace project; the user then changes scenes and adds recordings/Veo clips. Authority 7 (AI drafts the storyboard but human does most scene work); mutation 5: no clear evidence the AI edits the existing project in place after generation (no revision loop documented, only initial outline); articulation 7: shared scene project is the durable authority, playback/render is a projection."
greatstack-ai-website-builder,H1,8,8,8,8,8,,Source-level via learner mirrors of the course product: projectController streams model generation and revision into complete HTML versions with rollback and public-page transitions; schema separates projects/conversations/versions with selected-version and publication state; element targeting plus source editing promote adopted versions. AI both creates and revises the persistent versioned document; articulation 8: durable HTML versions with explicit promotion rather than raw prompt output.
hanzo-app,H1,8,8,8,9,8,,Source-level: multi-agent orchestrator coordinates model roles and tools that mutate a managed virtual-file workspace (vfs); checkpoints record recoverable file states and deployment routes connect workspace state to Hanzo deployment records. Mutation 9: agent tools edit existing persistent workspace files directly with checkpoint recovery; articulation 8: durable VFS source plus deployments; authority 8 given generation is prompt-grounded app building.
holst-ai,H1,5,7,7,2,3,,"Multi-model prompt-to-raster platform plus a separate browser layer editor; no structured UI graph, components or retained editable state. Ai_in_loop 7 (model-driven image/video generation); authority 7 (prompt -> complete raster asset); mutation 2: no evidence the AI edits any existing persistent design (editor layers are temporary in-session only, no save format); articulation 3: output is downloaded raster media; disposable/session-only composition."
hostinger-horizons,H1,8,9,8,8,8,,"Agent builds a managed end-to-end app project (UI, content, accounts, databases, payments, deployment) from idea/template/image/voice and users can ask the agent to change appearance or behavior of the existing project; version history is an explicit product contract. Authority 8 (design is one plane of a live app project); mutation 8 (agent visibly changes the working result, patch internals closed); articulation 8: durable managed project graph with recovery; export ZIP is explicitly one-way, reinforcing the managed graph as authority."
