candidate_id,display_name,status,resolution_target,first_seen_batch,discovery_url,evidence_kind,team_region,region_evidence_url,reviewed_on,decision_reason
seed-tempo,Tempo,included,census:tempo,LEGACY-000,projects/tempo/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-stagewise,stagewise,included,census:stagewise,LEGACY-000,projects/stagewise/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-dosmos,Dosmos,included,census:dosmos,LEGACY-000,projects/dosmos/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-retune,Retune,included,census:retune,LEGACY-000,projects/retune/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-tuna,Tuna,included,census:tuna,LEGACY-000,projects/tuna/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-onui,onUI,included,census:onui,LEGACY-000,projects/onui/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-design-canvas,Design Canvas,included,census:design-canvas,LEGACY-000,projects/design-canvas/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-rivet-design,Rivet,included,census:rivet-design,LEGACY-000,projects/rivet-design/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-pen-dev,pen.dev,included,census:pen-dev,LEGACY-000,projects/pen-dev/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-paper,Paper,included,census:paper,LEGACY-000,projects/paper/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-clearly,Clearly,included,census:clearly,LEGACY-000,projects/clearly/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-magicpath,MagicPath,included,census:magicpath,LEGACY-000,projects/magicpath/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-superdesign,Superdesign,included,census:superdesign,LEGACY-000,projects/superdesign/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-nimbalyst,Nimbalyst,included,census:nimbalyst,LEGACY-000,projects/nimbalyst/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-open-pencil,OpenPencil,included,census:open-pencil,LEGACY-000,projects/open-pencil/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-openpencil-zseven,OpenPencil ZSeven,included,census:openpencil-zseven,LEGACY-000,projects/openpencil-zseven/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-reframe,Reframe,included,census:reframe,LEGACY-000,projects/reframe/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-open-codesign,Open CoDesign,included,census:open-codesign,LEGACY-000,projects/open-codesign/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-open-design,Open Design,included,census:open-design,LEGACY-000,projects/open-design/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-agentation,Agentation,included,census:agentation,LEGACY-000,projects/agentation/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-code-inspector,Code Inspector,included,census:code-inspector,LEGACY-000,projects/code-inspector/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-puck,Puck,included,census:puck,LEGACY-000,projects/puck/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-figwright,Figwright,included,census:figwright,LEGACY-000,projects/figwright/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-mcp-excalidraw,mcp_excalidraw,included,census:mcp-excalidraw,LEGACY-000,projects/mcp-excalidraw/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-monet,Monet,included,census:monet,LEGACY-000,projects/monet/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-uizard,Uizard,included,census:uizard,LEGACY-000,projects/uizard/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-galileo-ai,Galileo AI,included,census:galileo-ai,LEGACY-000,projects/galileo-ai/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-diagram,Diagram,included,census:diagram,LEGACY-000,projects/diagram/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-framer-ai,Framer AI,included,census:framer-ai,LEGACY-000,projects/framer-ai/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-relume,Relume,included,census:relume,LEGACY-000,projects/relume/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-webflow-ai,Webflow AI,included,census:webflow-ai,LEGACY-000,projects/webflow-ai/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-canva-magic-design,Canva Magic Design,included,census:canva-magic-design,LEGACY-000,projects/canva-magic-design/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-firebase-studio,Firebase Studio,included,census:firebase-studio,LEGACY-000,projects/firebase-studio/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-motiff,Motiff,included,census:motiff,LEGACY-000,projects/motiff/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
cand-figma-design-agent,Figma Design Agent,included,census:figma-design-agent,WEB-EN-001,https://www.figma.com/solutions/ai-design-agent/,first-party,unknown,,2026-08-11,Official product and help contracts establish an independently surfaced agent in Figma Design that creates and edits native layers inside the shared versioned file
cand-m2-canvas,M2 Canvas,included,census:m2-canvas,WEB-EN-001,https://m2ui.ai/,first-party,unknown,,2026-08-11,First-party product exposes real React components as structured node JSON with design-system references and exact-node patches on a multiplayer canvas shared by people built-in agents and MCP clients
cand-wonder,Wonder,included,census:wonder,WEB-EN-001,https://wonder.design/,first-party,unknown,,2026-08-11,Current first-party public alpha establishes a code-backed editable canvas with variants continuing flow state and bidirectional MCP reads and writes between design data and application context
cand-inspector-visual-editor,Inspector Visual Editor,included,census:inspector,WEB-EN-001,https://www.tryinspector.com/docs/welcome,first-party,unknown,,2026-08-11,Official documentation establishes a local visual front-end editor that maps selected rendered elements to source and has connected coding agents apply direct codebase changes with Git recovery
cand-banani,Banani,included,census:banani,WEB-EN-001,https://www.banani.co/product/ai-ui-agent,first-party,unknown,,2026-08-11,Official product and help establish component-based multi-screen projects with tokens shared memory project-wide history native editing collaboration and Figma code image and MCP handoff
cand-dart-design-agent,Dart AI Design Agent,included,census:dart-design-agent,WEB-EN-001,https://www.dartai.com/features/ai-design-agent,first-party,unknown,,2026-08-11,Dart independently owns task assignment and integrated result state while delegating interactive prototype authority to Magic Patterns and returning those components to the originating dartboard
cand-budgetpixel-design-agent,BudgetPixel AI Design Agent,excluded,,WEB-EN-001,https://budgetpixel.com/features/ai-design-agent,first-party,unknown,,2026-08-11,Reviewed page exposes generated product imagery rather than an evidenced editable Design artifact loop
cand-uxcanvas,UXCanvas.ai,included,census:uxcanvas,WEB-EN-001,https://uxcanvas.ai/,first-party,unknown,,2026-08-11,First-party product establishes a structured design-specification stage before editable generated UI with iterative agent refinement and code-oriented delivery while hidden persistence internals remain bounded
cand-anima-buddy,Buddy Figma Agent,duplicate,census:anima,WEB-EN-001,https://www.animaapp.com/figma-ai,first-party,unknown,,2026-08-11,Official page identifies Buddy as an Anima product surface; keep under the Anima lineage unless evidence establishes independence
cand-lovart,Lovart,included,census:lovart,WEB-EN-001,https://www.lovart.ai/docs/getting-started/design-your-first-project,first-party,unknown,,2026-08-11,Official documentation establishes an infinite project canvas with generated-file inventory layer and element editing brand context conversational mutation and per-item export rather than transient image chat
cand-dotgui,dotGUI,included,census:dotgui,WEB-EN-001,https://github.com/dotgui/core,source-repository,unknown,,2026-08-11,Pinned source and specification define a portable XML UI design package with tokens layout intent assets preview deterministic validation rendering and direct agent authorship
cand-maxprototyper,MAxPrototyper,excluded,,WEB-EN-001,https://arxiv.org/abs/2405.07131,research-paper,unknown,,2026-08-11,Paper describes a research prototype but exposes no independently usable product or maintained source project whose artifact authority can be verified
cand-morfis,Morfis,included,census:morfis,WEB-EN-001,https://openreview.net/forum?id=H4C181sv68,research-paper,Luxembourg,https://openreview.net/pdf/21284fbd34f6a5bac468c289f7482e6ff514f835.pdf,2026-08-11,Official product and startup-track evidence establish a continuing prompt-to-parametric-CAD workspace for editable manufacturable models
cand-figspecs,FigSpecs,included,census:figspecs,WEB-EN-002,https://www.figspecs.pro/,first-party,unknown,,2026-08-11,Current Figma plugin reads nested native component and token structure then writes native specification frames and exports machine-readable rules JSON CSS Tailwind accessibility results and linked Jira handoff
cand-plexui-bridge,PlexUI Bridge,included,census:plexui-bridge,WEB-EN-002,https://plexui.com/bridge,first-party,unknown,,2026-08-11,Official bridge contract exposes local read-write Figma commands that preserve semantic variable bindings while agents create inspect and translate native components
cand-program-ui,Program UI,included,census:program-ui,WEB-EN-002,https://programui.com/,first-party,unknown,,2026-08-11,Live demo components bind Figma and code to one token model that humans adjust and agents consume while the broader generated system remains waitlisted and is classified active-transition
cand-dmaya,dMaya,included,census:dmaya,WEB-EN-002,https://dmaya.ai/,first-party,unknown,,2026-08-11,First-party product exposes a multi-screen canvas where structured UI created from briefs brands and references remains editable and conversationally refinable before code delivery
cand-ai2-design,ai2.design,excluded,,WEB-EN-002,https://ai2.design/,first-party,unknown,,2026-08-11,The released object is an agent-readable component library registry and theme utility rather than a product or project that independently owns or operates a continuing Design artifact
cand-dstoai,DStoAI,included,census:dstoai,WEB-EN-002,https://www.dstoai.com/,first-party,unknown,,2026-08-11,The Figma plugin deterministically materializes native design-system context into an owned Build Task document that downstream agents can consume without maintaining a live bridge
cand-youware,YouWare,included,census:youware,WEB-EN-002,https://www.youware.com/features/web-app-builder,first-party,unknown,,2026-08-11,Official product establishes one React application project across agent generation visual editing direct source editing integrated backend publishing and code export
cand-jeda,Jeda.ai,included,census:jeda,WEB-EN-002,https://www.jeda.ai/ai-wireframe,first-party,unknown,,2026-08-11,Official product establishes native editable wireframe and diagram shapes on a collaborative canvas with multi-model candidates section extension version control and SVG Figma handoff
cand-niki,Niki,included,census:niki,WEB-EN-002,https://nikistudio.cloud/,first-party,unknown,,2026-08-11,A live product surface and first-person technical account establish a Fabric.js canvas whose shared JSON state is streamed by planner and execution agents and remains directly editable by the user
cand-gendesigns,GenDesigns,included,census:gendesigns,WEB-EN-002,https://gendesigns.ai/,first-party,unknown,,2026-08-11,Official product exposes consistent multi-screen mobile UI as editable component-backed HTML and Tailwind artifacts refined through chat and exported as code images or project packages
cand-mimic-ai,Mimic AI,included,census:mimic-ai,WEB-EN-002,https://github.com/miapre/mimic-ai,source-repository,unknown,,2026-08-11,Pinned source exposes MCP through a knowledge and enforcement layer plus WebSocket Figma plugin to create real instances bind variables validate recipes remember corrections and report system gaps
cand-wix-harmony,Wix Harmony,included,census:wix-harmony,WEB-EN-002,https://www.wix.com/harmony,first-party,Israel,https://www.wix.com/about/us,2026-08-11,Wix identifies Harmony as its current flagship builder where Aria and pixel-level editing mutate the same production site graph with business functions and publishing while legacy ADI is retired
cand-adalo-ai,Adalo AI,included,census:adalo-ai,WEB-EN-002,https://www.adalo.com/products/ai-app-builder/,first-party,unknown,,2026-08-11,Official product exposes screens relational data navigation and logic on one visual multi-screen project with targeted agent changes validation and iOS Android and web publishing
cand-microsoft-designer,Microsoft Designer,included,census:microsoft-designer,WEB-EN-002,https://designer.microsoft.com/,first-party,United-States,https://www.microsoft.com/en-us/about,2026-08-11,Official support establishes cloud-saved Designer projects where generated candidates are deliberately accepted into an editable canvas and can be refined shared or delivered across Microsoft surfaces
cand-squarespace-blueprint,Squarespace Blueprint AI,included,census:squarespace-blueprint,WEB-EN-002,https://www.squarespace.com/design/blueprint,first-party,United-States,https://www.squarespace.com/about/company,2026-08-11,Official product establishes an AI-guided starting system whose generated layout content and style become a normal editable Squarespace site and continue through platform publishing
cand-one-aida,one.com Aida,included,census:one-aida,WEB-EN-002,https://help.one.com/hc/en-us/categories/46878740562321-Aida-AI-Website-Builder,first-party,unknown,,2026-08-11,Official help establishes a conversational site project with manual edits before and after publication responsive previews commerce forms domains and provider-managed hosting
cand-brilliant-design,brilliant.design,included,census:brilliant-design,WEB-EN-002,https://brilliant.design/,first-party,unknown,,2026-08-11,Official documentation exposes native vector mutation by parallel built-in and MCP agents over plain-text autosaved design files with per-canvas undo Git versioning design-system sources and Figma round-trip
cand-ai2apps,AI2Apps,excluded,,WEB-EN-002,https://arxiv.org/abs/2404.04902,research-paper,unknown,,2026-08-11,Released canvas authors AI-agent application logic but does not independently establish a visual or Design artifact loop inside this census boundary
cand-pixso,Pixso,included,census:pixso,WEB-ZH-001,https://pixso.cn/mcp/,first-party,China,https://pixso.cn/contract-old/,2026-08-12,Official product and developer contracts establish Pixso files and native layers as the editable authority while local and remote MCP expose exact containers as structured HTML node DSL images variables and component context for agent-to-code delivery
cand-orbis,Orbis,included,census:orbis,WEB-ZH-001,https://www.orbis-intelligence.com/,first-party,unknown,,2026-08-12,Official downloadable product establishes a local-first React and Tailwind project with inline element editing design-system extraction parallel directions measured handoff and editable Figma materialization
cand-tapcanvas,TapCanvas,included,census:tapcanvas,WEB-ZH-001,https://tapcanvas.com/,first-party,unknown,,2026-08-12,Official pre-release contract defines canvases as working native mobile interfaces that the same agent creates runs troubleshoots teaches reuses and shares inside one governed runtime rather than handing off a screenshot
cand-uxbot,UXbot,included,census:uxbot,WEB-ZH-001,https://www.uxbot.cn/,first-party,unknown,,2026-08-12,Official product and tutorial establish a product-spec workflow graph editable multi-screen high-fidelity prototypes cloud simulation and Web iOS Android source delivery under one project
cand-autocraft,Autocraft,included,census:autocraft,WEB-ZH-001,https://autocraft.sh/,first-party,unknown,,2026-08-12,Official beta establishes pages as movable inspectable and duplicable canvas objects backed by frontend code with manual quick edits scoped agent refinement locked style guides references responsive preview and code download
cand-hyperplane,Hyperplane,included,census:hyperplane,WEB-ZH-001,https://hyperplane.design/,first-party,unknown,,2026-08-12,Official live service turns scanned URLs pasted HTML or MCP requests into comparable rendered designs with direct text and image refinement plus editable Figma PDF PNG HTML and share-link delivery
cand-backdraft,Backdraft,included,census:backdraft,WEB-ZH-001,https://backdraftai.com/zh/,first-party,unknown,,2026-08-12,Official documentation establishes HTML CSS React and Tailwind files as the sole design authority with CST patching bidirectional canvas and code edits bounded multi-file agent changes screenshots Git commits and deployment
cand-vberai-studio,VberAI Studio,included,census:vberai-studio,WEB-ZH-001,https://vberai.com/studio,first-party,China,https://vberai.com/ai-studio/bg-removal,2026-08-12,Official product establishes editable layer nodes and engine components on one game-art canvas with PSD PSB Figma and project import structure-preserving reskin prefab and scene export engine MCP and reverse flow back from Unity Cocos and Godot
cand-figcraft,FigCraft,included,census:figcraft,WEB-ZH-001,https://figcraft.ai/,first-party,China,https://figcraft.ai/privacy/,2026-08-12,Official product and documentation establish a local visual agent that plans tool calls and multi-step dependencies while generated images videos files and editable layers persist in a workspace for continued correction and delivery
cand-mowgli,Mowgli,included,census:mowgli,WEB-ZH-001,https://mowgli.ai/,first-party,unknown,,2026-08-12,Official product establishes a synchronized product specification moodboard alternatives full screen-flow canvas targeted and global conversational edits interactive prototypes branches and Figma React Tailwind or agent-package export
cand-uitiful,Uitiful,included,census:uitiful,WEB-ZH-001,https://uitiful.com/,first-party,unknown,,2026-08-12,Official early-access surface establishes persistent semantic interface output and visual refinement on one canvas with local-agent connections and current Web plus staged native and Figma delivery paths
cand-websim,Websim,included,census:websim,WEB-ZH-001,https://websim.com/,first-party,unknown,,2026-08-12,Official current product terms and blog establish generated interactive webpages apps games remixable hosted projects downloadable HTML and integrated model image speech and backend capabilities under one creation identity
cand-designcoder,DesignCoder,excluded,,WEB-ZH-001,https://arxiv.org/abs/2506.13663,research-paper,unknown,,2026-08-11,Paper describes a generation method but this search did not establish an independently usable product or project
cand-mastergo-ai,MasterGo AI,included,census:mastergo-ai,WEB-ZH-002,https://mastergo.com/ai,first-party,China,https://mastergo.com/serviceAgreement,2026-08-11,Native vector layers and components remain editable after AI or MCP mutation while design-system constraints and AST-backed code projection preserve production context
cand-modao-ai,墨刀 AI,included,census:modao-ai,WEB-ZH-002,https://modao.cc/,first-party,unknown,,2026-08-11,Official product and MCP contracts establish generated prototype tasks that persist as Modao files and can continue through native layers HTML React Vue and shareable previews
cand-jsdesign-ai,即时设计 AI,included,census:jsdesign-ai,WEB-ZH-002,https://js.design/,first-party,unknown,,2026-08-11,First-party evidence establishes four generated UI directions with clear editable vector layers followed by native file editing history export and product delivery
cand-boardmix-ai,boardmix AI,included,census:boardmix-ai,WEB-ZH-002,https://boardmix.cn/,first-party,China,https://boardmix.cn/about-us/,2026-08-11,AI creates structured mind maps flows presentations images and other artifacts directly into an editable collaborative infinite-canvas file rather than stopping at chat output
cand-serendie-mcp,Serendie Design System MCP,included,census:serendie-ai,WEB-JA-001,https://serendie.design/,first-party,Japan,https://github.com/serendie,2026-08-11,Official design-system pages source and Figma plugin establish agent-readable governance plus selected-layer consultation validation component detection and native token or component fixes
cand-designmd-maker-jp,DESIGN.md Maker JP,included,census:designmd-maker-jp,WEB-JA-001,https://designmdmaker.jp/,first-party,Japan,https://www.elephancube.co.jp/company/,2026-08-11,Official product and terms establish AI-proposed font color and accessibility variants followed by user selection and a downloadable user-owned DESIGN.md rationale artifact
cand-aidesigner,AIDesigner,included,census:aidesigner,WEB-JA-001,https://www.aidesigner.ai/,first-party,unknown,,2026-08-11,Current product establishes prompt and reference generation targeted edits persistent brand context editable UI projects publication and MCP access for coding agents
cand-hozo,HOZO,included,census:hozo,WEB-JA-001,https://www.dentsudigital.co.jp/sites/default/files/release/2026-06/DD2026_326_0603.pdf,first-party,Japan,https://www.dentsudigital.co.jp/news/release/services/2026-0603-000326,2026-08-11,Dentsu Digital has placed the method into operation with design-system extraction governed UI generation code and editable cloud-design output bidirectional conversion and propagated token changes
cand-layermate,Layermate,included,census:layermate,WEB-JA-001,https://www.kabutec.jp/pdf/202604/140120260414503742.pdf,first-party,Japan,https://goodpatch.com/news/2025-10_layermate-gp-ax,2026-08-11,Official current product and owner evidence establish selected-layer context conversational generation variants flows fine edits and native editable Figma auto-layout structures
cand-protopie,ProtoPie,excluded,,WEB-JA-001,https://www.protopie.jp/page,first-party,unknown,,2026-08-11,Reviewed result established a traditional no-code prototyping product but no AI-native or agentic Design loop
cand-mushu,Musho,included,census:musho,WEB-JA-001,https://musho.ai/,secondary-discovery,unknown,,2026-08-11,The discovery spelling is corrected to Musho whose contemporaneous maker launch establishes prompt-driven editable on-brand Figma website generation while the now parked domain establishes historical status
cand-dreamina,Dreamina,included,census:dreamina,WEB-KO-001,https://dreamina.capcut.com/ko-kr/,first-party,unknown,,2026-08-11,First-party product evidence establishes generation plus a multi-layer canvas reusable layouts shared creative workspace timeline refinement and image or video delivery inside one managed project surface
cand-prototypeagent,PrototypeFlow,excluded,,WEB-KO-001,https://arxiv.org/abs/2412.20071,research-paper,unknown,,2026-08-11,Paper names PrototypeFlow rather than PrototypeAgent and no independently released product or maintained implementation was found
cand-flato,Flato,included,census:flato,WEB-ES-001,https://www.flato.ai/es/,first-party,unknown,,2026-08-12,Official current product defines a persistent structured presentation canvas jointly inspected and edited by Copilot external MCP agents and humans with motion interaction and multiple delivery paths
cand-komposo,Komposo,included,census:komposo,WEB-ES-001,https://www.komposo.ai/,first-party,unknown,,2026-08-12,Official current product and rebrand record establish continuing editable multi-screen UI projects conversational revision candidate comparison Figma transfer and multi-framework code export
cand-pixello,Pixello,included,census:pixello,WEB-ES-001,https://pixello.tech/,first-party,unknown,,2026-08-12,Official documentation establishes repository-owned human-readable design JSON local Git versioning an IDE canvas MCP generation and automatic design-code synchronization
cand-disenia,DisenIA,included,census:disenia,WEB-ES-001,https://disenia.app/,first-party,unknown,,2026-08-12,Current first-party application establishes model-selectable multi-device UI generation reusable components tokens responsive layout prompt history visual diffs versions and HTML React or Figma delivery
cand-codia,Codia,included,census:codia,WEB-ES-001,https://www.codia.ai/,first-party,unknown,,2026-08-12,Official platform defines one Vision AI lineage that reconstructs flat visual inputs into structured editable artifacts generates prompt-led designs and materializes Figma into multiple code targets through a shared VisualElement schema
cand-quby-weave,Quby Weave,included,census:quby-weave,WEB-ES-001,https://www.quby.app/tools/weave,first-party,United-States,https://www.quby.app/tools/ui-remixer,2026-08-12,Quby presents Weave Stitch and UI Studio as one current UI workflow with prompt or screenshot starts multi-screen canvas chat refinement design-system constraints layer separation version history and code Figma or live-preview delivery
cand-botpress-studio,Botpress Studio,excluded,,WEB-ES-001,https://botpress.com/es/features/ai-agent-studio,first-party,unknown,,2026-08-11,Canvas designs agent logic rather than a visual or interactive artifact treated as Design in this study
cand-artiso,Artiso,included,census:artiso,WEB-ES-001,https://cadenaser.com/galicia/2025/07/10/artiso-la-plataforma-que-revoluciona-la-moda-con-inteligencia-artificial-radio-coruna/,first-party,Spain,https://www.artiso.ai/about-us,2026-08-12,Official Barcelona team and product establish an agentic fashion lifecycle from trend and moodboard exploration through CAD prints technical packs and campaign assets rather than an image-only endpoint
cand-inescop-footwear-prototype,INESCOP footwear prototype,included,census:inescop-footwear,WEB-ES-001,https://cadenaser.com/comunitat-valenciana/2026/02/19/inescop-e-iti-crean-un-prototipo-de-ia-generativa-que-convierte-descripciones-en-bocetos-de-calzado-listos-para-fabricar-radio-elda/,first-party,Spain,https://www.inescop.es/es/i-d-i/proyectos-i-d-i/proyectos-i-d-i-ivace/ivace/63-2025/867-aigen4fashion,2026-08-12,Official completed research project establishes a specialized generative footwear designer that turns text into technical sketches constrained by a digital last and intended for manufacturing review
