slug,total,authority,mutation,artifact,human_loop,delivery,rationale
claudekit-marketing,6.8,7,6,8,6,7,"Claude Code orchestrates a filesystem-governed production line over brand guidelines, tokens, CSS, HTML/SVG/PPTX and organized asset directories; Gemini and MiniMax scripts generate or analyze media and token validators/asset checks 'return defects to the workflow'. Mutation is 6: validation feedback loops drive corrections, but direct in-place AI editing of existing assets is not detailed; durable, reopenable filesystem artifacts and real asset deliverables carry the higher dimensions."
claude-webkit,7.6,8,7,9,6,8,"AI turns a short business interview into a complete Next.js project under site/ ('the agent builds source under site/'), so generation is the authoring axis. Revisions are applied to the existing generated project ('the user reviews the actual page, asks for revisions'), the durable source tree is the artifact, and delivery closes with an optional Vercel deployment plus user-retained source. Penalized slightly on human_loop because four intake rounds plus plan approval and deployment authorization are deliberate human checkpoints."
design-md-agent-skill,5.6,6,4,7,5,6,"The SKILL.md lets an agent create a DESIGN.md from a brief or repository scan and its scripts scaffold, lint/diff and preview the design document, giving the agent real authorship of a structured YAML-frontmatter artifact. Mutation is capped because 'there is no hosted editor or automatic write-back' and dmd.py only lints/diffs/exports while files and Git own recovery. Delivery reaches materialized HTML preview and exported CSS/token JSON but not a shipped design product."
forge-nihalashetty,6.6,6,5,8,6,8,"An in-product assistant can draft and run a workflow while the user inspects 'what the model sees,' edits the graph and tests before publication, so AI co-authors the workflow design rather than wholly owning it. The workflow.json schema is a durable, structured graph contract backed by versions, evaluations and traces, and delivery spans run API, MCP, email and web widgets. Mutation of existing workflows by AI is only weakly evidenced (drafting is primary), so mutation is scored 5."
copy-design-cli,5.0,6,3,7,4,5,"A vision model infers typography, color, spacing and radii from a screenshot into an approximate DESIGN.md ('URL -> browser screenshot -> vision-provider inference -> approximate DESIGN.md'), so AI authors the reconstructed design system. Mutation is one-shot: 'user correction of the file' is manual and the document only becomes authority after review, with files/Git providing persistence. Delivery stops at a previewed design document and does not reach a shipped product."
reframe,7.8,8,8,9,6,8,"Reframe compiles brief/HTML/blueprint into an INode SceneGraph and the embedded agent and reframe_edit tool directly mutate that persistent graph with audit auto-fix, making AI a primary author and editor of the design. The .reframe project layers project.json, scene JSON, ops.jsonl history, components and brands as durable structured artifacts. Penalized for partial operation-history replay, best-effort non-atomic saves and a CLI whose documented commands are not implemented; delivery covers ten export routes including HTML, React and bundle."
hemline,6.6,7,7,6,6,7,"Hemy reads project context and routes fashion operations such as sketch-to-render, render-to-technical-flat and fabric/color replacement, so AI generates and edits renders from references. The shared canvas library tags and versions assets, but evidence is architecture-level and inputs are JPEG/PNG, so the artifact is a versioned image library rather than a parametric model and internal schema/version graph are closed. Delivery reaches technical flats and commerce imagery, while tech-pack automation remains unshipped future."
computational-design-skills,4.0,4,3,5,4,4,"The skills route domain reasoning and run deterministic Python calculators, generating BIM templates and fabrication specs, but 'the package is not a unified visual editor and does not persist a native model itself,' so AI shapes guidance rather than owning the design. No evidence of AI editing an existing persistent design model; outputs are handed to the user's chosen CAD/BIM authoring tool. Delivery is limited to templates/specs that feed downstream tools, and the human operates the authoring environment."
quill-design,7.0,7,7,8,6,7,"Multi-provider model output streams into the same vector scene humans edit (stream-parser.ts), so AI generates directly into the durable project that persists through project-manager.ts with layers, symbols and multi-page structure. Streamed scene mutations plus direct node edits and full undo/redo make AI a co-editor of the persistent artifact rather than a one-shot generator. JSX/SVG/HTML/PNG exports are deliverable but are independent materializations with no round-trip back into the project."
aispirit-agent,4.6,3,3,7,4,6,"The canvas is a human-authored graph-authoring interface over an event-driven runtime; no evidence that AI authors or mutates the workflow graph, and code generation is only a downstream projection ('emit a summary and Python representation'). The serialized graph models plus SQLite WAL event store and checkpoints are durable structured artifacts. Delivery compiles authored graphs into a working runtime, but authorship and iteration remain manual, so authority and mutation are 3."
design-driven-development,7.0,7,7,8,5,8,"Four role-separated agents move a brief through discovery, concepts, high-fidelity screens and implementation with product design using Figma as native authority and an executor receiving bundles for architecture/backend/frontend, so AI authors the design and code. Figma graphs, design-system knowledge and memory directories are durable structured artifacts, and the pipeline reaches executable implementation. Human checkpoints separate design approval from construction, which is why human_loop is 5."
buildev,7.6,7,8,9,6,8,"Concurrent generation agents execute document and node operations against the .op JSON AST, and the canvas synchronizer keeps the Skia projection in sync with the document store, so AI both authors and iterates the persistent design artifact with Git-backed diff/recovery. Mutation is strong because agent tools and parsers update the shared graph rather than returning disconnected mockups. Delivery spans many framework exporters (React, HTML, Vue, Svelte, Flutter, SwiftUI, Compose, React Native), with fidelity noted as target-specific."
aura-ai-workflow-builder,4.2,3,2,7,4,5,"Aura is a LiteGraph canvas where the human authors the workflow; the backend only reconstructs and executes the drawn dependency graph, and no evidence shows AI writing or editing the graph itself. The serialized graph JSON is a durable structured artifact with named file persistence, but there are no users, versions or run ledger, and the API connector is an explicit timed mock with a silent Gemini-to-mock fallback. Delivery executes workflows but is transitional, so authority and mutation score 3 and 2."
design-for-ai,6.0,6,5,8,4,7,"Dealer and palette scripts generate candidate mocks across aesthetic axes while preserving user-pinned taste, and a build agent turns an approved mock into committed repository source, so AI generates candidates but the human gates each of four stages (research, plan, mock sign-off, build). Repository files and Git remain authoritative durable artifacts. Mutation is moderate because the visual critic and detector review renders rather than directly patching existing source, and browser pixels are evidence only."
uizard,7.2,8,8,8,6,6,"Autodesigner 2.0 generates multi-screen projects and modifies existing selections by native object id, returning add/modify/delete commands ('createDesignFromText... selectedNodeIds'), so AI directly mutates the hosted prototype graph. The prototype is a durable structured artifact (screens, native objects, interactions, brand kits) though autosave is not version history and themes are materialized patches rather than live token bindings. Delivery is deliberately plural and lossy: static/PDF/SVG and one-component React/CSS forks, but no whole-project runnable export."
figml,3.2,2,2,5,3,4,"FigML does not call a model on the user's behalf; it deterministically exports selected Figma frames to XML and the user manually carries that XML to a chosen assistant, so the plugin itself has near-zero design authority and no mutation of existing work. The XML is a durable grounding intermediate and Figma remains the design authority with the repository becoming a separate implementation authority and no round-trip promised. Delivery relies on the external assistant for code, so the tool covers only a conversion fragment (bridge per rule 6)."
owox-data-marts,6.4,6,6,8,5,7,"AI proposes source/template actions and writes prose from approved results, and 'analysts own SQL and AI writes prose from approved results,' with AiSourceApplyService persisting and transactionally applying actions only past an explicit apply gate; the MCP surface creates/updates reports and can deliver to Sheets/Looker/chat. Persistent TypeORM entities for marts, reports, schedules and run history are durable structured artifacts, though no user-facing branch/commit history is established. Authority is tempered because the SQL/connector definition remains the numerical authority."
penpot-skills,6.6,7,7,8,5,6,"The skills execute real multi-step transformations inside the Penpot plugin API — code-to-design-system, Figma migration, system-bound screen design — with a self-critique loop against a score threshold, so AI authors and mutates native Penpot objects. Penpot remains the authoritative editable artifact and every mutation runs in its environment, with recovery depending on the host file and history. Human approval gates (direction card approval) keep human_loop at 5, and delivery is design objects plus screenshots/audits inside Penpot rather than a shipped application."
ai-ui-builder-sharadpatil,7.2,7,8,8,6,7,"The first prompt routes through planner/generator/explainer into React source and later prompts call modifier.js, which 'sends that code and the requested change to Gemini 2.5 Flash,' so the model directly edits the current code authority rather than regenerating from scratch. currentCode is the shared input to editor, preview and next modification, with a sandboxed iframe preview. versionStore.js and storage.js persist generated/modified/rollback states to sessions_data.json, so versions survive process restart and delivery is exportable React source plus live preview."
auteur,7.0,7,6,8,6,8,"The skill profiles reference sites, captures a moodboard and shot plan, generates assets and 'builds the implementation,' so AI authors the website from explicit direction that itself becomes repository artifacts before code generation. The site source plus retained design artifacts are authoritative and durable. Mutation is scored 6 because iteration is evidenced through screenshot gates and an anti-slop linter comparing built source to decisions rather than a documented direct-edit loop, and delivery closes to a built site with route-level design-system checks."
design-ruler,2.8,2,2,3,4,3,"Design Ruler is a measurement-first verification tool: it returns computed rectangles as JSON, captures screenshots and tints the reference for pixel-offset visibility, but 'never writes application code or decides aesthetic correctness' and the repository remains authoritative, so it has no design authority and no artifact mutation. Outputs are evidence reports rather than durable design artifacts. It covers a check fragment of the loop with an external agent performing source fixes, so this is bridge/tooling at 2.8."
agentation,3.6,3,2,6,4,3,"Agentation records human intent as structured annotations, placements and rearrangement proposals ('proposal geometry, not target-source AST nodes') and the external repository remains authoritative, so the tool neither authors nor mutates the design. Its feedback artifact — annotations, sessions, events in SQLite/localStorage — is durable and structured, which is the strongest dimension. Delivery is an intent/context primitive: an external coding agent must perform the actual edits, so the loop covers only a fragment."
uicanvas,6.8,7,8,7,6,6,"An MCP-connected agent creates and modifies UI artboards as HTML where 'HTML/CSS is both what the agent writes and what the canvas renders,' so AI authors and directly mutates the live canvas via MCP/WebSocket operations with in-session undo/redo. Artboards and the .uicanvas workspace are portable, editable artifacts, though no durable multi-user or version-history service is documented. Delivery is saved workspaces or copied HTML rather than a full published pipeline."
talktofigma,6.8,7,8,8,6,5,"The bridge gives an MCP-capable agent broad native write tools — createSection, appendChild, node property assignment, remove, bulk text replacement and override propagation — so an AI coding agent directly mutates the authoritative open Figma document, which is a durable structured artifact owned by Figma. Design authority rests with the external agent using the tools, so authority is 7 rather than higher. Delivery is a control path into the host document with no own store, transaction wrapper or version graph, and recovery falls back to Figma."
kin3o,7.2,7,8,8,6,7,"Kin3o generates Lottie/dotLottie JSON from prompt, tokens and motion personality, maps emotions to timing/easing constraints and validates with auto-fix, so AI authors the motion design. The refine command 'reads the existing artifact and writes a versioned successor rather than overwriting it by default,' giving strong mutation of the Git-friendly diffable Lottie artifact. Delivery closes with marketplace publish or MP4/WebM/GIF render, with the browser preview treated as evidence."
ai-diagrammer,5.6,7,4,7,5,5,"Azure OpenAI produces structured typed nodes and edges that are auto-laid-out and merged into the existing DiagramData scene, so AI authors editable structured diagram fragments that round-trip through JSON and persist in a Supabase JSONB row. Mutation is capped because 'there is no AI patch protocol for existing elements; subsequent correction is primarily direct manipulation,' and only fifty in-memory history snapshots survive, reset on reload. Delivery is the authored scene and JSON import/export rather than a full published loop."
abu-cowork,7.0,7,7,8,6,7,"Built-in skills write ordinary workspace files (HTML/SVG/PPTX) from briefs and the workspace file remains authoritative, with canvasVersions implementing named snapshots/restore and editorReconcile arbitrating agent filesystem updates against local edits, so AI authors and co-edits durable files. Ephemeral widgets are correctly separated from durable workspace artifacts, with model-facing vocabulary generated from the same designSystem constants the renderer defines. Delivery reaches previewable, versioned and rollback-able HTML documents and deck files, with medium human involvement in correction and rollback."
bigbangdev,7.4,8,7,8,6,8,"Architecture, file writing, QA and deployment are LangGraph steps where the backend writes model-returned files into the React workspace and 'failed checks route back to the developer node,' so AI authors the app and iterates on its own files through a QA loop. Workspace files remain the shared authority and the event stream only explains state. Delivery closes with a local preview or final deployment URL, giving a full intent-to-deployed loop."
misko-circuits,5.4,4,4,7,5,7,"The skills orchestrate code-generated KiCad boards through placement, routing, ERC/DRC and fabrication checks, but the design generation is deterministic Python emitting .kicad_sch and driving pcbnew, so AI authorship is tooling-directed rather than model-authored. KiCad files are diffable, regenerable and checkable, and the workflow iterates routing/verification as separate gates. Delivery reaches fabrication/order preparation and release files, which is substantial, but authority and mutation stay low per rule 6 for deterministic converter workflows."
slides-grab,6.8,6,8,8,5,7,"The editor turns a bounded-box selection plus instruction into a scoped subprocess source edit (codex-edit.js), so a coding agent directly revises the existing slide HTML, and manual direct editing writes the same source so paths do not diverge. HTML slides are the durable, hash-fingerprinted edit authority. The two-pass design gate with a Proceed receipt blocks PDF/PNG/PPTX/Figma export on stale or un-reviewed source, so human review is a hard checkpoint (human_loop 5) and delivery is gated but complete."
pagepilot,4.8,5,2,6,5,6,"The model fills a bounded content schema (eyebrow, headline, description, CTA, three features) and a deterministic renderer owns layout and export, so AI authors the copy/content while layout is fixed and 'arbitrary layout editing and durable projects are outside the current product.' No edit/iteration loop on an existing artifact is evidenced and invalid model output falls back to a local deterministic draft, so mutation is 2. Delivery is a reproducible standalone HTML document from the same SiteDraft fields."
aniya-studio,7.0,7,8,8,6,6,"AgentGo generates an HTML deck from a topic and the agent mode patches a selected DOM element via natural language with tag/text/styles/CSS path attached to the instruction, so AI authors and directly mutates the persistent original HTML. Named saves and restores are backend-connected with an e2e version-restore test, and preview/export always use the agent's original HTML rather than the GrapesJS editor model, keeping the durable authority stable. Delivery covers preview, PDF/PPTX and version restore, with PPTX flagged as a lossy conversion projection."
talk-to-your-slides,8.2,8,9,9,7,8,"AI Planner interprets an NL edit request and the Applier generates Python that mutates live PowerPoint COM objects and calls presentation.Save(), so AI authors in-place changes to the user's existing deck (""execute generated COM mutations""). The native PowerPoint document remains the durable editable authority. No application-level transaction or undo journal and ambiguous shape targeting mean partial executions and retries still need human verification, so human_loop and delivery are slightly discounted."
fusionmcp,6.2,6,7,8,5,5,"A model proposes typed engineering actions validated with Pydantic schemas, and a Fusion add-in executes them into the native parametric document (""validated FusionAction -> local add-in -> sketch/feature mutation in Fusion document""). The action vocabulary is deliberately limited (boxes, cylinders, holes, extrudes, fillets, materials), so it is not full design authorship. The dossier gives little evidence on the human loop or a complete shipped design result, so those dimensions are scored low."
text2diagram,5.0,6,4,5,5,5,"AI generation is a single GPT-4o mini request that replaces the editor's one Mermaid string; it ""does not pass current source for targeted revision,"" so mutation of existing work is minimal (whole-state replacement). The only persistent state is a single local-storage key, so artifact is a lean editor state rather than a managed project. PNG/SVG exports are rendered derivatives that deliver but do not export the editable source."
aionui,6.4,7,6,7,6,6,"Built-in assistants create presentations, documents, spreadsheets and web artifacts in a workspace where ""HTML changes can move between rendered and code views without leaving the workspace,"" so agents author persistent workspace files. AionUi itself orchestrates previews while OfficeCLI executes native mutation, so the full artifact mutation loop partly depends on a separate product. Delivery to final native Office output is therefore assessed as orchestrated rather than self-contained."
ai-website-builder-bonifacio,6.2,7,7,6,5,6,"The model receives the description and current document and returns a complete HTML page that becomes current website state, so AI is the author and can iterate on existing work. Persistence is a file-locked pickle store of per-user sessions with a chat-shaped version trail and restore, which is durable but lacks database-level concurrency or migration semantics. Publish points a share route at the same session artifact rather than a deployment build."
sensenova-skills,6.4,7,6,7,5,7,"The PPT generation contract moves from style/outline to asset plan, page HTML, per-page review and PPTX export, so agents author the presentation while retaining page HTML as a re-editable intermediate. A visual workbench lets the user select, resize and regenerate slide elements, which is human-in-the-loop element editing rather than full AI iteration. The exported .pptx is the native delivery artifact and an editable deck example is released."
officecli,7.0,5,9,8,6,7,"OfficeCLI is the mutation engine: PowerPoint handlers resolve selectors and manipulate native text, fills, tables, charts and animations inside real Open XML parts with an AtomicPackageWriter, so it directly edits the persistent .pptx rather than regenerating it. Authoring authority is exercised by the agents that drive it, and the Morph skill adds design policy on top, so the tool itself is not the design author. The .pptx remains the authority and reopens in ordinary Office software."
redesignr-ai,6.4,7,6,6,6,7,"First-party architecture describes generating one or three website alternatives from a URL or captured page that are then editable via AI chat and visual editors, with React/Tailwind export. Evidence is architecture-level: the hosted editor internals, revision model and selection protocol are unexplored, so mutation and artifact mechanics are credited from claims and slightly penalized. Delivery to exported code and hosted pages is documented but the code export is a materialization boundary."
openmontage,8.0,8,8,8,8,8,"Stage-specific director skills drive research through script, assets, timeline and composition while ""project manifests, scripts, timelines, assets, checkpoints and decision logs jointly form production authority,"" so AI authors and mutates a persistent filesystem project. Backlot and delivery-promise gates pause for human approval and block bad renders, matching the review/steer loop. The MP4 is the final delivery projection but all intermediate state is recoverable and auditable."
framelink-mcp,3.0,2,2,3,5,3,"Framelink is deliberately read-only toward Figma: two tools obtain simplified Figma data and download images, with ""no node-creation or mutation tools"" and no reverse sync, so it is a design-to-code bridge rather than a design author. The downstream repo becomes the artifact but Framelink does not edit or persist any design state itself. It runs automatically, but it delivers only context, not a shipped design result."
heroui,2.8,2,2,3,5,2,"HeroUI's MCP servers and skills extract component docs, source and theme variables so coding agents build UI constrained by the design system; the code packages remain authoritative and nothing is mutated by the product itself. It is agent-facing knowledge infrastructure of a design system, not a system that generates or edits design artifacts. Automatic to query, but it delivers only reference data and an isolated agent surface."
archify,6.4,7,5,7,6,7,"An agent authors typed semantic JSON against a defined skill contract and renderers produce interactive HTML, PNG, SVG, WebM and share-card assets from that IR, so AI authors the model that defines the diagrams. Delta artifacts make change reviewable, but direct iterative mutation of an existing authored model is not strongly evidenced. The structured IR is durable and the delivery contract distinguishes semantic validity from rendered usability."
pix,6.8,7,8,7,6,6,"Pix runs a closed visual correction loop: it implements repository source from Figma reference data, then uses runtime screenshots and computed styles to diagnose differences and correct source repeatedly (""source correction -> repeat""). This is direct AI mutation of the persistent repository artifact, which becomes runtime authority. It remains an instruction package without its own metric engine or comparison history, so delivery is a converged implementation rather than a measured end-to-end product."
noir-dev,6.2,7,6,7,5,6,"Noir.dev persists current project code plus autosaved numbered version snapshots with revert and comparison, and WebContainer projects that code into a preview environment, so generation happens against recoverable project state. AI-authored generation replaces the code artifact rather than surgically editing it, and revert requires the caller to re-apply the version to the current project, which slightly weakens mutation and delivery claims. Deployment and export services consume chosen states."
cr8-xyz,7.2,7,8,8,6,7,"The B.L.A.Z.E agent discovers installed Blender capabilities and executes natural-language edits against the native scene, with screenshots fed back as visual state, so AI both authors and mutates the canonical Blender scene. Blender scenes and saved .blend files remain the durable authority while WebRTC is only a projection surface. Render and blend-file endpoints deliver the outputs."
uspec,5.0,5,4,6,5,5,"Agent skills normalize a captured Figma component into Component Markdown as the durable source of truth, then render selected contract sections back into Figma as annotation frames, so AI synthesizes documentation artifacts. The Figma render is a projection and ""edits made only to those frames are not a reverse update,"" so AI mutation of the design graph is limited to creation of new frames. It delivers documentation rather than a design itself."
synapse-app-builder,6.4,7,7,7,5,6,"The model proposes a typed BuildPlan spanning data, state, behavior, automation and visual pages, and only a validated plan is applied by BuildPlanApplier into durable records, so AI authors and directly mutates the managed application. The GrapesJS canvas is one view of a larger managed project and page revisions preserve visual changes. The validation gate implies human review before mutation, keeping human_loop moderate."
prototype-to-figma-skill,5.4,6,5,6,5,5,"The skill decomposes a working prototype into screens and states, maps elements to the target design system, and writes native frames, instances and annotated flows into Figma through MCP, so AI authors a native Figma design from an implemented prototype. It materializes a new Figma graph rather than mutating an existing one, and the source prototype and Figma remain two authorities with only traceability, not merge. Figma owns persistence after materialization."
