slug,product,organization,evidence_depth,lifecycle,bucket
agentix,Agentix,pruthviraj-agentix,source,active,active
agents-ui,agents-ui,ngxba-agents-ui,source,active,active
agents365-drawio-skill,Agents365 Draw.io Skill,agents365-drawio-skill,source,active,active
agentsite,AgentSite,juan-agentsite,source,active,active
agon,Agon,agon-team,source,active,active
ai-app-builder-abdul,AI App Builder by Abdul Baqui,abdul-app-builder,source,active,active
ai-app-builder-doratiotto,AI App Builder by Doratiotto67,doratiotto-ai-app-builder,source,active,active
ai-app-builder-edge,AI App Builder by Shoaib Ahmed,edge-ai-app-builder,source,active,active
ai-app-builder-eugene,AI App Builder by Eugene McMillian,eugene-ai-app-builder,source,active,active
ai-app-builder-piyush,AI App Builder by Piyush Agarwal,piyush-ai-builder,source,active,active
ai-app-builder-saas-tauhid,AI App Builder SaaS by Yayasan At-Tauhid,tauhid-app-builder,source,active,active
ai-app-developer-rajnish,AI App Developer by Rajnish Kumar,rajnish-app-developer,source,active,active
ai-builder-nishant,AI Builder by Nishant Chaudhary,nishant-dashboard-builder,source,active,active
ai-cad,AI-CAD,vespo-ai-cad,source,active,active
ai-code-tutor-video,AI CodeTutor Video Generator,pushkar-code-tutor-video,source,active,active
ai-component-builder-aditya,AI Component Builder by Aditya Sharma,aditya-sharma-ai-component-builder,source,active,active
ai-component-builder-bluntbrain,AI Component Builder by bluntbrain,bluntbrain-component-builder,source,active,active
ai-component-builder-debanik,AI Component Builder by Debanik,debanik-component-builder,source,active,active
ai-component-builder-devisha,AI Component Builder by Devisha Arora,devisha-component-builder,source,active,active
ai-component-builder-gokul,AI Component Builder by Gokul Krishna,gokul-component-builder,source,active,active
ai-component-builder-harshbhx,AI Component Builder by Harsh Bhanushali,harsh-cursor-component-builder,source,active,active
ai-component-builder-iaman,AI Component Builder by Aman Raj,aman-component-builder,source,active,active
ai-component-builder-sanskriti,AI Component Builder by Sanskriti Singh,sanskriti-component-builder,source,active,active
ai-component-builder-stacked,AI Component Builder by StackedByAdit,stacked-component-builder,source,active,active
ai-component-generator-sandbox,AI Component Generator Sandbox,daniela-component-sandbox,source,active,active
ai-component-generator-shakti,AI Component Generator by Shakti Prasad Ram,shakti-component-generator,source,active,active
ai-consulting-soyeon,AI Consulting Workflow,ai-consulting-team,source,active,active
ai-creative-studio,AI Creative Studio,saoussen-ai-creative-studio,source,active,active
ai-design-engineer,AI Design Engineer,agenisea-design-engineer,architecture,active,active
ai-design-skills,AI Design Skills,goodnotes-workshop-skills,source,active,active
ai-design-space,AI DESIGN SPACE,ai-design-space-studio,architecture,active,active
ai-design-studio,AI Design Studio,abhinav-room-design-studio,source,active,active
ai-diagram-copilot-pranav,AI Diagram Copilot by Pranav,pranav-diagram-copilot,source,active,active
ai-diagrammer,AI Diagrammer,eric-ai-diagrammer,source,active,active
ai-diagrams,AI Diagrams,kavishan-ai-diagrams,source,active,active
ai-diagrams-toolkit,AI Diagrams Toolkit,prieto-ai-diagrams-toolkit,source,active,active
ai-draw-nexus,AI Diagram Hub / AI Draw Nexus,hkxiaoyao-ai-draw-nexus,source,active,active
ai-factory,AI Factory,ai-factory-team,source,active,active
ai-figma,AI Figma,vardot-figma-canvas,source,active,active
ai-forge-mcp,AI Forge MCP,hurtz-ai-forge,architecture,active,active
ai-frontend-generator-amit,AI Frontend Generator by Amit Sharma,amit-sharma-ai-frontend-generator,source,active,active
ai-game-launchpad,AI Game LaunchPad,oplooins-game-launchpad,source,active,active
ai-generator-abhi,AI Generator by Abhi Gandhi,abhi-ai-generator,source,active,active
ai-landing-generator-pro,IA Landing Generator Pro,emiliano-ia-landing,source,active,active
ai-media-canvas,AI Media Canvas,tutti-os-ai-media-canvas,source,active,active
ai-orchestration-honey610,AI Orchestration UI Generator by Shishir Gupta,honey610-ai-orchestration,source,active,active
ai-parametric-cad,AI Parametric CAD Generator,zak-ai-parametric-cad,source,active,active
ai-prototyper,AI Prototyper,ai-prototyper-research,source,active,active
ai-shortfilm-studio,AI Shortfilm Studio,dcongthinh-shortfilm,source,active,active
ai-ui-builder-akshay,AI UI Builder by Akshay Chaulya,akshay-ai-ui-builder,source,active,active
ai-ui-builder-devdiego,AI UI Builder by Diego Perez,diego-ai-ui-builder,source,active,active
ai-ui-builder-eptura,AI UI Builder by Alexandr Davydov,alexandr-davydov-ai-ui-builder,source,active,active
ai-ui-builder-isvaku,AI UI Builder by Rigoberto Quezada,isvaku-ai-ui,source,active,active
ai-ui-builder-merchantry,AI UI Builder by Merchantry,merchantry-ui-builder,source,active,active
ai-ui-designer,AI UI Designer,ai-ui-designer,architecture,active,active
ai-ui-generator,AI UI Generator / Design Engine,dhruv-ai-ui-generator,source,active,active
ai-ui-generator-deepanshu,AI UI Generator by Deepanshu Sharma,deepanshu-ai-ui,source,active,active
ai-ui-generator-dhruv,AI UI Generator by Dhruv Jain,dhruv-ai-ui,source,active,active
ai-ui-generator-harshi,AI UI Generator by Harshi,harshi-ai-ui-generator,source,active,active
ai-ui-generator-mohit,AI UI Generator by Mohit Aggarwal,mohit-ai-ui,source,active,active
ai-ui-generator-mondo,AI UI Generator by Mohannad Abdelrazek,mondo-ai-ui,source,active,active
ai-ui-generator-yash,AI UI Generator by yashsaini0759,yash-ai-ui,source,active,active
ai-ui-style-director,AI UI Style Director,bayes-wang-ai-ui-style-director,source,active,active
ai-ui-table-generator-dladislav,AI UI Table Generator,vladyslav-ai-ui-table-generator,source,active,active
ai-ux-writer,AI UX Writer,ai-ux-writer-ragnak8,architecture,active,active
ai-web-app-builder-shubha,AI-Powered Web App Builder by Shubha,shubha-web-builder,source,active,active
ai-webpage-generator-achua,AI Webpage Generator by Achuajays,achuajays-ai-webpage-generator,source,active,active
ai-webpage-generator-pa741,AI Webpage Generator by Pablo de Groot,pablo-de-groot-ai-webpage-generator,source,active,active
ai-website-builder-bonifacio,AI Website Builder by Bonifacio Calindoro,bonifacio-ai-builder,source,active,active
ai-website-builder-builtbyv,AI Website Builder by V,builtbyv-ai-website-builder,source,active,active
ai-website-builder-chitransh,AI Website Builder by Chitransh Chocksey,chitransh-ai-builder,source,active,active
ai-website-builder-dennis,AI Website Builder by Dennis Faucher,dennis-ai-builder,source,active,active
ai-website-builder-firefetch,AI Website Builder by Firefetch,firefetch-ai-builder,source,active,active
ai-website-builder-krishna,AI Website Builder by Krishna Paralkar,krishna-ai-builder,source,active,active
ai-website-builder-lab1207,AI Website Builder by Vaibhav Hajare,lab-ai-builder,source,active,active
ai-website-builder-lucas,AI Website Builder by Lucas H507,lucas-ai-builder,source,active,active
ai-website-builder-markec,AI Website Builder by markec12345678,markec-ai-builder,source,active,active
ai-website-builder-mohammad,AI Website Builder by Mohammad Armaan,mohammad-ai-builder,source,active,active
ai-website-builder-ratna,AI-Powered Website Builder by Ratna Babu,ratna-babu-ai-website-builder,source,active,active
ai-website-builder-safwan,AI Website Builder by Safwan Hanif,safwan-ai-builder,source,active,active
ai-website-builder-shekhbasir,AI Website Builder by Shekh Basir,shekhbasir-ai-website-builder,source,active,active
ai-website-builder-subrata,AI Website Builder by Subrata Ghosh,subrata-ai-builder,source,active,active
ai-website-builder-vardhan,AI Website Builder by Vardhan V,vardhan-ai-builder,source,active,active
ai-website-builder-vijay,AI Website Builder by Vijay Kusekar,vijay-ai-builder,source,active,active
ai-website-builder-zaran,AI Website Builder by Zyra,zaran-ai-builder,source,active,active
ai-website-generator-aditya-umale,AI Website Generator by Aditya Umale,aditya-umale-ai-website,source,active,active
ai-website-generator-dhanu7789,AI Website Generator by Dhanu7789,dhanu7789-google-deepmind,source,active,active
ai-website-generator-gokulbits,AI Website Generator by GokulBits18,gokulbits-ai-website,source,active,active
ai-website-generator-gururaj,AI Website Generator by GururajCharan,gururaj-ai-website,source,active,active
ai-website-generator-jordan,AI Website Generator by Jordan D'Souza,jordan-ai-website,source,active,active
ai-website-generator-kpriya,AI Website Generator by Krishna Priya,krishna-priya-ai-website,source,active,active
ai-website-generator-maurya,AI Website Generator by Maurya Patel,maurya-groq-site-generator,source,active,active
ai-website-generator-nithin,AI Website Generator by Nithin1616,nithin-ai-website,source,active,active
ai-website-generator-pappu,AI Website Generator by Pappu Kumar,pappu-ai-website,source,active,active
ai-website-generator-praneet,AI Website Generator by Praneet Biswal,praneet-ai-website,source,active,active
ai-website-generator-rishi,AI Website Generator by Rishikesh Ugale,rishi-ai-website,source,active,active
ai-website-generator-shaxx,AI Website Generator by Shaxxshankari,shaxx-ai-website,source,active,active
ai-website-generator-shrutika,AI Website Generator by Shrutika Kapade,shrutika-ai-website,source,active,active
ai-website-generator-tayyabeh,Agentic AI Website Builder by Tayyab Ellahi,tayyab-agentic-web,source,active,active
ai-website-generator-tony,AI-Powered Website Generator by Tony-VBB,tony-ai-website,source,active,active
ai-website-generator-tulsi,AI Website Generator by Tulsi Pandey,tulsi-ai-website-builder,source,active,active
ai-website-generator-varun,AI Website Generator by Varun Sharma,varun-ai-website-generator,source,active,active
ai-workflow-automation-vmk,AI Workflow Builder Platform by VMK-004,vmk-004-ai-workflow-automation,source,active,active
ai-workflow-builder-anshii,AI Workflow Builder by Anshi Jain,anshii-workflow-builder,source,active,active
ai-workflow-builder-fuleinist,ai-workflow-builder by fuleinist,fuleinist-workflow-builder,source,active,active
ai-workflow-builder-rmounith,AI Workflow Builder by R. Mounith Reddy,rmounithreddy-ai-workflow-builder,source,active,active
ai-workflow-builder-robertsbob,AI Workflow Builder by Roberts B,robertsbob-ai-workflow-builder,source,active,active
ai-workflow-builder-sanket-hatti,AI Agent Workflow Builder by Sanket Hatti,sanket-hatti-ai-agent-workflow-builder,source,active,active
ai-workflow-builder-toobahasnain,AI Workflow Builder by Syeda Tooba Hasnain,toobahasnain-ai-workflow-builder,source,active,active
ai-workflow-builder-upinder28,AI Workflow Builder by Upinder Kaur,upinder28-ai-workflow-builder,source,active,active
ai-workflow-demilade,AI Workflow Builder by Demilade01,demilade01-ai-workflow,source,active,active
aidemyst-agentstudio,Aidemyst AgentStudio,aidemyst-agentstudio,source,active,active
aidesigner,AIDesigner,aidesigner-platform,architecture,active,active
aihouse,AIHouse,aihouse-design-manufacturing,architecture,active,active
ainaming,AINaming,donghuc-ainaming,source,active,active
aionui,AionUi,iofficeai-aionui,source,active,active
aios,AIOS,harshchavan009-aios,source,active,active
aipto,AIPTO,aipto-fashion-commerce,architecture,active,active
aispirit-agent,AISpirit Agent,aispiritlabs-agentic,source,active,active
akcli,akcli,li-akcli,source,active,active
akn-website-generator,AKN AI Website Generator,akn-ovh-site-agent,source,active,active
ako-visual-design-agent,AKO Visual Design Agent,ako-studio-visual-agent,source,active,active
algocraft,AlgoCraft,algocraft,source,active,active
alice-sdf,ALICE-SDF,sakamoro-alice-sdf,source,active,active
alloy,Alloy,alloy,architecture,active,active
amaroad,Amaroad,core-amaroad,source,active,active
ams-io-agent,AMS-IO-Agent,arcadia-ams-io,source,active,active
anima,Anima,anima,architecture,active,active
aniya-studio,Aniya Studio,yizhian-aniya-studio,source,active,active
anthropic-agent-skills,Anthropic Agent Skills,anthropic-agent-skills,source,active,active
anthropic-claude-design,Claude Design,anthropic-labs,architecture,active,active
anthropic-course-uigen,UIGen Claude Code in Action sample,anthropic-course-uigen,source,active,active
anti-ai-design,anti-ai-design,huy-anti-ai,source,active,active
antv-infographic,AntV Infographic,antv-infographic,source,active,active
anything,Anything,anything,architecture,active,active
app-store-screenshots,App Store Screenshots,parth-jadhav-app-store-screenshots,source,active,active
appautomaton-presentation,App Automaton Presentation,appautomaton-presentation,source,active,active
appfromai,AppFromAI,biosbrick-appfromai,source,active,active
appiav2,AppiaV2,morningstar-appia,source,active,active
appmaker,AppMaker,appmaker-six-by-seven,source,active,active
appy-pie-ui,Appy Pie AI UI Generator,appy-pie-no-code-ui,architecture,active,active
archie-ea,Archie,archie-ea-team,source,active,active
archiflow,ArchiFlow,archiflow-team,source,active,active
archify,Archify,archify-team,source,active,active
archigen,ArchiGen,archigen-team,source,active,active
archischema,Archischema,archischema-team,source,active,active
architechtures,ARCHITEChTURES,architechtures-bim,architecture,active,active
architect-studio-x,Architect Studio X,balchandar-architect-studio-x,source,active,active
architecture-drawio-automation,Architecture Draw.io Automation,debajyoti-drawio,source,active,active
archon-workflows,Archon by Cole Medin,cole-medin-archon,source,active,active
archondev,ArchonDev,archondev-governance,architecture,active,active
arckit,ArcKit,tractorjuice-arckit,source,active,active
argus-sammy,Argus by Sammy Tourani,sammy-argus,source,active,active
artclaw-bridge,ArtClaw Bridge,ivan-artclaw,source,active,active
artifex-ui-generator,Artifex UI Generator,artifex-fujitsu,source,active,active
artiso,ARTISO,artiso-fashion-lifecycle,architecture,active,active
asciitecture,Asciitecture,anima-asciitecture,source,active,active
astron-rpa,Astron RPA,iflytek-astron-rpa,source,active,active
atlas-3d-design,Atlas 3D Design Team,monumental-atlas-3d,architecture,active,active
atlas-design-ux,Atlas Design UX Team,monumental-atlas-design-ux,architecture,active,active
atoms,Atoms,metagpt-atoms,architecture,active,active
atv-design,ATV Design,all-the-vibes-atv-design,source,active,active
aurelius,Aurelius,pmds-aurelius,source,active,active
auricide,AuricIDE,jorg-auricide,source,active,active
auteur,auteur,agi-auteur,source,active,active
auto-slides,Auto-Slides,westlake-agi-lab,source,active,active
autockt,AutoCkt,autockt-research,source,active,active
autodesk-platform-services-skills,Agent Skills for Autodesk Platform Services,autodesk-platform-services,source,active,active
autogpt,AutoGPT Platform,autogpt-platform,source,active,active
automotive-skills-suite,Automotive Skills Suite,jherrod-automotive-skills,source,active,active
aws-architecture-diagram-skill,AWS Architecture Diagram Skill,vidanov-aws-diagram,source,active,active
aws-deploy-on-aws,AWS Deploy on AWS plugin,aws-deploy-on-aws,source,active,active
ayushi-ai,Ayushi.AI,harsh-ayushi-ai,source,active,active
azure-diagram-mcp-server,Azure Diagram MCP Server,jah-yee-diagrams,source,active,active
azure-diagram-skill,Azure Diagram Skill,azure-diagram-skill-team,source,active,active
backdraft,Backdraft,backdraft-code-design-editor,architecture,active,active
baidu-comate,Comate,baidu-comate,architecture,active,active
baidu-miaoda,Miaoda,baidu-miaoda,architecture,active,active
bambu-studio-ai,Bambu Studio AI,he-bambu-studio-ai,source,active,active
banani,Banani,banani-agent-ui,architecture,active,active
baoyu-design,baoyu-design,jim-liu-baoyu-design,source,active,active
base44,Base44,base44,architecture,active,active
bedrock-image-mcp-server,Bedrock Image MCP Server,bedrock-image-mcp,source,active,active
behavr,Behavr,behavr-simulated-usability,architecture,active,active
better-design,Better Design,marvkr-better-design,architecture,active,active
better-web-ui,better-web-ui,aladic-better-web-ui,source,active,active
bigbangdev,bigbangdev,bigbangdev-product,source,active,active
bitfun,BitFun,gcwing-bitfun,source,active,active
blade,Blade,razorpay-blade,source,active,active
blender-mcp-n8n,Blender MCP for n8n,seehiong-blender-mcp,source,active,active
blender-mcp-server-namurokuro,Blender MCP Server by namurokuro,namuro-blender-mcp,source,active,active
blender-mcp-vinhelysia,blender-mcp by vinhelysia,vinh-blender-mcp,source,active,active
blender-mcp-vxai,Blender MCP VXAI,vxai-blender-mcp,source,active,active
blender-orchestrator,Agentic Blender Orchestrator,olson-blender-orchestrator,source,active,active
blender-scene-agent,Blender Scene Agent,rousset-blender-agent,source,active,active
blendermcp,BlenderMCP,ahujasid-blendermcp,source,active,active
blockout,Blockout,wasserman-blockout,source,active,active
bloxai,BloxAI,bloxai-team,source,active,active
bluelens,BlueLens,bluelens-team,source,active,active
bmad-slide-maker,BMAD Slide Maker,bmad-slide-maker,source,active,active
bmad-slides-generator,BMAD Slides Generator,bmad-slides-generator,architecture,active,active
boardmix-ai,boardmix AI,boardmix-ai,architecture,active,active
bolt-new,Bolt.new,stackblitz-bolt,architecture,active,active
bolt-website-maker-jagdish,BOLT AI Website Builder by Jagdish Suthar,bolt-website-maker-jagdish,source,active,active
botlab-art,Botlab.art,botlab-textile-design,architecture,active,active
boutiqaat-creative-studio,Boutiqaat Creative Studio,bagzmax7-boutiqaat,source,active,active
brainfuel-agent-builder,Brainfuel Agent Builder,brainfuel-agentic,source,active,active
brand-booklet,Brand Booklet,tillmann-brand-booklet,source,active,active
brand-design-skill,Brand Design Skill,ziguishian-brand-design,source,active,active
brand-docs,BrandDocs,bonsegna-branddocs,source,active,active
brand-manual-app,Brand Manual App,admin-brand-manual,source,active,active
brilliant-design,Brilliant,brilliant-agent-vector-design,architecture,active,active
budibase,Budibase,budibase-operations-platform,source,active,active
build123d-cad,build123d-cad,rabbit-build123d-cad,source,active,active
buildable,Buildable,buildable-agent-kit,source,active,active
buildcad,BuildCAD,buildcad-cloud-agent,architecture,active,active
builder-skills-system-architect,Builder Skills System Architect,builder-skills-team,source,active,active
builderai-raj,BuilderAI by Raj Patel,raj-builderai,source,active,active
builderio-fusion,Fusion,builder-io-fusion,architecture,active,active
builderweb,BuilderWeb,builderweb-horizon,source,active,active
buildev,Buildev,bryxnn-buildev,source,active,active
buildev-isjunrod,Buildev by Jun Rod,jun-buildev,source,active,active
buildflow3,Buildflow3,buildflow3,source,active,active
buildgraph,BuildGraph,muhamadbyaba-buildgraph,source,active,active
buildify-pragya,Buildify by Pragya Manna,pragya-buildify,source,active,active
buildora-ai-studio,Buildora AI Studio,adithya-buildora,source,active,active
buildrx,BuildRx,mabrig-buildrx,source,active,active
burhan-ai-workflow-builder,AI Workflow Builder by Burhan086,burhan086-workflow-builder,source,active,active
burnguard-design,BurnGuard Design,ashmoonori-burnguard,source,active,active
bux,BUX,bux-figma-plugin,architecture,active,active
buzz-workspace,Buzz,block-buzz,source,active,active
buzzy,Buzzy,buzzy-figma-app-platform,architecture,active,active
cad-agent,CAD Agent,svetlana-cad-agent,source,active,active
cad-as-code-template,CAD-as-Code Template,coffee-cad-as-code,source,active,active
cad-cae-copilot,CAD CAE Copilot,armpro-cad-cae-copilot,source,active,active
cad-coworker,CAD Coworker,karaage-cad-coworker,source,active,active
cad-khana,CAD Khana,cyberchitta-cad-khana,source,active,active
cad-solver,CAD Solver,valentil-cad-solver,source,active,active
caddesigner,CADDesigner,caddesigner-zju,source,active,active
cadgenbench,CADGenBench,huggingface-cadgenbench,source,active,active
cadsmith,CADSmith,jesse-cadsmith,source,active,active
cae-agent-hub,CAE Agent Hub,cai-cae-agent-hub,source,active,active
calcstack,Calcstack,calcstack-team,architecture,active,active
calicat,Calicat,calicat,architecture,active,active
calino,Calino,achmad-alimin-calino,architecture,active,active
candor,Candor,candor-synthetic-critics,architecture,active,active
canopy,Canopy,canopy-team,source,active,active
canva-magic-design,Canva Magic Design,canva,architecture,active,active
canvas-ai-migrations,Canvas AI Migrations,alphons-drupal-canvas-agents,source,active,active
canvas-ai-page-context-generation,Canvas AI Page Context Generation Skill,akhil-babu-canvas-context,source,active,active
canvoss,Canvoss,shashank-bhat-canvoss,source,active,active
capcut,CapCut,bytedance-capcut,architecture,active,active
careervivid,CareerVivid,careervivid-team,source,active,active
caret,Caret,precious112-caret,source,active,active
cc-design,cc-design,zeroz-cc-design,source,active,active
chartdb,ChartDB,chartdb-team,source,active,active
chatbotx,ChatbotX,chatbotx-platform,source,active,active
chili-chiplets,Chili Chiplets,mit-chili-chiplets,source,active,active
chilldeck,ChillDeck,isha-chilldeck,source,active,active
chipster,Chipster,chipster-digital-design,source,active,active
cicada,CICADA,peng-ding-cicada,source,active,active
circle-take,Circle Take,wasserman-circle-take,source,active,active
circuit-weaver,Circuit Weaver,matt-circuit-weaver,source,active,active
clai,Clai,eric-lee-clai,source,active,active
claraverse,ClaraVerse,claraverse-workspace,source,active,active
claude-code-design,claude-code-design,bluzir-claude-code-design,source,active,active
claude-code-game-studios,Claude Code Game Studios,donchitos-game-studios,source,active,active
claude-code-video-toolkit,Claude Code Video Toolkit,digitalsamba-video-toolkit,source,active,active
claude-code-workflows,OneRedOak Claude Code Workflows,one-red-oak-design-review,source,active,active
claude-cowork-office,Claude Cowork for Office,claude-cowork-office-team,source,active,active
claude-design-auditor-skill,Claude Design Auditor Skill,ash-design-auditor,source,active,active
claude-design-skill-jiji,Claude Design Skill by jiji262,jiji-claude-design,source,active,active
claude-design-system-prompt,Claude Design System Prompt,trystan-claude-design-system-prompt,source,active,active
claude-eda,claude-eda,l3wi-claude-eda,source,active,active
claude-engineering-skills,Claude Engineering Skills Library,soljourner-engineering-skills,source,active,active
claude-figma-kit,Claude Figma Kit,tuanna-figma-kit,source,active,active
claude-financial-services,Claude for Financial Services,anthropic-financial-services,source,active,active
claude-talk-to-figma-arinspunk,AI Agents Talk to Figma MCP,xulio-figma-mcp,source,active,active
claude-terminal,Claude Terminal,sterll-claude-terminal,source,active,active
claude-to-print,Claude-To-Print,oz-claude-to-print,source,active,active
claude-webkit,Claude Web Builder,tododeia-claude-webkit,source,active,active
claude2figma,Claude2Figma,senlin-claude2figma,source,active,active
claudekit-marketing,ClaudeKit Marketing,claudekit-marketing-team,source,active,active
claw-design,Claw Design,xs-claw-design,source,active,active
clawphd,ClawPhD,zhihao-clawphd,source,active,active
clean-vector-reconstruction,Clean Vector Reconstruction,lixin-clean-vector,source,active,active
clearly,Clearly,clearly,architecture,active,active
cli-anything,CLI-Anything,hkuds-cli-anything,source,active,active
clientsight-gazebuilder,ClientSight / GazeBuilder,clientsight-gazebuilder,source,active,active
cloud-architecture-diagrams,Cloud Architecture Diagrams,hansraj-cloud-arch,source,active,active
cloud-visualizer-pro,Cloud Visualizer Pro,cloud-visualizer-pro-team,source,active,active
cloudarchgen,CloudArchGen,cloudarchgen-team,source,active,active
cloudflare-vibesdk,Cloudflare VibeSDK,cloudflare-vibesdk,source,active,active
clypra,Clypra,aiera-dev-clypra,source,active,active
cobra-ai-2,Cobra AI 2.0,harsh-cobra,source,active,active
code-inspector,Code Inspector,zh-lx-code-inspector,source,active,active
code2video,Code2Video,show-lab-code2video,source,active,active
codeboarding,CodeBoarding,codeboarding-team,source,active,active
codecanvas-ai,CodeCanvas AI,codecanvas-local-ide,source,active,active
codeck,Codeck,lkuczborski-codeck,source,active,active
codejet,Codejet,codejet-design-to-web,architecture,active,active
coderocket,CodeRocket,coderocket,source,active,active
coderx,CoderX,coderx-narayaaana,source,active,active
codeui-paurakh,CODEUI,paurakh-codeui,source,active,active
codewiki,CodeWiki,codewiki-team,source,active,active
codex-game-studio,Codex Game Studio,jackli-codex-game-studio,architecture,active,active
codex-slides,Codex Slides,nexu-codex-slides,source,active,active
codey,Codey,hamza-amir-codey,source,active,active
codia,Codia,codia-vision-design-platform,architecture,active,active
codigram,Codigram,mohammad-codigram,source,active,active
codoptic,Codoptic,codoptic-team,source,active,active
comfy-mcp-official,Comfy MCP,comfy-org-mcp,architecture,active,active
comfyui,ComfyUI,comfy-org-comfyui,source,active,active
comfyui-easy-color-corrector,ComfyUI EasyColorCorrector,regiellis-easy-color,source,active,active
comfyui-mcp,comfyui-mcp,artokun-comfyui-mcp,source,active,active
comfyui-workflow-studio,ComfyUI Workflow Studio,ketle-man-comfyui-workflow-studio,source,active,active
comp-gen-aditya,Comp-gen by Aditya Singh Gautam,aditya-comp-gen,source,active,active
competition-ppt-template,Competition PPT Template-First,che626-competition-ppt-template,source,active,active
composeflow,ComposeFlow,composeflow-project,source,active,active
computational-design-skills,Computational Design Skills,abhinav-computational-design,source,active,active
consulting-deck,Consulting Deck,zairui-consulting-deck,source,active,active
contextcypher,ContextCypher,threat-vector-contextcypher,source,active,active
contextui,ContextUI,contextui-desktop-platform,source,active,active
convertix-ai,Convertix AI,radwa-talaat-convertix,source,active,active
convey,Convey,bitovi-convey,source,active,active
copilot-sdd-skills,Copilot SDD Skills,copilot-sdd-skills-team,source,active,active
cordyceps,Cordyceps,brooks-talley-cordyceps,source,active,active
cork-board,Cork Board,wasserman-cork-board,source,active,active
cova,Cova,guizimo-cova,source,active,active
cr8-xyz,Cr8-xyz,dreem-cr8,source,active,active
crafter,Crafter,haozhe-zhao-crafter,source,active,active
creative-forge,Creative Forge,harsh-solanki-creative-forge,source,active,active
crimetryx-ai,CRIMETRYX AI,ar-droid-crimetryx,source,active,active
css-studio,CSS Studio,motion-css-studio,architecture,active,active
ctx-space,Context Space,ctx-space,source,active,active
cuellar-design-skills,Carlos Cuellar Design Skills,cuellar-design-skills,architecture,active,active
cursor,Cursor,anysphere,architecture,active,active
cxdesign-agents,CX Design Agents,bruno-cxdesign-agents,source,active,active
cxdesigner,cxDesinger,sean-zhang-cxdesigner,source,active,active
cyclecad,cycleCAD,xupeiwust-cyclecad,source,active,active
d2c,d2c,d2c-lineage,source,active,active
dafty,Dafty,dafty-brand-studio,architecture,active,active
dart-design-agent,Dart AI Design Agent,dart-design-delegation,architecture,active,active
data-formulator,Data Formulator,microsoft-research-data-formulator,source,active,active
dataevolver,DataEvolver,pris-dataevolver,source,active,active
datengcad,大腾智能 CAD,dateng-cloud-cad,architecture,active,active
davinci-resolve,DaVinci Resolve,blackmagic-davinci-resolve,architecture,active,active
dbx,DBX,dbx-team,source,active,active
dcc-ai-openai-image,DCC AI OpenAI Image,dcc-mcp-openai-image-skill,source,active,active
