slug,product,organization,product_form,evidence_depth,layer,basis
dyad,Dyad,dyad,ai-app-site-builder,source,H1,override:官方产品页/公司运营/托管服务证据（复核汇总）
easeui,EaseUI,easeui,code-native-visual-ide,architecture,H1,commercial/company or open-core
etlaq,Etlaq,etlaq-sa,ai-app-site-builder,architecture,H1,commercial/company or open-core
faisca,Faísca,faisca,standalone-design-agent,architecture,H1,commercial/company or open-core
figcraft,FigCraft,qinaxis,standalone-design-agent,architecture,H1,override:figcraft.ai 官方产品页/文档且具运营实体（QINAXIS），是公司运营的托管产品。
figma-design-agent,Figma Design Agent,figma,established-visual-platform,architecture,H1,commercial/company or open-core
figma-make,Figma Make,figma,ai-app-site-builder,architecture,H1,commercial/company or open-core
figma-weave,Figma Weave,figma,established-visual-platform,architecture,H1,commercial/company or open-core
figr,Figr,figr,standalone-design-agent,architecture,H1,commercial/company or open-core
firebase-studio,Firebase Studio,google,ai-app-site-builder,architecture,H1,commercial/company or open-core
firecrawl-open-agent-builder,Open Agent Builder by Firecrawl,firecrawl,ai-engineering-design-workspace,source,H1,company org (firecrawl)
firecrawl-open-lovable,Firecrawl Open Lovable,firecrawl,ai-app-site-builder,source,H1,commercial/company or open-core
fleck,Fleck,fleck,standalone-design-agent,architecture,H1,commercial/company or open-core
flow-maker,Flow Maker,run-llama,code-native-visual-ide,source,H1,commercial/company or open-core
flowise,Flowise,flowiseai,established-visual-platform,source,H1,commercial/company or open-core
flutterflow,FlutterFlow,flutterflow,established-visual-platform,architecture,H1,commercial/company or open-core
framer-ai,Framer AI,framer,established-visual-platform,architecture,H1,commercial/company or open-core
frappe-studio,Frappe Studio,frappe,established-visual-platform,source,H1,commercial/company or open-core
galileo-ai,Galileo AI,galileo-ai,standalone-design-agent,architecture,H1,commercial/company or open-core
gamma,Gamma,gamma,standalone-design-agent,architecture,H1,commercial/company or open-core
gemini-notebook,Gemini Notebook,google,established-visual-platform,architecture,H1,commercial/company or open-core
gendesigns,GenDesigns,gendesigns,standalone-design-agent,architecture,H1,commercial/company or open-core
github-spark,GitHub Spark,github,ai-app-site-builder,architecture,H1,commercial/company or open-core
glide-design,GlideDesign,glide-design,standalone-design-agent,architecture,H1,commercial/company or open-core
google-adk-web,Google ADK Web / Visual Agent Builder,google,ai-engineering-design-workspace,source,H1,company org (google)
google-antigravity,Google Antigravity,google,general-agent-visual-tools,architecture,H1,company org (google)
google-stitch,Stitch,google,standalone-design-agent,architecture,H1,commercial/company or open-core
google-vids,Google Vids,google,established-visual-platform,architecture,H1,commercial/company or open-core
greatstack-ai-website-builder,GreatStack AI Website Builder course project,greatstack,ai-app-site-builder,source,H1,override:官方产品页/公司运营/托管服务证据（复核汇总）
hanzo-app,Hanzo App,hanzo,ai-app-site-builder,source,H1,override:官方产品页/公司运营/托管服务证据（复核汇总）
holst-ai,Холст.ИИ,holst-ai,established-visual-platform,architecture,H1,commercial/company or open-core
hostinger-horizons,Hostinger Horizons,hostinger,ai-app-site-builder,architecture,H1,commercial/company or open-core
hugoblox,HugoBlox,hugoblox,ai-app-site-builder,architecture,H1,override:公司运营产品，官方托管 Hugo Chat 与 HugoBlox 平台构成商业产品。
hyperframes,HyperFrames,heygen,code-native-visual-ide,source,H1,commercial/company or open-core
influencer-studio,Influencer Studio,influencer-studio,established-visual-platform,architecture,H1,commercial/company or open-core
jenova,Jenova UI prototype generator,jenova,standalone-design-agent,architecture,H1,commercial/company or open-core
jsdesign-ai,即时设计 AI,jsdesign,established-visual-platform,architecture,H1,commercial/company or open-core
kittl,Kittl,kittl,established-visual-platform,architecture,H1,commercial/company or open-core
komposo,Komposo,komposo,standalone-design-agent,architecture,H1,commercial/company or open-core
langflow,Langflow,langflow,ai-engineering-design-workspace,source,H1,company org (langflow)
learnhouse,LearnHouse,learnhouse,established-visual-platform,source,H1,commercial/company or open-core
ledgyx,Ledgyx,ineron,ai-app-site-builder,architecture,H1,commercial/company or open-core
locofy,Locofy,locofy,design-code-bridge,architecture,H1,company org (locofy)
lovable,Lovable,lovable,ai-app-site-builder,architecture,H1,commercial/company or open-core
magic-patterns,Magic Patterns,magic-patterns,standalone-design-agent,architecture,H1,commercial/company or open-core
mastergo-ai,MasterGo AI,mastergo,established-visual-platform,architecture,H1,commercial/company or open-core
mermaid-chart-vscode,Mermaid Chart for VS Code,mermaid,code-native-visual-ide,source,H1,commercial/company or open-core
microsoft-designer,Microsoft Designer,microsoft,established-visual-platform,architecture,H1,commercial/company or open-core
miro-prototypes,Miro Prototypes,miro,established-visual-platform,architecture,H1,commercial/company or open-core
mobirise-ai,Mobirise AI,mobirise,established-visual-platform,architecture,H1,commercial/company or open-core
modao-ai,墨刀 AI,modao,established-visual-platform,architecture,H1,commercial/company or open-core
motiff,Motiff,motiff,established-visual-platform,architecture,H1,commercial/company or open-core
mowgli,Mowgli,mowgli-ai,standalone-design-agent,architecture,H1,commercial/company or open-core
musho,Musho,musho,standalone-design-agent,architecture,H1,override:musho.ai 的 Figma 生成式产品，有官方发布与产品域名，虽已停运仍是商业产品。
office-raccoon,Office Raccoon,sensenova,agent-platform-design-surface,architecture,H1,company org (sensenova)
one-aida,one.com Aida,one-com,ai-app-site-builder,architecture,H1,commercial/company or open-core
onlook,Onlook,onlook,code-native-visual-ide,source,H1,commercial/company or open-core
onlyoffice-ai-editors,ONLYOFFICE AI Editors,onlyoffice,established-visual-platform,source,H1,commercial/company or open-core
openvibecoding,OpenVibeCoding,tencent,ai-app-site-builder,source,H1,commercial/company or open-core
opsiforce,Opsiforce,opsima,ai-app-site-builder,source,H1,commercial/company or open-core
orbis,Orbis,orbis-intelligence,standalone-design-agent,architecture,H1,commercial/company or open-core
pagegen,PageGen,memfree,ai-app-site-builder,source,H1,override:MemFree 下独立品牌的产品面，有 pagegen.ai 官方页与一键发布闭环，属托管产品面。
paraflow,Paraflow,paraflow,standalone-design-agent,architecture,H1,commercial/company or open-core
pega-blueprint,Pega Blueprint,pegasystems,standalone-design-agent,architecture,H1,commercial/company or open-core
penpot,Penpot,penpot,established-visual-platform,source,H1,commercial/company or open-core
penpot-ai-kit,Penpot AI Kit,penpot,agent-platform-design-surface,source,H1,company org (penpot)
pippit,Pippit AI Design,bytedance,established-visual-platform,architecture,H1,commercial/company or open-core
pixello,Pixello,pixello,code-native-visual-ide,architecture,H1,commercial/company or open-core
playcode,PlayCode AI,playcode,ai-app-site-builder,architecture,H1,commercial/company or open-core
pptcraft,PPTCraft,pptcraft,standalone-design-agent,architecture,H1,commercial/company or open-core
primo,Primo,primo,code-native-visual-ide,source,H1,commercial/company or open-core
prompt-to-app,Prompt To App,prompt-to-app,ai-app-site-builder,architecture,H1,commercial/company or open-core
prompt-to-design,Prompt.to.design,superun,agent-controllable-canvas,architecture,H1,company org (superun)
puck,Puck,puck,visual-editor-infrastructure,source,H1,company org (puck)
qoqo,QoQo,qoqo,standalone-design-agent,architecture,H1,commercial/company or open-core
quby-weave,Quby Weave,quby,standalone-design-agent,architecture,H1,commercial/company or open-core
quiverai,QuiverAI,quiverai,standalone-design-agent,architecture,H1,override:托管商业产品：应用、公开 API、托管 agent 界面与计费，明确公司运营。
recraft,Recraft,recraft,established-visual-platform,architecture,H1,commercial/company or open-core
redesignr-ai,Redesignr AI,web5lab,ai-app-site-builder,architecture,H1,override:官方产品页/公司运营/托管服务证据（复核汇总）
relume,Relume,relume,established-visual-platform,architecture,H1,commercial/company or open-core
remotion,Remotion,remotion-dev,code-native-visual-ide,source,H1,commercial/company or open-core
rocket-new,Rocket.new,rocket-new,ai-app-site-builder,architecture,H1,commercial/company or open-core
rocketride,RocketRide,rocketride,code-native-visual-ide,source,H1,commercial/company or open-core
scifig,SciFig,scifig,standalone-design-agent,architecture,H1,commercial/company or open-core
seko,Seko,sensenova,standalone-design-agent,architecture,H1,commercial/company or open-core
shape,Shape,shape,code-native-visual-ide,source,H1,commercial/company or open-core
silex,Silex Desktop AI,silex-labs,code-native-visual-ide,source,H1,commercial/company or open-core
slidex,SlideX,slidex,standalone-design-agent,architecture,H1,commercial/company or open-core
soulcanvas,灵境画布,soulcanvas,standalone-design-agent,architecture,H1,commercial/company or open-core
squarespace-blueprint,Squarespace Blueprint AI,squarespace,ai-app-site-builder,architecture,H1,commercial/company or open-core
stagewise,stagewise,stagewise,code-native-visual-ide,source,H1,commercial/company or open-core
starrykit,StarryKit,starrykit,standalone-design-agent,architecture,H1,override:托管视觉编辑器产品，MCP 与 skill 只是其 agent 接入面，属托管商业产品。
statecraft,Statecraft,statecraft,code-native-visual-ide,architecture,H1,commercial/company or open-core
step1,Step1,step1,ai-app-site-builder,architecture,H1,commercial/company or open-core
story-video-editor,Story AI Video Editor,story,established-visual-platform,architecture,H1,commercial/company or open-core
subframe,Subframe,subframe,established-visual-platform,architecture,H1,commercial/company or open-core
superdesign,Superdesign,superdesign,standalone-design-agent,source,H1,commercial/company or open-core
superun,Superun,superun,ai-app-site-builder,architecture,H1,commercial/company or open-core
swark,Swark,swark-io,code-native-visual-ide,source,H1,commercial/company or open-core
tabularis,Tabularis,tabularisdb,established-visual-platform,source,H1,commercial/company or open-core
tapcanvas,TapCanvas,tapcanvas,standalone-design-agent,architecture,H1,commercial/company or open-core
taploop-studio,Taploop Studio,taploop,standalone-design-agent,architecture,H1,commercial/company or open-core
teable,Teable,teable,ai-app-site-builder,architecture,H1,commercial/company or open-core
tellr,tellr,databricks,standalone-design-agent,source,H1,commercial/company or open-core
tempo,Tempo,tempo-labs,code-native-visual-ide,architecture,H1,commercial/company or open-core
tencent-codebuddy,CodeBuddy,tencent,general-agent-visual-tools,architecture,H1,company org (tencent)
tersa,Tersa,vercel,agent-controllable-canvas,source,H1,company org (vercel)
text2diagram,DiagramAI / text2diagram,ad1tyad,code-native-visual-ide,source,H1,override:带 Firebase 订阅门控与 Pro 付费墙的微 SaaS，官方形态为订阅产品。
tldraw,tldraw SDK / Agent Starter Kit,tldraw,visual-editor-infrastructure,source,H1,company org (tldraw)
tooljet,ToolJet,tooljet,ai-app-site-builder,architecture,H1,commercial/company or open-core
totalum-ai-app-builder,Totalum AI App Builder Open,totalum,ai-app-site-builder,architecture,H1,override:官方产品页/公司运营/托管服务证据（复核汇总）
trae-work,TRAE Work,bytedance,agent-platform-design-surface,architecture,H1,company org (bytedance)
tylina,Tylina,tylina,code-native-visual-ide,architecture,H1,commercial/company or open-core
uitiful,Uitiful,uitiful,standalone-design-agent,architecture,H1,commercial/company or open-core
uizard,Uizard,miro,established-visual-platform,architecture,H1,commercial/company or open-core
uno-studio,Uno Platform Studio / Hot Design,uno-platform,code-native-visual-ide,architecture,H1,commercial/company or open-core
usertesting,UserTesting,usertesting,established-visual-platform,architecture,H1,commercial/company or open-core
ux-pilot,UX Pilot,ux-pilot,standalone-design-agent,architecture,H1,commercial/company or open-core
ux-studio-ai,UX Studio AI,ux-studio-ai,standalone-design-agent,architecture,H1,commercial/company or open-core
uxbot,UXbot,uxbot,standalone-design-agent,architecture,H1,commercial/company or open-core
uxcanvas,UXCanvas.ai,uxcanvas,standalone-design-agent,architecture,H1,commercial/company or open-core
vercel-v0,v0,vercel,ai-app-site-builder,architecture,H1,commercial/company or open-core
vidova,Vidova,deepshot-inc,established-visual-platform,architecture,H1,commercial/company or open-core
we0,We0.ai,we0,ai-app-site-builder,source,H1,commercial/company or open-core
webflow-ai,Webflow AI,webflow,established-visual-platform,architecture,H1,commercial/company or open-core
websim,Websim,websim-inc,ai-app-site-builder,architecture,H1,commercial/company or open-core
windframe,Windframe,devwares,code-native-visual-ide,architecture,H1,commercial/company or open-core
wix-harmony,Wix Harmony,wix,ai-app-site-builder,architecture,H1,commercial/company or open-core
wonder,Wonder,wonder,code-native-visual-ide,architecture,H1,commercial/company or open-core
workshop-buddy,Workshop Buddy,microsoft,agent-platform-design-surface,source,H1,company org (microsoft)
youware,YouWare,youware,ai-app-site-builder,architecture,H1,commercial/company or open-core
zoea,Zoea,zoea,code-native-visual-ide,architecture,H1,commercial/company or open-core
42maker,42Maker,maker42,ai-engineering-design-workspace,architecture,H2,pattern
a0-component-studio,a0 AI Component Studio,lochlann-ohiggins,standalone-design-agent,source,H2,personal/community org (lochlann-ohiggins)
a2ui,A2UI,a2ui-project,visual-editor-infrastructure,source,H2,pattern
abc-agent-builder-console,ABC Agent Builder Console,magpiefelt,established-visual-platform,source,H2,override:开源 agent 构建控制台应用（治理型版本/审计），个人维护。
absbuilder,ABSBuilder,afi,code-native-visual-ide,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
abu-cowork,Abu Cowork,pm-shawn,agent-platform-design-surface,source,H2,pattern
ada-v2-nazir,ADA V2 by Nazir Louis,nazir-louis,ai-engineering-design-workspace,source,H2,pattern
ada-v2-syed,A.D.A by Syed Daiam,syed-daiam,ai-engineering-design-workspace,source,H2,pattern
adeu,Adeu,dealfluence,design-code-bridge,source,H2,pattern
adk-playground,ADK Playground,danroblewis,ai-engineering-design-workspace,source,H2,pattern
adk-studio,ADK Studio,zavora-ai,ai-engineering-design-workspace,source,H2,pattern
adobepy,adobepy,dcc-mcp,agent-controllable-canvas,source,H2,pattern
aesthetron,Aesthetron AI,aesthetron,agent-controllable-canvas,architecture,H2,pattern
aether-architect,Aether Architect,w3jdev,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
aetheros,AETHEROS,dafum,agent-controllable-canvas,source,H2,pattern
ag0-diagramming-agent,AG0 Diagramming Agent,corespeed,agent-controllable-canvas,source,H2,pattern
agcluster-container,AgCluster Container,whiteboardmonk,agent-platform-design-surface,source,H2,pattern
agent-canvas-randomvibecoder,Agent Canvas,randomvibecoder,agent-controllable-canvas,source,H2,pattern
agent-diagram-tool,Agent Diagram Tool,thebobrovs,standalone-design-agent,source,H2,override:开源架构协同设计应用（MCP/HTTP 为组件），个人维护。
agent-game-forge,Agent Game Forge,zero-x-funky,code-native-visual-ide,source,H2,personal/community org (zero-x-funky)
agent-mesh-sre,Agent Mesh on Streaming World,aswinayyolath,visual-decision-verification-workspace,source,H2,pattern
agent-office-suite,Agent Office Suite,manpo,agent-platform-design-surface,source,H2,pattern
agent-scad,AgentSCAD,kevoyuan-agentscad,ai-engineering-design-workspace,source,H2,pattern
agent-setup,Agent Architecture by Shivraj,shivraj10,agent-platform-design-surface,source,H2,pattern
agent-svgtools,agent-svgtools,wyrd-company,visual-editor-infrastructure,source,H2,pattern
agent-vision-toolkit,Agent Vision Toolkit,anionex,general-agent-visual-tools,source,H2,pattern
agent-workflow-canvas,Agent Workflow Canvas,kevin-astuhuaman,visual-decision-verification-workspace,source,H2,pattern
agentbuilder-chebale,AgentBuilder by Chebale Omkar,chebaleomkar,agent-platform-design-surface,source,H2,pattern
agentflow,AgentFlow,darshit-sharma,ai-engineering-design-workspace,source,H2,pattern
agentforge,AgentForge,lanekingkong,ai-engineering-design-workspace,source,H2,pattern
agentforge-winka-alcel,AgentForge by winka-alcel,winka-alcel,agent-platform-design-surface,source,H2,pattern
agentgo,AgentGo,wk222,ai-engineering-design-workspace,source,H2,pattern
agentic-3d-printing,Agentic 3D Printing,eric-davis,ai-engineering-design-workspace,source,H2,pattern
agentic-ai-website-builder-akhil,Agentic AI Website Builder by Akhil Maratha,akhil-maratha,agent-platform-design-surface,source,H2,pattern
agentic-design-canvas,Agentic Design Canvas,moonslicer,agent-controllable-canvas,source,H2,pattern
agentic-signal,Agentic Signal,shally-varshney,ai-engineering-design-workspace,source,H2,pattern
agentic-ui-design-poc,Agentic UI Design Workflow POC,ramadhani-wasil,design-code-bridge,source,H2,pattern
agenticbuilder-showjihyun,AgenticBuilder by showjihyun,showjihyun,established-visual-platform,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
agentix,Agentix,pruthviraj75,ai-engineering-design-workspace,source,H2,pattern
agents-ui,agents-ui,ngxba,general-agent-visual-tools,source,H2,pattern
agentsite,AgentSite,juan-denis,ai-app-site-builder,source,H2,personal/community org (juan-denis)
agon,Agon,simon-holmes,visual-decision-verification-workspace,source,H2,pattern
ai-app-builder-abdul,AI App Builder by Abdul Baqui,abdul-baqui,ai-app-site-builder,source,H2,personal/community org (abdul-baqui)
ai-app-builder-doratiotto,AI App Builder by Doratiotto67,doratiotto67,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-app-builder-edge,AI App Builder by Shoaib Ahmed,shoaib-ahmed,ai-app-site-builder,source,H2,personal/community org (shoaib-ahmed)
ai-app-builder-eugene,AI App Builder by Eugene McMillian,eugene-mcmillian,ai-app-site-builder,source,H2,personal/community org (eugene-mcmillian)
ai-app-builder-piyush,AI App Builder by Piyush Agarwal,piyush-agarwal,ai-app-site-builder,source,H2,personal/community org (piyush-agarwal)
ai-app-builder-saas-tauhid,AI App Builder SaaS by Yayasan At-Tauhid,yayasan-at-tauhid,ai-app-site-builder,source,H2,personal/community org (yayasan-at-tauhid)
ai-app-developer-rajnish,AI App Developer by Rajnish Kumar,rajnish-kumar,ai-app-site-builder,source,H2,personal/community org (rajnish-kumar)
ai-builder-nishant,AI Builder by Nishant Chaudhary,nishant-chaudhary,agent-controllable-canvas,source,H2,pattern
ai-cad,AI-CAD,vespo92,ai-engineering-design-workspace,source,H2,pattern
ai-canvas-desktop,AI Canvas Desktop,nick-chadwick,agent-controllable-canvas,source,H2,pattern
ai-canvas-studio,AI Canvas Studio,an-pham,agent-controllable-canvas,source,H2,pattern
ai-cms,AI CMS,saksham-tyagi,ai-app-site-builder,source,H2,personal/community org (saksham-tyagi)
ai-code-tutor-video,AI CodeTutor Video Generator,pushkar-chandra,standalone-design-agent,source,H2,personal/community org (pushkar-chandra)
ai-component-builder-aditya,AI Component Builder by Aditya Sharma,aditya-sharma,code-native-visual-ide,source,H2,personal/community org (aditya-sharma)
ai-component-builder-bamerf,AI Component Builder by Bamdad Erfanian,bamerf,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-component-builder-bluntbrain,AI Component Builder by bluntbrain,bluntbrain,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-component-builder-debanik,AI Component Builder by Debanik,debanik,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-component-builder-devisha,AI Component Builder by Devisha Arora,devisha-arora,standalone-design-agent,source,H2,personal/community org (devisha-arora)
ai-component-builder-gokul,AI Component Builder by Gokul Krishna,gokul-krishna,standalone-design-agent,source,H2,personal/community org (gokul-krishna)
ai-component-builder-harshbhx,AI Component Builder by Harsh Bhanushali,harsh-bhanushali,standalone-design-agent,source,H2,personal/community org (harsh-bhanushali)
ai-component-builder-iaman,AI Component Builder by Aman Raj,aman-raj,standalone-design-agent,source,H2,personal/community org (aman-raj)
ai-component-builder-sanskriti,AI Component Builder by Sanskriti Singh,sanskriti-singh,standalone-design-agent,source,H2,personal/community org (sanskriti-singh)
ai-component-builder-sfyr,AI-Powered UI Component Generator by Ryan,sfyr111,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-component-builder-stacked,AI Component Builder by StackedByAdit,stackedbyadit,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-component-generator-sandbox,AI Component Generator Sandbox,daniela-vareiro,standalone-design-agent,source,H2,personal/community org (daniela-vareiro)
ai-component-generator-shakti,AI Component Generator by Shakti Prasad Ram,shakti-prasad-ram,standalone-design-agent,source,H2,personal/community org (shakti-prasad-ram)
ai-consulting-soyeon,AI Consulting Workflow,soyeon-ahn,ai-engineering-design-workspace,source,H2,pattern
ai-creative-studio,AI Creative Studio,saoussen-ch,general-agent-visual-tools,source,H2,pattern
ai-design-engineer,AI Design Engineer,agenisea,agent-platform-design-surface,architecture,H2,pattern
ai-design-space,AI DESIGN SPACE,ai-design-space,agent-controllable-canvas,architecture,H2,pattern
ai-design-studio,AI Design Studio,abbinavv,standalone-design-agent,source,H2,override:开源室内设计应用（Supabase 持久化），个人维护。
ai-design-workspace-catalog,AI Design Workspace,cj1044821606-cell,general-agent-visual-tools,source,H2,pattern
ai-diagram-copilot-pranav,AI Diagram Copilot by Pranav,pranav-learner,standalone-design-agent,source,H2,personal/community org (pranav-learner)
ai-diagrammer,AI Diagrammer,eric-tech,standalone-design-agent,source,H2,personal/community org (eric-tech)
ai-diagrams,AI Diagrams,kavishan-nipun,code-native-visual-ide,source,H2,personal/community org (kavishan-nipun)
ai-diagrams-toolkit,AI Diagrams Toolkit,jose-prieto,general-agent-visual-tools,source,H2,pattern
ai-draw-nexus,AI Diagram Hub / AI Draw Nexus,hkxiaoyao,standalone-design-agent,source,H2,override:开源多引擎图表项目系统，本地 IndexedDB，个人维护。
ai-factory,AI Factory,lee-to,ai-engineering-design-workspace,source,H2,pattern
ai-figma,AI Figma,vardot,design-code-bridge,source,H2,pattern
ai-frontend-generator-amit,AI Frontend Generator by Amit Sharma,amit-sharma,standalone-design-agent,source,H2,personal/community org (amit-sharma)
ai-frontend-generator-arijeet,AI Frontend Generator by Arijeet Priyadarshi,arijeet-priyadarshi,standalone-design-agent,source,H2,personal/community org (arijeet-priyadarshi)
ai-frontend-generator-marcelorl,AI Frontend Generator by Marcelo Lima,marcelo-lima,standalone-design-agent,source,H2,personal/community org (marcelo-lima)
ai-frontend-generator-metamil,AI Frontend Generator by Tamil Selvan,tamil-selvan,standalone-design-agent,source,H2,personal/community org (tamil-selvan)
ai-game-launchpad,AI Game LaunchPad,oplooins,ai-app-site-builder,source,H2,override:开源游戏生成工作室（模板系统加发布面），个人维护。
ai-generator-abhi,AI Generator by Abhi Gandhi,abhi-gandhi,ai-app-site-builder,source,H2,personal/community org (abhi-gandhi)
ai-landing-generator-pro,IA Landing Generator Pro,emiliano-conti,standalone-design-agent,source,H2,personal/community org (emiliano-conti)
ai-landing-page-builder-ali-tamer,AI Landing Page Builder by Ali Tamer,ali-tamer,ai-app-site-builder,source,H2,personal/community org (ali-tamer)
ai-landing-page-studio,AI Landing Page Studio,aditya-dwi-putra,ai-app-site-builder,source,H2,personal/community org (aditya-dwi-putra)
ai-media-canvas,AI Media Canvas,tutti-os,standalone-design-agent,source,H2,personal/community org (tutti-os)
ai-module-generator-sawan,AI Module Generator by Sawan Kumar,sawan-kumar,standalone-design-agent,source,H2,personal/community org (sawan-kumar)
ai-orchestration-honey610,AI Orchestration UI Generator by Shishir Gupta,honey610,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
