wave_id,candidate_id,selection_stratum,selection_reason,outcome,reviewed_on,decisive_evidence
VERIFY-003,cand-openflowkit,local-first-diagram-authority,Tests bidirectional code and canvas plus agent access and durable local state,included,2026-08-11,Pinned source joins OpenFlow DSL React Flow Zustand IndexedDB snapshots direct provider calls and a first-party local MCP package
VERIFY-003,cand-uno-visual-designer,running-app-visual-authoring,Tests whether runtime inspection writes back to durable application source,included,2026-08-11,First-party Studio and App MCP contracts establish visual-tree operations whose adopted changes modify underlying XAML
VERIFY-003,cand-penpot,open-native-design-agent,Tests an official AI control plane over an established open design graph,included,2026-08-11,Pinned main repository contains the official MCP server and plugin executing generated code against the active native Penpot file
VERIFY-003,cand-antvis-infographic,ai-streamable-visual-grammar,Tests whether a generation framework preserves editable structure instead of only raster output,included,2026-08-11,Pinned syntax parser runtime editor command history and SVG exporter retain structured infographic options and editable vector output
VERIFY-003,cand-figmatocode,deterministic-compiler-ai-boundary,Tests whether design-to-code alone is sufficient for the AI-native census,excluded,2026-08-11,Pinned README explicitly disclaims AI inference and repository synchronization so the plugin is a deterministic compiler
VERIFY-003,cand-silex,desktop-site-agent,Tests whether an established visual builder has a shipped source-level agent control plane,included,2026-08-11,Pinned Tauri source starts an MCP server and dynamically exposes GrapesJS capabilities that mutate local website projects and publish HTML and CSS
VERIFY-003,cand-figma-console-mcp,broad-figma-control-plane,Tests transport-specific write authority and host-owned recovery,included,2026-08-11,Pinned source distinguishes read-only remote mode from plugin-backed writes and implements native node token slide history and multi-file tools
VERIFY-003,cand-figma-relai,file-carried-agent-governance,Tests whether safety policy is executable at the artifact boundary rather than prompt prose,included,2026-08-11,Pinned plugin data and handlers enforce no-go zones confirmation levels selection locks receipts and native Figma writes
VERIFY-003,cand-figma-mcp-bridge,bounded-live-figma-bridge,Tests a smaller plugin-backed write surface and multi-file routing independently from other Figma MCPs,included,2026-08-11,Pinned server and plugin route file-keyed WebSocket calls to a limited native mutation set with explicit deletion confirmation
VERIFY-003,cand-cssstudio,visual-intent-to-source-relay,Tests a closed implementation whose first-party contract still exposes the authority boundary and ordinary correction loop,included,2026-08-11,Official documentation specifies structured visual edits over MCP real source-file writes and task-scoped revert while public repository remains issues-only
VERIFY-003,cand-21st-toolbar,fork-identity-boundary,Tests whether a branded fork represents a new product mechanism or a duplicate lineage,duplicate,2026-08-11,Pinned changelog states it forked stagewise and then renamed symbols and branding without establishing a different artifact authority
VERIFY-004,cand-agent-native-design,source-first-prototype-studio,Tests a self-modifying open application template against hosted prototype generators,included,2026-08-11,Pinned design template exposes SQL design records standalone HTML sources branch actions visual edits quality passes and multiple exports over one preview
VERIFY-004,cand-chordio,product-experience-evaluation-lineage,Tests whether AI-native Design includes executable evaluation and lineage transitions rather than artifact generation alone,included,2026-08-11,Current PX-bench runs agents in held-out apps and reports product-context scores while attributable company history preserves earlier design-workbench surfaces
VERIFY-004,cand-fleck,full-stack-product-design-agent,Tests a managed canvas spanning upstream product reasoning native design state and code delivery,included,2026-08-11,First-party product documents multi-screen flow canvas tokens version diffs and React GitHub Figma ZIP or deployed projections
VERIFY-004,cand-paraflow,spec-to-screen-product-design,Replaces a directory lead with official evidence and tests whether structured upstream artifacts remain part of the design project,included,2026-08-11,Official help establishes confirmed todo plans global context PRDs user flows UI screens prototypes and multi-format handoff
VERIFY-004,cand-dreamina,multimodal-creative-workspace,Tests a Korean-discovered global creative suite beyond one-shot media generation,included,2026-08-11,First-party guidance establishes layered canvas composition reusable layouts shared references and timeline refinement before image and video export
VERIFY-004,cand-botlab-art,textile-production-workspace,Closes the earlier persistence gap for a China-based textile-design agent,included,2026-08-11,First-party material library places generated work in a durable creation-record folder around the infinite canvas and specialist production tools
VERIFY-004,cand-mantis-cad,offline-parametric-agent,Closes the earlier artifact gap without inferring hidden early-access internals,included,2026-08-11,First-party product guarantees conversational parametric continuation offline operation DFM feedback and STEP IGES or CadQuery handoff
VERIFY-005,cand-miro-ai-design,native-collaborative-prototype-decision,Tests whether a whiteboard feature has become a durable Design surface rather than a marketing generator,included,2026-08-11,Official help specifies multi-screen native prototypes drafted in versions and deliberately applied or discarded on the shared canvas
VERIFY-005,cand-hostinger-horizons,managed-app-delivery-graph,Tests conversational generation against visual edits backend persistence recovery source ownership and deployment,included,2026-08-11,Official product and export help establish project history integrated backend one-click release and a one-way React Vite ZIP ownership boundary
VERIFY-005,cand-ux-pilot,ux-flow-to-handoff,Tests whether generated screens retain connected product-flow and design-system context,included,2026-08-11,Official product pages establish editable structured flows four concurrent directions imported components Figma continuation and GitHub code delivery
VERIFY-005,cand-ai-ui-designer,export-centered-ui-agent,Tests a small hosted generator whose public evidence is strongest at delivery rather than native editing,included,2026-08-11,First-party live examples bind original prompts and static previews to downloadable HTML and React TSX outputs while recovery remains unknown
VERIFY-005,cand-mastergo-ai,design-system-governed-native-agent,Tests AI mutation inside a production design-system graph plus an external MCP control plane,included,2026-08-11,Official help exposes native editable vectors component-library constraints direct layer operations structured JSON AST and framework code output
VERIFY-005,cand-modao-ai,dual-prototype-and-code-lineage,Tests whether hosted generation converges with a mature native prototype authority,included,2026-08-11,Official AI and MCP pages persist tasks as Modao files and support native editable prototypes plus HTML React Vue previews and source projections
VERIFY-005,cand-jsdesign-ai,multi-direction-native-ui,Tests Chinese-language variant generation and continuation inside an established collaborative design file,included,2026-08-11,First-party pages establish four generated vector-layer directions that can be saved edited versioned exported and handed off inside 即时设计
VERIFY-005,cand-boardmix-ai,multi-artifact-collaborative-canvas,Tests whether a broad office canvas still carries structured visual artifact authority,included,2026-08-11,Official help places generated mind maps flows presentations images and code into editable shareable files on the native infinite canvas
VERIFY-006,cand-faisca,brand-governed-social-delivery,Tests whether regional marketing automation preserves a continuing designed-content project beyond one-shot media,included,2026-08-11,First-party product connects brand rules generated copy and visuals human adjustment scheduling publishing and multi-brand organization
VERIFY-006,cand-gloria,typed-multimodel-creative-canvas,Tests explicit promotion from model outputs into a native collaborative visual graph,included,2026-08-11,Official docs and privacy contract expose canvas elements typed workflow connections confirm-to-canvas promotion autosave cloud state and collaboration
VERIFY-006,cand-efecto,shared-human-agent-design-authority,Tests one structured document mutated by direct manipulation an embedded agent and external MCP clients,included,2026-08-11,Official docs define JSX-like nodes and 68 tools while changelog establishes IndexedDB cloud sync inline undo multiplayer brand systems and delivery
VERIFY-006,cand-synthesisui,repository-carried-design-contract,Tests Design as executable constraints and measured conformance rather than a standalone drawing surface,included,2026-08-11,Live first-party site compiles audited tokens typed components motion recipes and laws into owned contract files consumed by coding agents
VERIFY-006,cand-adobe-firefly-agent,cross-application-creative-orchestration,Tests one agent lineage across a generative workspace and multiple native Creative Cloud authorities,included,2026-08-11,Adobe announcements establish a public-beta Firefly assistant powered by a creative agent that orchestrates multi-step workflows across host applications
VERIFY-006,cand-aihouse,interior-design-to-manufacturing,Tests whether AI variants remain projections of a precise spatial graph that continues into production data,included,2026-08-11,Official product and help show selectable AI layouts editable 2D and 3D rooms render history CAD BOM quote and factory handoff from one design lineage
VERIFY-006,cand-bunyan,regional-code-aware-home-project,Tests Arabic-first physical Design claims against persistent project delivery evidence and an early-beta ceiling,included,2026-08-11,First-party beta exposes saved projects conversational revision 3D cost calculation CAD and contractor handoff while unverified municipal and buildability claims stay bounded
VERIFY-006,cand-satwa,marketing-orchestration-boundary,Tests whether campaign planning and approval alone establishes a Design artifact authority,excluded,2026-08-11,Official surface exposes plans posts campaign queues client approval and reports but no inspectable visual interactive or physical authoring graph
VERIFY-006,cand-osus-ai,operating-product-identity-threshold,Tests whether a localized claim page can be attributed as a current product before classifying its mechanism,excluded,2026-08-11,Placeholder contact fields stock team imagery inconsistent catalog counts and absence of an inspectable artifact loop fail the verification threshold
VERIFY-006,cand-getfacade,facade-variant-to-contractor-package,Tests a physical-design decision workspace whose outputs require professional review rather than claiming autonomous construction authority,included,2026-08-11,Official product persists source photos measurements sketches options refinements materials costs renders and contractor-oriented drawings in one project
VERIFY-006,cand-adly-ai,brand-to-published-campaign,Tests an Arabic-capable external agent over durable brand creative and release state,included,2026-08-11,Official knowledge and company pages establish brand profiles editable static and video ads landing pages approvals scheduling publishing messaging and MCP access
VERIFY-006,cand-fikra,access-blocked-app-builder,Tests whether launch and company identity alone can substitute for verifiable artifact authority,excluded,2026-08-11,The Arabic-first builder identity is corroborated but the first-party surface is blocked and no public documentation source or ordinary-user lifecycle can be inspected
VERIFY-007,cand-m2-canvas,code-component-multiplayer-canvas,Tests exact-node structured mutation over real design-system components shared by people and several agents,included,2026-08-11,Official product exposes node JSON React component sources design-system references exact patches multiplayer and MCP on one canvas
VERIFY-007,cand-wonder,code-backed-design-roundtrip,Tests a public-alpha design canvas whose format maps directly to code and accepts bidirectional agent operations,included,2026-08-11,First-party product and MCP docs establish canvas edits variants flow continuity React Tailwind export and direct read-write agent access
VERIFY-007,cand-inspector-visual-editor,rendered-element-to-local-source,Tests visual correction when source files remain the sole durable authority,included,2026-08-11,Official docs map selected production UI to code and relay direct manipulation through connected coding agents into a local Git-managed project
VERIFY-007,cand-banani,component-based-ui-agent-project,Tests project-wide generation history memory reusable components and multiple delivery paths,included,2026-08-11,Official help establishes editable multi-screen projects shared components tokens project-wide undo collaboration Figma layers code and MCP
VERIFY-007,cand-dart-design-agent,delegated-design-task-surface,Separates task-level coordination from the Magic Patterns prototype authority it invokes,included,2026-08-11,Dart owns assignment and integrated result state while first-party copy explicitly identifies Magic Patterns as the downstream interactive mockup and code surface
VERIFY-007,cand-uxcanvas,spec-before-ui-generation,Tests a small UI agent whose public mechanism includes an intermediate structured design specification,included,2026-08-11,First-party product establishes specification planning generated editable screens iterative refinement and production-oriented handoff
VERIFY-007,cand-lovart,multiformat-chatcanvas-project,Tests generated-media inventory and semantic element editing inside a durable creative canvas,included,2026-08-11,Official docs establish project canvas layers grouping locking text and element edits generated-file inventory brand rules and item export
VERIFY-007,cand-dotgui,portable-agent-authored-ui-format,Tests whether a deterministic format and renderer constitute an independently usable Design project,included,2026-08-11,Pinned source and specification define XML layout intent tokens roles assets preview validation local rendering packaging and direct agent writes
VERIFY-007,cand-figspecs,native-specification-materialization,Tests whether handoff governance creates inspectable native and file artifacts instead of only style advice,included,2026-08-11,Current plugin writes native Figma spec frames and exports component rules structured JSON CSS Tailwind accessibility results and linked Jira issues
VERIFY-007,cand-plexui-bridge,semantic-token-figma-mutation,Tests a bridge whose distinction is preserving variable bindings rather than raw resolved values,included,2026-08-11,Official local HTTP contract reads and writes native Figma structure component instances and semantic design-token bindings
VERIFY-007,cand-program-ui,shared-token-model-transition,Tests a partially shipped design system binding humans agents Figma and code to one generated token model,included,2026-08-11,Live copy-to-Figma components and token contract are inspectable while broader agent generation remains waitlisted and explicitly transitional
VERIFY-007,cand-dmaya,editable-multimodel-ui-canvas,Tests an early independent UI canvas across brief brand reference and conversational refinement,included,2026-08-11,First-party live product creates editable multi-screen UI and maintains iterative agent context before code delivery
VERIFY-007,cand-ai2-design,agent-readable-library-boundary,Tests whether an MCP-ready registry alone owns a continuing Design artifact,excluded,2026-08-11,The released MIT component library and token registry guide downstream agents but do not operate an independently authored visual artifact
VERIFY-007,cand-dstoai,offline-design-context-materialization,Tests one-way owned context documents as a deliberate alternative to a live MCP bridge,included,2026-08-11,Official plugin reads the Figma system and exports a portable Build Task Markdown artifact for downstream agents
VERIFY-007,cand-youware,visual-source-backend-delivery-project,Tests one project across prompt visual edits source edits backend services export and deployment,included,2026-08-11,Official product keeps real React source and live preview together with AI visual editing auth data storage Cloudflare deployment and code export
VERIFY-007,cand-jeda,multimodel-native-wireframe-canvas,Tests candidate comparison and direct shape editing rather than flattened wireframe images,included,2026-08-11,Official product exposes editable native shapes concurrent model options AI Extend shared canvas version control and SVG Figma handoff
VERIFY-007,cand-niki,streamed-json-graphics-canvas,Tests a direct-founder architecture account against a live early product surface,included,2026-08-11,First-person technical evidence identifies planner and execution agents streaming a shared Fabric.js JSON graph that users edit directly
VERIFY-007,cand-gendesigns,component-backed-mobile-ui-output,Tests generated mobile design as editable code-bearing screens rather than screenshots,included,2026-08-11,Official product establishes multi-screen theme state chat refinement HTML Tailwind components and code image or ZIP delivery
VERIFY-007,cand-mimic-ai,learned-design-system-figma-enforcement,Tests source-visible policy and feedback between agents design-system evidence and native Figma mutations,included,2026-08-11,Pinned server knowledge store enforcement layer WebSocket bridge and plugin use real instances variables recipes correction memory and gap reports
VERIFY-007,cand-wix-harmony,continuous-agent-site-authority,Tests a current flagship surface against the retired ADI lineage and separately acquired Base44 product,included,2026-08-11,Wix establishes Aria and direct pixel editing over the same production site graph while ADI is retired and Base44 remains independently branded
VERIFY-007,cand-adalo-ai,agent-mutated-native-app-graph,Tests AI over screens data navigation logic validation and multi-platform release from one visual project,included,2026-08-11,Official Ada contract exposes Magic Start Magic Add element-targeted Visual Direction X-Ray and iOS Android web publishing
VERIFY-007,cand-microsoft-designer,cloud-design-candidate-promotion,Tests generative visual candidates that continue into an editable saved project instead of stopping at download,included,2026-08-11,Official support documents deliberate result acceptance canvas editing cloud autosave My projects and cross-product delivery while legacy editor migration remains explicit
VERIFY-007,cand-squarespace-blueprint,ai-started-managed-site,Tests guided AI layout and content as the beginning of a normal editable published site lineage,included,2026-08-11,Official Squarespace material establishes Blueprint generation followed by ordinary site editing content and platform publication
VERIFY-007,cand-one-aida,conversational-site-continuation,Tests agent and manual edits both before and after release on a managed provider site,included,2026-08-11,Official help establishes conversational generation manual editing responsive preview persistent publication forms commerce and domain attachment
VERIFY-007,cand-brilliant-design,git-native-agent-vector-authority,Tests native vector agents plain-text design files local autosave undo design-system sources and host roundtrip in one tool,included,2026-08-11,Official docs expose same-canvas built-in and MCP commands per-chat and per-canvas undo plain-text YAML autosave Git workflows and Figma import export
VERIFY-008,cand-locofy,regenerative-design-code-materialization,Tests changed-frame regeneration and generated-code integration instead of treating one-click export as a continuing loop,included,2026-08-11,Official docs expose design parsing reusable-component detection Smart Regenerate Agent Mode and context-aware CLI or GitHub merge
VERIFY-008,cand-dualite,multi-input-managed-code-project,Tests whether Figma import remains editable and deployable inside the same product rather than ending as a code dump,included,2026-08-11,Official current guides expose prompt Figma GitHub and template starts plus Interaction Mode Supabase source ownership sync and deployment
VERIFY-008,cand-we0,role-specialized-managed-site,Tests multi-agent division of planning visual design code operations and release against a persistent managed site,included,2026-08-11,Official product and company pages expose Planning Design Technical and growth roles with visual CMS domains deployment and continued content operations
VERIFY-008,cand-visdiff,render-compare-correct-loop,Tests visual evidence as an active correction signal between an upstream design and downstream source code,included,2026-08-11,Official early-access product names Figma ground truth screenshot rendering pixel comparison repeated agent fixes source export and MCP integration
VERIFY-008,cand-zigma,ai-assisted-token-authority,Tests a narrower design-system artifact where AI changes tokens and materializes them from Figma into production source,included,2026-08-11,Contemporaneous maker launch describes AI token updates Figma variable synchronization and GitHub delivery while the former domain is now parked
VERIFY-008,cand-codejet,figma-to-live-site-continuation,Tests whether AI conversion continues through editable code preview and publication instead of stopping at static generation,included,2026-08-11,Current official docs expose AI code generation in the Figma plugin a real-time visual editor HTML and CSS output and direct website launch
VERIFY-008,cand-dhiwise,lineage-shift-to-code-owned-app,Tests a design-to-code predecessor after its transition into a full prompt-to-production app project,included,2026-08-11,The official DhiWise surface redirects identity to Rocket.new whose docs expose Figma and file starts targeted visual edits direct code edits GitHub and deployment
VERIFY-009,cand-serendie-mcp,agent-readable-and-native-system-governance,Tests a public design system from read-only agent guidance through selected-layer native Figma correction,included,2026-08-11,Official docs and pinned server source expose component token guideline tools while the Figma plugin shares selection context detects violations and applies token or component fixes
VERIFY-009,cand-designmd-maker-jp,user-promoted-design-specification,Tests AI proposals that terminate in a portable reviewable instruction artifact rather than an opaque generated picture,included,2026-08-11,Official product and terms establish up to ten proposals preview user selection rationale and a user-owned downloadable DESIGN.md containing fonts colors and accessibility rules
VERIFY-009,cand-aidesigner,continuing-cross-medium-design-project,Tests one agent-owned project across UI brand assets direct refinement publication and coding-agent access,included,2026-08-11,Current official surface exposes editable designs targeted section changes retained brand kits variations publishing and MCP read or create workflows
VERIFY-009,cand-hozo,design-system-governed-bidirectional-operation,Tests a service method where code and cloud design representations remain reviewable and system changes propagate,included,2026-08-11,Official launch states operational use pattern extraction token system generation editable design and HTML or React outputs bidirectional conversion and retroactive system updates
VERIFY-009,cand-layermate,selected-layer-native-figma-authoring,Tests whether conversational generation lands as structured host-native data and can continue from existing design context,included,2026-08-11,Official current product exposes selected-layer references native Auto Layout and Frames multi-screen flows variants states fine edits and ordinary Figma continuation
VERIFY-009,cand-mushu,historical-host-native-generation,Tests a discontinued Figma assistant without presenting it as a current option,included,2026-08-11,Contemporaneous maker launch establishes prompt-to-editable on-brand Figma websites responsive remix iterations and copy or image generation while the former domain is now parked
VERIFY-010,cand-flato,persistent-programmable-presentation-canvas,Tests whether humans and multiple agents inspect and mutate one structured visual project across motion interaction and export,included,2026-08-12,Official architecture page and FAQ expose pages blocks styles media project state canvas-context edits external MCP copies manual continuation and explicit image-based PPTX limits
VERIFY-010,cand-komposo,editable-ui-candidate-to-code,Tests candidate comparison and continued screen editing before Figma or framework delivery,included,2026-08-12,Official current surface exposes conversational multi-screen planning variants section-level changes shared projects Figma export and responsive Next React Vue Astro or Expo output
VERIFY-010,cand-pixello,repository-native-design-code-authority,Tests a claimed round trip where neither a cloud canvas nor screenshots are the source of truth,included,2026-08-12,Official docs define human-readable design JSON in the repository local Git code authority MCP orchestration IDE visual editing and synchronized frontend generation
VERIFY-010,cand-disenia,multidevice-versioned-ui-system,Tests one editable UI project across device classes models token constraints history and multiple delivery representations,included,2026-08-12,The live first-party application bundle exposes reusable components responsive auto-layout selected model prompt history visual version diffs Figma synchronization and HTML or React export
VERIFY-010,cand-codia,vision-schema-editable-reconstruction,Tests AI materialization of flat references into inspectable design structure and that structure into code,included,2026-08-12,Official platform describes its VisualElement schema visual hierarchy and layer reconstruction prompt generation editable Figma PowerPoint Canva SVG JSON outputs APIs MCP and multi-framework code generation
VERIFY-010,cand-quby-weave,layered-multiscreen-prototype-system,Tests prompt screenshot and design-system inputs that remain editable across a multi-screen canvas and several delivery targets,included,2026-08-12,Official Quby surfaces expose chat iteration full layer separation design tokens interactive preview version history structured Figma or SVG and HTML React Vue Svelte or Tailwind outputs
VERIFY-010,cand-artiso,fashion-lifecycle-artifact-chain,Tests a domain-specific chain from creative direction to production specification rather than isolated campaign imagery,included,2026-08-12,Official platform exposes agentic trend and fabric moodboards design development CAD placement and all-over prints technical packs and campaign content under one continuing collection workflow
VERIFY-010,cand-inescop-footwear-prototype,last-constrained-technical-sketch,Tests an industrial research prototype where geometry context constrains a generated concept before manufacturing review,included,2026-08-12,Official INESCOP project states text-to-technical footwear sketches adapted to a digital last specialized model development and a completed funded project boundary
VERIFY-011,cand-jenova-ui,persistent-visual-prototype-agent,Tests whether a no-code-output agent still owns a continuing Design artifact rather than isolated screenshots,included,2026-08-12,Official product contract establishes multi-screen visual prototypes prompt and sketch inputs conversational revisions persistent cross-session design-system memory and explicit visual-only delivery
VERIFY-011,cand-uxstudio-ai,flow-to-prototype-and-source,Tests a localized UI agent across connected screen planning interaction direct editing and escape to downstream authority,included,2026-08-12,First-party surface exposes AI-planned user flows clickable prototypes browser edits bidirectional Figma style transfer structured Figma export and source-code delivery
VERIFY-011,cand-holst-ai,generation-plus-layer-editor,Tests an adjacent visual-content product without upgrading raster marketing artifacts into structured UI claims,included,2026-08-12,First-party Russian platform exposes prompt image and video generation alongside an ordinary layer editor with text geometry filters and PNG or JPG delivery
VERIFY-011,cand-ai-design-space,multimodel-production-canvas,Tests whether a model hub has a persistent composition and production layer beyond generation endpoints,included,2026-08-12,Live first-party surfaces expose project history folders infinite canvas layers masks comments roles CRM handoff media editing and PNG PDF or video export
VERIFY-011,cand-pippit-ui-designer,raster-ui-concept-workflow,Tests a UI-labeled page against the actual authority of its parent visual-content product,included,2026-08-12,First-party workflow shows prompt screenshot or sketch to image candidates followed by raster inpaint outpaint eraser and upscale edits with no evidence of a structured UI graph or live prototype
VERIFY-011,cand-easeui,html-variant-lineage-and-materialization,Tests a browser-first product where rendered code remains inspectable and can be materialized as a native design graph,included,2026-08-12,Current documentation details saved HTML child variants live getComputedStyle mutation design-token extraction Figma node-tree import and computed-style export into native Figma layers
VERIFY-011,cand-appy-pie-ui,no-code-ui-to-deployed-product,Tests an AI design surface that crosses from layout candidates into an editable hosted application lifecycle,included,2026-08-12,First-party workflow exposes layout variation conversational and drag-drop refinement wireframe and prototype states HTML CSS image export and continuation into hosted web or mobile delivery
VERIFY-011,cand-rosebud-ai,prompt-to-playable-game-project,Tests interactive experience Design where code assets runtime preview and publication remain one continuing artifact,included,2026-08-12,Official editor guides establish chat-authored code asset management real-time playable preview publication links and remix into a new editable project
VERIFY-012,cand-vidova,agent-mutated-video-timeline,Tests whether natural-language edits land on a human-controllable timeline with an authority escape path,included,2026-08-12,Official product exposes agent cuts zoom captions b-roll music and keyframes on a real timeline plus editable-timeline export and local or bring-your-own-S3 storage
