batch_id,executed_on,channel,language_scope,region_scope,query_count,result_cards_reviewed,new_candidate_refs,repeat_candidate_refs,queries,limitations
WEB-RUAR-001,2026-08-11,web-search,ru|ar,Russia-Arabic-speaking-regions-and-global,4,35,cand-jenova-ui|cand-uxstudio-ai|cand-holst-ai|cand-ai-design-space|cand-pippit-ui-designer|cand-easeui|cand-appy-pie-ui|cand-canvasagent|cand-rosebud-ai,cand-codia|cand-lovart|seed-uizard|seed-galileo-ai|seed-figma-make|cand-ux-pilot,"ИИ агент дизайн интерфейса редактируемый холст инструмент|ИИ генератор UI UX прототипа код Россия|وكيل ذكاء اصطناعي تصميم واجهة مستخدم لوحة قابلة للتحرير|أداة ذكاء اصطناعي تصميم UI UX نموذج أولي كود",Russian results were materially richer than Arabic results and need separate follow-up batches
GH-EN-001,2026-08-11,github-search,en,global-open-source,5,150,cand-tldraw|cand-frontend-slides|cand-app-store-screenshots|cand-html-video|cand-html-anything|cand-open-canvas|cand-talktofigma|cand-figma-context-mcp|cand-primo|cand-openflowkit|cand-uno-visual-designer|cand-mcp-apps|cand-penpot|cand-chrome-devtools-mcp|cand-antvis-infographic|cand-figmatocode|cand-awesome-design-md|cand-ui-ux-pro-max|cand-silex|cand-cc-wf-studio,seed-openpencil-zseven|seed-open-design|seed-superdesign|seed-mcp-excalidraw|seed-open-pencil|seed-nimbalyst|cand-figma-design-agent|seed-google-stitch,"design agent canvas in:readme|mcp design canvas in:readme|ai ui generator figma in:readme|visual editor claude code in:readme|design to code mcp in:readme",README full-text ranking produced many generic agent and resource repositories
WEB-PH-001,2026-08-11,product-directory-search,en,global-launch-directory,4,12,cand-locofy|cand-dualite|cand-we0|cand-visdiff|cand-superflex|cand-zigma|cand-codejet|cand-html-to-design|cand-dhiwise,cand-anima-buddy|cand-figmatocode|cand-figma-design-agent|seed-kombai|seed-vercel-v0|seed-anima,"site:producthunt.com/products AI design agent|site:producthunt.com/products AI UI design canvas|site:producthunt.com/products design to code AI Figma|site:producthunt.com/products visual editor coding agents",Product Hunt is discovery-only and lifecycle or product claims require first-party confirmation
WEB-EN-003,2026-08-11,web-search,en,global-canvas-research,4,22,cand-intelligent-canvas|cand-cocoa|cand-microsoft-agent-design-canvas|cand-agentic-automation-canvas,seed-design-canvas|seed-clearly|cand-pixello|cand-uitiful|cand-codia|cand-figma-design-agent|seed-pen-dev|cand-autocraft,"agentic design canvas UI product|AI-native UI workspace design|AI design workspace agents canvas editable|design canvas MCP agent UI",Canvas terminology also retrieves data-analysis and agent-planning artifacts that require boundary decisions
WEB-EN-004,2026-08-11,web-search,en,global-canvas-products,4,32,cand-agent-native-design|cand-mcp-canvas|cand-chordio|cand-canvas-ui-registry|cand-kanvas-ai,seed-clearly|seed-anthropic-claude-design|seed-open-design|cand-miro-ai-design|seed-pen-dev|seed-google-stitch|cand-banani,"AI UI canvas editable design agent product|agent-native design UI canvas|design workspace Claude Code canvas|MCP canvas UI design tool",MCP canvas searches mix Design artifacts with protocol and workflow configuration surfaces
WEB-EN-005,2026-08-11,web-search,en,global-product-design,4,23,cand-fleck|cand-paraflow|cand-viscanvas,seed-superdesign|cand-figma-design-agent|cand-banani,"AI product design agent editable UI canvas|AI UX design agent prototype canvas|UI design agent Figma MCP product|AI interface design agent workspace",Narrow product-design vocabulary still surfaced secondary directories and research prototypes
WEB-DOMAIN-001,2026-08-11,web-search,en,global-creative-presentation-video,4,47,cand-vidova|cand-pptcraft|cand-influencer-studio|cand-reel-studio|cand-okkslides|cand-slidex|cand-zoea|cand-story-ai-video-editor|cand-preso|cand-visk|cand-deckscript|cand-pptagent|cand-slideagent|cand-talk-to-slides|cand-auto-slides|cand-google-vids|cand-recraft|cand-kittl|cand-gamma|cand-capcut|cand-dafty|cand-decksy|cand-autodesk-flow-studio,seed-clearly|cand-niki|seed-canva-magic-design|cand-adobe-firefly-agent,"AI graphic design agent editable canvas layers brand workspace|AI presentation design agent editable slides canvas|AI creative agent editable design workspace brand campaign|AI video design agent editable timeline creative workspace",Domain expansion reveals presentation video brand and 3D creation surfaces absent from the original UI-heavy seed sample
WEB-DOMAIN-002,2026-08-11,web-search,en,global-cad-fashion-architecture-game,4,46,cand-hemline|cand-textocad|cand-caddesigner|cand-archgen|cand-prompt2cad|cand-mantis-cad|cand-forgent3d|cand-addercad|cand-zcad|cand-42maker|cand-mercer-fashion|cand-buildcad|cand-cadcursor|cand-agentscad|cand-agent-aided-cad|cand-architechtures|cand-bezi-unity|cand-unity-ai|cand-dressx,cand-niki|cand-artiso|seed-canva-magic-design|cand-lovart,"AI design agent CAD editable model product industrial design|AI architecture design agent editable BIM CAD workspace|AI fashion design agent editable collection platform|AI game design agent editable scene Unity canvas",Search cards include early research systems and commercial claims whose editable authority requires separate verification
WEB-JA-002,2026-08-11,web-search,ja,Japan-site-restricted,4,0,,,"site:.jp AIデザイン UI ツール プロトタイプ|site:.jp デザインエージェント UI|site:.jp 生成AI UIデザイン プロダクト|site:.jp AI デザイン キャンバス 製品",Zero indexed result cards measure a channel-language coverage failure and do not imply zero Japanese teams
WEB-KO-002,2026-08-11,web-search,ko,Korea-site-restricted,4,0,,,"site:.kr AI 디자인 UI 도구 프로토타입|site:.kr 디자인 에이전트 UI|site:.kr 생성형 AI UI 디자인 제품|site:.kr AI 디자인 캔버스 서비스",Zero indexed result cards measure a channel-language coverage failure and do not imply zero Korean teams
WEB-AR-002,2026-08-11,web-search,ar,Saudi-UAE-Egypt-and-Arabic-web,4,32,cand-etlaq|cand-arabic-ai-agentic-studio|cand-appypie-design-assistant|cand-aihouse|cand-bunyan|cand-satwa|cand-osus-ai|cand-getfacade|cand-adly-ai|cand-fikra,cand-ai-ui-designer|cand-codia,"site:.sa تصميم واجهات بالذكاء الاصطناعي أداة|site:.ae تصميم UI بالذكاء الاصطناعي منصة|site:.eg أداة تصميم واجهة ذكاء اصطناعي|منصة عربية وكيل تصميم واجهات ذكاء اصطناعي",Arabic-language pages establish discovery leads but not team geography and several are adjacent marketing or property-design products
WEB-ZH-003,2026-08-11,web-search,zh-Hans,China-and-global-domain-followup,4,41,cand-gnucleus-ai|cand-calicat|cand-gemdesign|cand-soulcanvas|cand-aipto|cand-botlab-art|cand-datengcad|cand-designgpt,cand-figma-design-agent|cand-pixso|cand-jsdesign-ai|cand-figcraft|cand-websim,"国产 AI UI 设计 智能体 画布 创业 产品|AI 原型 设计 平台 设计稿 智能体 中国 团队|AI 设计 Agent 国产 Figma 替代 官方|中国 AI 原生 CAD 设计 智能体 产品",Chinese follow-up found UI creative textile and industrial CAD leads but search language alone cannot establish team geography
NPM-EN-001,2026-08-11,package-registry,en,global-npm,4,100,cand-figma-console-mcp|cand-figma-relai|cand-figma-mcp-bridge|cand-workday-canvas-kit-mcp|cand-jskit-ui-generator|cand-cssstudio|cand-21st-toolbar,cand-figma-context-mcp|cand-talktofigma|seed-design-canvas|cand-agent-native-design|cand-chrome-devtools-mcp,"figma mcp design agent|design canvas mcp|ai ui generator|visual editor agent",npm ranking heavily favors generic dependencies so retained-candidate yield is meaningful only for this registry query surface
RECURSIVE-001,2026-08-12,official-link-followup,mixed,global-recursive-leads,11,11,cand-layout|cand-typeui|cand-windframe|cand-uiprompt|cand-step1|cand-vibeui|cand-openui|cand-tastemaker|cand-agent-scad|cand-gitfig|cand-gemcoder-ai,,"https://layout.design/|https://www.typeui.sh/docs|https://windframe.dev/mcp|https://uiprompt.app/|https://step1.dev/|https://www.vibeui.org/|https://www.openui.com/|https://github.com/codeswithroh/tastemaker|https://github.com/Kevoyuan/AgentSCAD|https://gitfig.com/|https://ai.gemcoder.com/",These are explicit outbound leads retained during candidate verification and are not a comparable saturation batch
RECURSIVE-002,2026-08-12,source-and-web-followup,en,global-source-and-figma-followup,4,40,cand-taste-skill|cand-ai-prototyper|cand-tokvista|cand-promptinfuser|cand-cogen|cand-promptlyux,seed-figwright|cand-program-ui|cand-figma-design-agent,"GitHub design agent skill Figma prototype|AI Prototyper GitHub Figma|Figma AI token generator GitHub design system|PromptInfuser Figma plugin source",Follow-up searches were used to resolve linked mechanisms and surfaced both source projects and paper-only controls; card count is the inspected search-result denominator rather than a global estimate
SAT-EN-UI-001,2026-08-12,web-search,en,global-ui-product-saturation,4,40,cand-behavr|cand-dawn-design|cand-mydesign-md|cand-designmd|cand-prompt-to-app|cand-friction|cand-superinterface|cand-md-design|cand-dzndna|cand-uxcascade|cand-portal-ux-agent,seed-subframe|cand-promptlyux,"AI UI design agent editable canvas product|AI prototyping tool editable Figma agent product|visual AI app builder refine canvas export code|design to code AI agent design system product",Top result cards were inspected and only independently identifiable plausible products projects or boundary controls were retained; ranking and personalization remain unknown
SAT-EN-UI-002,2026-08-12,web-search,en,global-ui-product-saturation,4,40,cand-zinloop|cand-sio|cand-usertesting|cand-pega-blueprint|cand-open-generative-ui|cand-draftbit|cand-statecraft,seed-replit-design|cand-figma-design-agent|cand-hostinger-horizons,"AI UX design workspace agents editable screens product|AI interface design tool design system canvas MCP product|prompt to app UI visual editor code export AI product|AI Figma usability testing simulated users product",Top result cards were inspected under the same retention boundary as SAT-EN-UI-001; official verification was performed separately from search ranking
SAT-EN-UI-003,2026-08-12,web-search,en,global-ui-product-saturation,4,40,cand-marmo-ui|cand-designflow|cand-figr|cand-replay|cand-zephyr-framework|cand-a2ui|cand-handle,cand-macaron-a2ui|seed-open-design|cand-openui,"AI product design agent real components screen flows design system|AI design validation Figma prototype heatmap agent product|AI generative UI framework interactive components MCP open source|AI visual app builder editable code history publish product",Top result cards were inspected; generative UI protocols and source-visible runtime bridges were retained only when they exposed an independently usable artifact contract
SAT-EN-UI-004,2026-08-12,web-search,en,global-ui-product-saturation,4,40,cand-caliper|cand-design-mode-extension|cand-codecanvas-ai|cand-prefab,seed-open-codesign|seed-subframe|cand-locofy|cand-figma-design-agent,"AI design agent workspace Figma React MCP screen flows product|AI usability testing Figma simulated persona heatmap official product|generative UI runtime agent component schema open source|AI code visual design tool live product source sync",Top result cards were inspected under the same boundary; repeated canonical records were preserved and generic GUI automation results were screened out before candidate retention
RECURSIVE-003,2026-08-12,official-link-and-web-followup,mixed,global-figma-plugin-and-linked-product-leads,20,90,cand-qoqo|cand-huekit|cand-bux|cand-dreamui|cand-prompt-to-design|cand-superun|cand-oneui|cand-flaude|cand-worried-presenter|cand-design-system-docs-generator|cand-ai-ux-writer|cand-spark-kit|cand-ux-contenthub|cand-buzzy,seed-open-codesign|cand-figma-design-agent|cand-mimic-ai|cand-promptlyux,"site:qoqo.ai AI Figma UX design official QoQo|Huekit Figma plugin design system AI official|BUX UX writing Figma plugin AI official|Open CoDesign official architecture OpenCoworkAI|site:figma.com/community/plugin BUX Better UX Writing AI plugin|BUX Better UX Writing Figma|site:figma.com/community/plugin AI UX Writer Figma Ragnak8|site:qoqo.ai sticky note Figma QoQo|AI UX Writer Figma plugin Ragnak8|DreamUI Noor Maqsood Figma|prompt.to.design Superun AI official|1UI Design Generator Figma official|site:lightit.io Spark Kit Figma Claude open source official|site:flaude.app Figma AI assistant official|Design System Docs Generator Figma plugin AI|AI UX Writer Figma plugin AI agent|BUX Better UX Writing Figma plugin creator AI official|site:1ui.dev Figma plugin editable layers AI screenshot prompt|site:flaude.app Figma Claude MCP open source designs screens|site:forum.figma.com Worried Presenter plugin AI presentation",This recursive batch records actual follow-up queries rather than a comparable saturation slice; linked first-party pages corrected one provisional exclusion and exposed Buzzy while generic mentions without a stable independent product were screened out
SAT-EN-UI-005,2026-08-12,web-search,en,global-ui-product-saturation,4,35,cand-rocketpen|cand-aesthetron|cand-dora-ai|cand-ainaming|cand-heuristic-ai|cand-candor|cand-exportflow|cand-athena-figma,seed-figma-make|cand-figma-design-agent|cand-codia|cand-ai-prototyper|cand-dreamui|cand-buzzy|cand-design-system-docs-generator|cand-anima-buddy,"AI Figma plugin editable layers design system agent|AI UX design Figma plugin generate editable|Figma AI plugin copilot selected layers|AI design agent Figma Community",Every returned card was screened; stable public plugin and product identities were retained while generic tutorials discussions resumes and unnamed internal tools were not promoted beyond the one explicit Athena boundary control
SAT-EN-FIGMA-001,2026-08-12,web-search,en,global-figma-ecosystem-saturation,4,14,,cand-dreamui|cand-figma-design-agent|cand-prompt-to-design|seed-figma-make,"site:figma.com/community/plugin AI design system Figma plugin|site:figma.com/community/plugin AI editable UI generator|site:figma.com/community/plugin AI agent UX design|site:figma.com/community/plugin Claude Figma design plugin",Figma Community pages were blocked by robots controls; search-index cards were still screened and all retained mentions resolved to existing canonical records
SAT-EN-FIGMA-002,2026-08-12,web-search-and-figma-forum,en,global-figma-ecosystem-saturation,4,28,cand-design-audit-lens|cand-glide-design|cand-figma-variables-generator|cand-fluvara|cand-svgenius-figma|cand-design-system-sync|cand-atomic-component-generator|cand-figml|cand-taploop-studio|cand-syncpoint|cand-throughline|cand-super-paste|cand-synapse|cand-systemic-auditor|cand-waysorted|cand-izaias-design-system-prototype,,"site:forum.figma.com/showcase-your-work AI plugin editable design Figma|site:forum.figma.com/showcase-your-work AI UX plugin Figma|site:forum.figma.com/showcase-your-work Claude plugin Figma design|site:forum.figma.com/showcase-your-work AI design system plugin",Twelve web result cards and sixteen distinct embedded Figma Forum post cards were reviewed; creator links were followed to product pages and repositories and the batch remained high novelty rather than saturated
SAT-EN-FIGMA-003,2026-08-12,web-search-and-figma-forum,en,global-figma-ecosystem-saturation,4,32,cand-tokenignite|cand-seo-image-renamer-figma|cand-jmpy-me|cand-typecraft|cand-mkitflow|cand-ruty-architect|cand-page2figma|cand-perceivable|cand-unnamed-auto-wirer|cand-image-trace-vectorizer|cand-design-system-generator-janvi|cand-variate|cand-tokenforge|cand-handoff-css-tokens|cand-codify-figma-to-code|cand-bbui|cand-specbridge,cand-prompt-to-design|cand-figma-variables-generator|cand-design-system-sync|cand-dreamui|cand-svgenius-figma|cand-taploop-studio,"site:forum.figma.com/showcase-your-work-14 2026 AI Figma plugin design|site:forum.figma.com/showcase-your-work-14 AI-powered Figma plugin component accessibility|site:forum.figma.com/showcase-your-work-14 Figma plugin AI tokens code design system|site:forum.figma.com/showcase-your-work-14 generative AI Figma plugin editable",Twelve direct result cards and twenty distinct linked or category-index post cards were screened; stable AI-native products and explicit boundary controls were retained while unrelated deterministic utilities were counted in the denominator but not promoted; the 53 percent first-seen yield shows that this stratum is not saturated
SAT-EN-FIGMA-004,2026-08-12,web-search-and-figma-forum,en,global-figma-ecosystem-saturation,4,30,cand-figpilot-ai|cand-picwise-ai|cand-calino|cand-sparkui|cand-zeno-figma,cand-dreamui|cand-prompt-to-design|cand-figma-variables-generator|cand-figr|cand-figml|cand-mkitflow|cand-perceivable|cand-synapse|cand-typecraft,"site:forum.figma.com/showcase-your-work-14 AI Figma plugin layers canvas|site:forum.figma.com/showcase-your-work-14 Claude OR GPT Figma plugin design|site:forum.figma.com/showcase-your-work-14 AI design tokens plugin Figma|site:forum.figma.com/showcase-your-work-14 AI accessibility prototype plugin Figma",Direct search cards and distinct historical category-index posts were screened; older plugin announcements exposed four independently identifiable AI canvas products and one deterministic boundary control while nine retained mentions resolved to known records; novelty fell but remained above the pause threshold
SAT-EN-FIGMA-005,2026-08-12,web-search-and-figma-forum,en,global-figma-ecosystem-saturation,4,25,cand-contentkit|cand-dynogee,cand-figpilot-ai|cand-calino|cand-sparkui|cand-dreamui|cand-seo-image-renamer-figma|cand-design-system-sync|cand-mkitflow|cand-worried-presenter|cand-design-audit-lens|cand-svgenius-figma|cand-prompt-to-design,"site:forum.figma.com/showcase-your-work-14 AI image generator Figma plugin canvas|site:forum.figma.com/showcase-your-work-14 ChatGPT Figma plugin insert canvas|site:forum.figma.com/showcase-your-work-14 AI-powered frame-to-code Figma|site:forum.figma.com/showcase-your-work-14 AI assistant Figma designers plugin",Distinct direct and category-index cards were screened; one managed AI content system and one deterministic template API were first seen while eleven retained mentions resolved to existing records; 8 percent novelty and 85 percent retained-mention overlap form the first qualifying low-novelty high-overlap batch for this stratum
SAT-EN-FIGMA-006,2026-08-12,web-search-and-figma-forum,en,global-figma-ecosystem-saturation,4,24,,cand-worried-presenter|cand-design-audit-lens|cand-dreamui|cand-jmpy-me|cand-design-system-sync|cand-svgenius-figma|cand-prompt-to-design|cand-calino|cand-taploop-studio|cand-figma-variables-generator|cand-glide-design|cand-typecraft,"site:forum.figma.com/showcase-your-work-14 AI UX writing content Figma plugin|site:forum.figma.com/showcase-your-work-14 AI presentation slides Figma plugin|site:forum.figma.com/showcase-your-work-14 AI design audit review Figma plugin|site:forum.figma.com/showcase-your-work-14 AI brand illustration Figma plugin",All direct cards and distinct embedded posts were screened; deterministic exporters contrast checkers templates and unrelated advice were not promoted while every retained candidate mention resolved to a known record; zero novelty and full retained-mention overlap form the second qualifying batch
SAT-EN-FIGMA-007,2026-08-12,web-search-and-figma-forum,en,global-figma-ecosystem-saturation,4,28,,cand-dreamui|cand-jmpy-me|cand-design-system-sync|cand-seo-image-renamer-figma|cand-worried-presenter|cand-design-audit-lens|cand-figr|cand-figma-variables-generator|cand-ux-contenthub|cand-svgenius-figma|cand-prompt-to-design|cand-calino,"site:forum.figma.com/showcase-your-work-14 AI localization copy Figma plugin|site:forum.figma.com/showcase-your-work-14 AI diagram flowchart FigJam plugin|site:forum.figma.com/showcase-your-work-14 AI charts data Figma plugin|site:forum.figma.com/showcase-your-work-14 AI design system documentation Figma plugin",All returned cards were screened; first-seen localization chart and documentation utilities lacked an evidenced model or agent loop and were irrelevant rather than retained boundary objects; every retained mention resolved to a known record so this is the third consecutive qualifying low-novelty high-overlap batch and the Figma Forum stratum may pause
SAT-GH-001,2026-08-12,github-repository-search,en,global-github-saturation,4,100,cand-vibe-workflow|cand-recombyn|cand-superdesign-mcp|cand-jaaz|cand-open-gallery|cand-jaaz-2506|cand-atv-design|cand-stick|cand-syntropy|cand-designpro|cand-canvas-copilot-penpot|cand-pen-editor|cand-cordyceps|cand-convey|cand-baoyu-design|cand-agent-game-forge|cand-airship|cand-open-ai-design-agent|cand-claude-code-design|cand-fudge|cand-pagegen|cand-open-generative-ai|cand-awesome-claude-design|cand-2ndbrainfordesign|cand-agentic-design-wiki|cand-design-skills|cand-ryze-ai-ui-generator-assignment-cluster,seed-superdesign|seed-monet|cand-primo|seed-nimbalyst|cand-silex|cand-mcp-apps|cand-efecto|seed-open-design,"ai design agent canvas in:readme|mcp design canvas in:readme|ai ui generator editable in:readme|visual editor claude code in:readme",One hundred repository cards were screened against canonical owners README contracts and pinned source; a family of near-identical Ryze assignment submissions is represented by one excluded boundary record rather than inflating the candidate denominator; this high-novelty batch does not qualify as saturation
SAT-GH-002,2026-08-12,github-repository-search,en,global-github-saturation,4,83,cand-jaaz-copy-cluster-gh2|cand-app-club-design|cand-creative-forge|cand-protome|cand-nightghost-design-agent|cand-design-md-chrome|cand-dembrandt|cand-figma-cli|cand-oh-my-design|cand-web-to-design-md|cand-ghost-ai|cand-node-canvas|cand-kyh-ai-canvas|cand-tutti|cand-loomic|cand-modern-canvas-editor|cand-ai-canvas-desktop|cand-ai-canvas-studio|cand-nanocanvas|cand-storyflow-ai-canvas|cand-spoor|cand-ai2canvas|cand-google-design-md-spec|cand-awesome-design-md-corpus,seed-superdesign|cand-jaaz-2506|cand-open-gallery|cand-recombyn|cand-stick|cand-awesome-claude-design|seed-open-design|cand-typeui|cand-frontend-slides|seed-open-codesign|cand-vibe-workflow,"ai design agent infinite canvas in:readme|visual design agent MCP in:readme|design system agent DESIGN.md in:readme|AI canvas editable in:readme",Eighty-three cards were available across the four result sets; source inspection separated executable skill and MCP workflows from static corpora and specifications; five near-identical Jaaz copies are represented by one duplicate cluster; substantial genuine novelty means this batch does not qualify
SAT-GH-003,2026-08-12,github-repository-search,en,global-github-saturation,4,75,cand-d2-canvas|cand-figma-ui-mcp|cand-hyperframes|cand-design-farmer|cand-design-md-extractor|cand-picasso|cand-design-md-generator|cand-design-system-extractor-skill|cand-claudesign|cand-frontend-slides-layout-fork|cand-awesome-design-extractor|cand-designmd-canvas|cand-design-md-agent-skill|cand-ai-ui-style-director|cand-copy-design-cli|cand-agent-workflow-canvas-cluster-gh3|cand-awesome-agent-skills-corpus-gh3|cand-slide-design-md-catalog-gh3,seed-open-design|seed-open-pencil|cand-talktofigma|cand-figma-console-mcp|cand-figma-mcp-bridge|cand-figma-cli|seed-figwright|cand-baoyu-design|seed-onlook|seed-openpencil-zseven|cand-awesome-claude-design|cand-frontend-slides,"agent canvas design local-first in:readme|AI design editor scene graph in:readme|MCP Figma design editable in:readme|DESIGN.md visual preview agent in:readme",Seventy-five available repository cards were screened and one query returned no cards; pinned source separated Design artifact runtimes and operational evidence-producing skills from generic agent orchestration canvases static indexes and catalogs; fourteen independent products and one same-family derivative remained first-seen so this high-novelty batch does not qualify as saturation
SAT-GH-004,2026-08-12,github-repository-search,en,global-github-saturation,4,100,cand-plumb-mcp|cand-hycanvas|cand-sand-canvas|cand-drawtir|cand-djasha-system|cand-quill-design|cand-buildev|cand-designpowers|cand-design-for-ai|cand-stitch-kit|cand-whiteport-design-studio|cand-penpot-mcp-server|cand-penpot-ai-kit|cand-exfig|cand-penpot-skills|cand-design-ruler|cand-visionary-claude|cand-uicanvas|cand-ppt-master|cand-ipollowork|cand-pinvou-agent|cand-cc-design|cand-agent-office-suite|cand-superdesign-skill-current|cand-naim-challenge|cand-design-ai-systems-corpus|cand-webtwin,seed-openpencil-zseven|seed-reframe|seed-open-codesign|seed-superdesign|cand-awesome-design-md-corpus|cand-awesome-claude-design|cand-pptagent|cand-vibe-workflow|cand-we0|cand-penpot|cand-mcp-apps|cand-awesome-agent-skills-corpus-gh3,"AI-native design canvas editor in:readme|design agent DESIGN.md in:readme|Figma Penpot MCP design in:readme|visual design agent editable in:readme",One hundred repository cards were screened; source inspection found substantial new native canvases design-system runtimes verification bridges agent workflow products and editable office artifacts while folding the current Superdesign distribution into its existing lineage and excluding courses static corpora and manual AI-adjacent extractors; twenty-seven first-seen candidates make this batch far from saturation
