slug,product,organization,evidence_depth,lifecycle
archgen,ArchGen,archgen,architecture,active
prompt2cad,Prompt2CAD,prompt2cad,architecture,active
forgent3d,Forgent3D,forgent3d,source,active
addercad,AdderCAD,adder-labs,architecture,active
42maker,42Maker,maker42,architecture,active
mercer-fashion,Mercer,mercer-design-studio,architecture,active
buildcad,BuildCAD,buildcad,architecture,active
cadcursor,CadCursor,cadcursor,architecture,active
architechtures,ARCHITEChTURES,architechtures,architecture,active
bezi,Bezi,bezi,architecture,active
unity-ai-tools,Unity AI tools,unity,architecture,active
dressx-ai-suite,DRESSX AI Suite,dressx,architecture,active
pixso,Pixso,bosi-yunchuang,architecture,active
orbis,Orbis,orbis-intelligence,architecture,active
tapcanvas,TapCanvas,tapcanvas,architecture,active
uxbot,UXbot,uxbot,architecture,active
autocraft,Autocraft,autocraft,architecture,active
hyperplane,Hyperplane,hyperplane-design,architecture,active
backdraft,Backdraft,backdraft,architecture,active
vberai-studio,VberAI Studio,vberai,architecture,active
figcraft,FigCraft,qinaxis,architecture,active
mowgli,Mowgli,mowgli-ai,architecture,active
uitiful,Uitiful,uitiful,architecture,active
websim,Websim,websim-inc,architecture,active
gnucleus,gNucleus,gnucleus-ai,architecture,active
gemdesign,GemDesign,yuantiao-technology,architecture,active
soulcanvas,灵境画布,soulcanvas,architecture,active
aipto,AIPTO,aipto,architecture,active
datengcad,大腾智能 CAD,dateng,architecture,active
layout,Layout,layout-design,architecture,active
typeui,TypeUI,typeui,architecture,active
windframe,Windframe,devwares,architecture,active
step1,Step1,step1,architecture,active
openui,OpenUI,thesys,source,active
agent-scad,AgentSCAD,kevoyuan-agentscad,source,active
gemcoder-ai,Gemcoder.AI,yuantiao-technology,architecture,active
ai-prototyper,AI Prototyper,ai-prototyper-research,source,active
tokvista,Tokvista,tokvista,architecture,active
behavr,Behavr,behavr,architecture,active
dawn-design,Dawn,dawnlabs,architecture,active
mydesign-md,MYDESIGN.MD,mydesignmd,architecture,active
designmd,DESIGNmd,designmd,architecture,active
prompt-to-app,Prompt To App,prompt-to-app,architecture,active
friction,Friction,frictionux,architecture,active
superinterface,Superinterface,supercorp,source,active
zinloop,Zinloop,zinloop,architecture,active
sio,Sio,sio,architecture,active
usertesting,UserTesting,usertesting,architecture,active
pega-blueprint,Pega Blueprint,pegasystems,architecture,active
open-generative-ui,Open Generative UI,copilotkit,source,active
draftbit,Draftbit,draftbit,architecture,active
statecraft,Statecraft,statecraft,architecture,active
marmo-ui,Marmo UI,marmoui,source,active
designflow,DesignFlow,designflow,source,active
figr,Figr,figr,architecture,active
replay,Replay,replay,architecture,active
zephyr-framework,Zephyr Framework,daltlc,source,active
a2ui,A2UI,a2ui-project,source,active
handle,Handle,tonkotsu-ai,source,active
caliper,Caliper,caliper,architecture,active
design-mode-extension,Design Mode,sandeep-baskaran,source,active
codecanvas-ai,CodeCanvas AI,codecanvas-ai,source,active
prefab,Prefab,prefect,source,active
qoqo,QoQo,qoqo,architecture,active
bux,BUX,bux,architecture,active
dreamui,DreamUI,dreamui,architecture,active
prompt-to-design,Prompt.to.design,superun,architecture,active
superun,Superun,superun,architecture,active
oneui,1UI,oneui,architecture,active
flaude,Flaude,flaude,source,active
worried-presenter,Worried Presenter,worried-presenter,architecture,active
design-system-docs-generator,Design System Docs Generator,design-system-docs-generator,architecture,active
ai-ux-writer,AI UX Writer,ai-ux-writer,architecture,active
buzzy,Buzzy,buzzy,architecture,active
rocketpen,RocketPen,rocketpen,architecture,active
aesthetron,Aesthetron AI,aesthetron,architecture,active
dora-ai,Dora AI,dora,architecture,active
ainaming,AINaming,donghuc,source,active
heuristic-ai,Heuristic AI,donghuc,source,active
candor,Candor,candor,architecture,active
exportflow,ExportFlow,exportflow,architecture,active
design-audit-lens,Design Audit Lens,design-audit-lens,architecture,active
glide-design,GlideDesign,glide-design,architecture,active
figma-variables-generator,Figma Variables Generator Ecosystem,shanmus4,source,active
fluvara,Fluvara,fluvara,architecture,active
svgenius-figma,SVGenius for Figma,svgenius-figma,architecture,active
design-system-sync,Design System Sync,alexander-burgos,architecture,active
atomic-component-generator,Atomic Component Generator,alexander-burgos,architecture,active
figml,FigML,figml,architecture,active
taploop-studio,Taploop Studio,taploop,architecture,active
syncpoint,SyncPoint,axis-labs,architecture,active
throughline,ThroughLine,throughline,source,active
tokenignite,TokenIgnite,nico-brinkschroder,architecture,active
seo-image-renamer-figma,SEO Image Renamer,wwwhat,architecture,active
jmpy-me,JMPY.me,jmpy,architecture,active
typecraft,TypeCraft,jason-typecraft,architecture,active
mkitflow,MKitFlow,mkitplug,architecture,active
figpilot-ai,FigPilot.ai,qutesoft,architecture,active
picwise-ai,PicWise.ai,qutesoft,architecture,active
calino,Calino,achmad-alimin,architecture,active
sparkui,SparkUI,sparkui-abbaas,architecture,active
contentkit,ContentKit,intersections-design-lab,architecture,active
vibe-workflow,Vibe Workflow,muapi,source,active
recombyn,Recombyn,recombyn,source,active
superdesign-mcp,Superdesign MCP Server,jonthebeef,source,active
jaaz,Jaaz,jaaz,source,active
atv-design,ATV Design,all-the-vibes,source,active
stick,Stick,atiqullah-naemi,source,active
syntropy,Syntropy,prateet-mishra,source,active
designpro,Design Pro,onimix,source,active
canvas-copilot-penpot,Canvas Copilot for Penpot,gede-sudimahendra,source,active
pen-editor,Pen Editor,dan-rozhkov,source,active
cordyceps,Cordyceps,brooks-talley,source,active
convey,Convey,bitovi,source,active
baoyu-design,baoyu-design,jim-liu,source,active
agent-game-forge,Agent Game Forge,zero-x-funky,source,active
airship,Airship,nayan-airship,source,active
open-ai-design-agent,Open AI Design Agent,muapi,source,active
claude-code-design,claude-code-design,bluzir,source,active
fudge,Fudge,fudge,architecture,active
pagegen,PageGen,memfree,source,active
app-club-design,App Club Design,app-club-design,source,active
creative-forge,Creative Forge,creative-forge,source,active
protome,Proto-me,protome,source,active
nightghost-design-agent,design-agent by NightGhost,nightghost4,source,active
design-md-chrome,TypeUI DESIGN.md Extractor,bergside,source,active
dembrandt,Dembrandt,dembrandt,source,active
figma-cli,figma-cli,silships,source,active
oh-my-design,oh-my-design,oh-my-design,source,active
web-to-design-md,web-to-design-md,paidax,source,active
ghost-ai,Ghost AI,javascript-mastery,source,active
node-canvas,Node Canvas,ozoshanniao,source,active
kyh-ai-canvas,AI Canvas by Kaiyu Hsu,kyh-ai-canvas,source,active
tutti,Tutti,tutti,source,active
loomic,Loomic,loomic,source,active
ai-canvas-desktop,AI Canvas Desktop,nick-chadwick,source,active
ai-canvas-studio,AI Canvas Studio,an-pham,source,active
nanocanvas,NanoCanvas,an-hoang-vo,source,active
storyflow-ai-canvas,StoryFlow AI Canvas,storyflow,source,active
d2-canvas,D2 Canvas,aris-montclair,source,active
figma-ui-mcp,figma-ui-mcp,tran-hoai-hung,source,active
hyperframes,HyperFrames,heygen,source,active
design-farmer,Design Farmer,hak-lee,source,active
design-md-extractor,DESIGN.md Extractor,jpoindexter,source,active
picasso,Picasso,viperr,source,active
design-md-generator,DESIGN.md Generator,jason-hnd,source,active
design-system-extractor-skill,Design System Extractor Skill,simon-bloom,source,active
claudesign,Claudesign,claudate,source,active
awesome-design-extractor,Awesome Design Extractor,myoji,source,active
designmd-canvas,DESIGN.md Canvas,christopher-maneu,source,active
design-md-agent-skill,design.md Agent Skill,jeftar-mascarenhas,source,active
ai-ui-style-director,AI UI Style Director,bayes-wang,source,active
copy-design-cli,Copy Design CLI,lxcong,source,active
plumb-mcp,Plumb,tathagat-maitray,source,active
hycanvas,HyCanvas,hyscaler,source,active
sand-canvas,Sand,kno-raziel,source,active
drawtir,Drawtir,rantir,source,active
djasha-system,Djasha System,djasha,source,active
quill-design,Quill,michael-hirst,source,active
buildev,Buildev,bryxnn,source,active
designpowers,Designpowers,owl-listener,source,active
design-for-ai,design-for-ai,ryan-the-dev,source,active
stitch-kit,stitch-kit,booplex,source,active
whiteport-design-studio,Whiteport Design Studio,bmad-code,source,active
penpot-mcp-server,Penpot MCP Server,zcube,source,active
penpot-ai-kit,Penpot AI Kit,penpot,source,active
exfig,ExFig,designpipe,source,active
penpot-skills,Penpot Skills,juan-de-la-cruz,source,active
design-ruler,Design Ruler,xiaofeng,source,active
visionary-claude,Visionary for Claude Code,git-webb-app-studio,source,active
uicanvas,UICanvas,markvely,source,active
ppt-master,PPT Master,hugo-he,source,active
ipollowork,iPolloWork,devin-axis,source,active
pinvou-agent,Pinvou Agent,pinvou,source,active
cc-design,cc-design,zeroz-lab,source,active
agent-office-suite,Agent Office Suite,manpo,source,active
abu-cowork,Abu Cowork,pm-shawn,source,active
slides-grab,slides-grab,nomadamas,source,active
kin3o,kin3o,affromero,source,active
aniya-studio,Aniya Studio,yizhian,source,active
tractstack,TractStack,at-risk-media,source,active
kleva,Kleva,bamideleo,source,active
claude-design-system-prompt,Claude Design System Prompt,trystan-sa,source,active
garden-skills,Garden Skills,conardli,source,active
vibma,Vibma,ufira-ai,source,archived
aionui,AionUi,iofficeai,source,active
officecli,OfficeCLI,iofficeai,source,active
presentation-ai,ALLWEONE Presentation AI,allweone,source,active
openmontage,OpenMontage,calesthio,source,active
genoffice,GenOffice,genspark-ai,source,active
claude-code-video-toolkit,Claude Code Video Toolkit,digital-samba,source,active
design-dna,Design DNA,zanwei,source,active
presentation-builder,Presentation Builder,zane-cole,source,active
ai-slide-editor,AI Slide Editor,strgfjojo,source,active
pix,Pix,skobak,source,active
uspec,uSpec,redongreen,source,active
reqwise-figma-mcp,Reqwise Figma MCP,hoangpm96,source,active
prototype-to-figma-skill,Prototype to Figma Skill,alima-max,source,active
figma-mcp-write-server,Figma MCP Write Server,olivier-ozoux,source,active
claude-design-auditor-skill,Claude Design Auditor Skill,ash-j,source,active
claude2figma,Claude2Figma,senlin-design,source,active
ux-ui-agent-skills,UX UI Agent Skills,plugin87,source,active
figma-design-system-skills,Figma Design System Skills,edenspiekermann,source,active
thedesign-agent-skills,The Design Project Agent Skills,the-design-project,source,active
naksha-studio,Naksha Studio,aditya-raj,source,active
noemuch-bridge,Bridge,noemuch,source,active
openpage,OpenPage,buildingopen,source,active
vibe-otter-lite,Vibe Otter Lite,vibe-otter,source,active
craftflow,CraftFlow,akameredon,source,active
intellibuild,IntelliBuild,upendra-coder,source,active
jihan-ai-web-builder,Jihan AI Web Builder,jihan-gajjar,source,active
shopnest,ShopNest,karanvir-singh,source,active
ai-cms,AI CMS,saksham-tyagi,source,active
webora,Webora,keenoy,source,active
launchlayer-ai,LaunchLayer AI,lukas-wilson,source,active
figma-to-design-md,Figma to design.md,albert-zhang,source,active
agentic-design-canvas,Agentic Design Canvas,moonslicer,source,active
floorplan-interior-render,Floor Plan Interior Render,umair-khan,source,active
genable,Genable,musec,architecture,active
eostudio,EoStudio,embeddedos,source,active
better-design,Better Design,better-design,architecture,active
ui-craft,UI Craft,edu-calvo,source,active
reveal-presentations,Reveal Presentations,goda-go,source,active
design-system-inspection-kit,Design System Multi-Point Inspection Kit,brad-frost-web,source,active
design-system-agents,AI Design System Agents,kamil-ziemann,source,active
pilot-marketing-ai-design-system,Pilot Marketing AI Design System,pilot-design-team,source,active
master-ai-design-system,Master AI Design System,mohamed-ahmed,source,active
chip,CHIP,elleta-mcdaniel,source,active
enterprise-ai-design-system,Enterprise AI Design System,draiagent,source,active
brand-booklet,Brand Booklet,tillmann-vey,source,active
mcp-link-fusion,MCP-Link for Autodesk Fusion,aura-friday,source,active
massing,Massing,ibuilder,source,active
codex-slides,Codex Slides,nexu-io,source,active
brand-design-skill,Brand Design Skill,ziguishian,source,active
styleseed,StyleSeed,bitjaru,source,active
ppt-design-prompt,PPT Design Prompt,russell-cell,source,active
rampstack-skills,RampStack Brand Build Skills,rampstack,source,active
pronghorn,Pronghorn,government-alberta,source,active
impeccable,Impeccable,pbakaus,source,active
kami,Kami,tw93,source,active
presenton,Presenton,presenton,source,active
hugoblox,HugoBlox,hugoblox,architecture,active
pptist,PPTist,pipipi-pikachu,source,active
draftdeckai,DraftDeckAI,muneerali199,source,active
fluidcad,FluidCAD,fluid-cad,source,active
vcad,vCAD,ecto,source,active
onshape-mcp,Onshape MCP,hedless,source,active
jarvis-onshape-mcp,Jarvis Onshape MCP,reshef-elisha,source,active
solidworks-automation-skill,SolidWorks Automation Skill,wzyn,source,active
solidpilot,SolidPilot,eyfel,source,active
cae-agent-hub,CAE Agent Hub,cai-aa,source,active
cad-cae-copilot,CAD CAE Copilot,armpro24,source,active
sketchforge,SketchForge,formsmith,source,active
partmode,PartMode,bomwiki,source,active
cli-anything,CLI-Anything,hkuds,source,active
affine,AFFiNE,toeverything,source,active
onlyoffice-ai-editors,ONLYOFFICE AI Editors,onlyoffice,source,active
presentation-app,Presentation App,jerryjliu,source,active
starrykit,StarryKit,starrykit,architecture,active
slidefinder,SlideFinder,aymenfurter,source,active
seaslides,SeaSlides,touying-typ,source,active
director,director,dubh3124,source,active
chilldeck,ChillDeck,isha-upadhyay,source,active
slideflow,SlideFlow,xiaoyesoso,source,active
ppt-saas,PPT SaaS,shibinsp,source,active
zero-build-slides,Zero-Build Slides,decocms,source,active
frontend-slides-editable,Frontend Slides Editable,archlizheng,source,active
rocketsmith,RocketSmith,ppak10,source,active
fusionmcp,FusionMCP,jaskirat1616,source,active
scad-webmcp,SCAD WebMCP,jherr,source,active
cad-solver,CAD Solver,valentil,source,active
omnimcp,OmniMCP,travor278,source,active
ai-cad,AI-CAD,vespo92,source,active
ai-parametric-cad,AI Parametric CAD Generator,zakpro786,source,active
tylina,Tylina,tylina,architecture,active
mira-animator,Mira Animator,sandeco,source,active
paper2any,Paper2Any,opendcai,source,active
knowledge-cat-ppt,Knowledge Cat PPT Skill,gnipbao,source,active
rw-consulting-ppt,RW Consulting PPT,pikapika260214,source,active
sparo-os,Sparo OS,gcwing,source,active
tellr,tellr,databricks,source,active
hands-on-deck,hands-on-deck,every,source,active
ppt-as-code,PPT as Code,russell-cell,source,active
deckestra,Deckestra,sunweitao,source,active
competition-ppt-template,Competition PPT Template-First,che626,source,active
paper2slides,paper2slides,inhyeoklee,source,active
codeck,Codeck,codequest,source,active
amaroad,Amaroad,core-inc,source,active
tiangong-ai-decks,Tiangong AI Decks,linancn,source,active
eigendeck,Eigendeck,dgleich,source,active
editable-presentation-studio,Editable Presentation Studio,coille02,source,active
cyclecad,cycleCAD,xupeiwust,source,active
embodied-scene-generation,Embodied Scene Generation,pudpawat,source,active
mcp-cad,mcp-cad,andiveli,source,active
resonance-ai,Resonance AI,sjchem,source,active
ruth-v3,RUTH V3,core-brim-tech,source,active
blender-mcp-n8n,Blender MCP for n8n,seehiong,source,active
design-os,Design OS,rudy0z,source,active
brand-manual-app,Brand Manual App,admin-blip7,source,active
milestone-designer,Milestone Designer,multi-threaded,source,active
figmalint,FigmaLint,southleft,source,active
paper-to-any-studio,Paper to Any Studio / Nexus,deepthinking-zhouliu,architecture,active
reversa,Reversa,sandeco,source,active
bitfun,BitFun,gcwing,source,active
kanvas-obsidian,Kanvas,xmihura,source,active
review-gate,Review Gate,lakshman-turlapati,source,active
instruckt,Instruckt,joshcirre,source,active
comfyui-easy-color-corrector,ComfyUI EasyColorCorrector,regiellis,source,active
genjutsu,genjutsu,athevon,source,active
openada,OpenADA,simra-tech,source,active
decibel-designer,Decibel Designer,decibel-systems,source,active
get-shit-pretty,Get Shit Pretty,jubscodes,source,active
lineforge,lineforge,rfingadam,source,active
drawio-engineering-mcp,Draw.io Engineering MCP,rfingadam,source,active
rfingadam-mcp-blender,RFingAdam mcp-blender,rfingadam,source,active
mcp-openems,mcp-openems,rfingadam,source,active
mcp-nec2-antenna,mcp-nec2-antenna,rfingadam,source,active
mcp-pcb-emcopilot,mcp-pcb-emcopilot,rfingadam,source,active
mcp-ltspice-qucs,mcp-ltspice-qucs,rfingadam,source,active
mcp-cst-studio,mcp-cst-studio,rfingadam,source,active
rflect,RFlect,rfingadam,source,active
drawio-mcp,Draw.io MCP,jgraph,source,active
kicad-mcp-server,KiCAD MCP Server,mixelpixx,source,active
konnect,Konnect,mixelpixx,source,active
kicad-analysis-mcp,KiCad Analysis MCP,lamaalrajih,source,active
montevive-penpot-mcp,Montevive Penpot MCP,montevive,source,active
eda-agent,EDA Agent,salitronic,source,active
agents365-drawio-skill,Agents365 Draw.io Skill,agents365,source,active
next-ai-draw-io,Next AI Draw.io,dayuan-jiang,source,active
diagram-design,Diagram Design,cathryn-lavery,source,active
lgazo-drawio-mcp,Ladislav Gazo Draw.io MCP Server,ladislav-gazo,source,active
yank-note,Yank Note,purocean,source,active
drawio-ai-kit,drawio-ai-kit,sparklabx,source,active
scientific-illustrator,Scientific Illustrator,icebird1998,source,active
drawio2go,DrawIO2Go,atlas-zeng,source,active
drawio-diagram-builder,Draw.io Diagram Builder Skill,xiaowei-hua,source,active
terravision,TerraVision,patrick-chugh,source,active
aws-architecture-diagram-skill,AWS Architecture Diagram Skill,alexey-vidanov,source,active
clawphd,ClawPhD,zhihao-ai-robotic,source,active
flowforge-skill,FlowForge Skill,wentong2022,source,active
openscad-agent,OpenSCAD Agent,ian-anderson,source,active
figmirror,FigMirror,vila-lab,source,active
deepdiagram,DeepDiagram,lingyi-chen-ai,source,active
officebuddy,OfficeBuddy,zhihui-chen,source,active
anthropic-agent-skills,Anthropic Agent Skills,anthropic,source,active
blender-mcp-vxai,Blender MCP VXAI,vxai,source,active
cad-agent,CAD Agent,svetlana-dao,source,active
3dcodebench,3DCodeBench,yipeng-gao,source,active
cadgenbench,CADGenBench,hugging-face,source,active
cadsmith,CADSmith,jesse-barkley,source,active
claude-code-workflows,OneRedOak Claude Code Workflows,one-red-oak,source,active
jezweb-claude-skills,Jezweb Claude Skills,jezweb,source,active
arckit,ArcKit,tractorjuice,source,active
optiaxiom,Optiaxiom,optimizely-axiom,source,active
github-copilot-agent-skills,GitHub Copilot Agent Skills by Thomas Thornton,thomas-thornton,source,active
poco,Poco,poco-ai,source,active
simonkurtz-drawio-mcp,Simon Kurtz Draw.io MCP Server,simon-kurtz,source,active
mcpyats,MCPyATS,automate-your-network,source,active
heroui,HeroUI,heroui,source,active
blade,Blade,razorpay,source,active
figma-mcp-server,Figma MCP Server,figma,architecture,active
reicon,Reicon,dev-chauhan,source,active
tempad-dev,TemPad Dev,baidu-efe,source,active
archondev,ArchonDev,archondev,architecture,active
claude-terminal,Claude Terminal,sterll,source,active
higgsfield-skills,Higgsfield Skills,higgsfield,source,active
crafter,Crafter,haozhe-zhao,source,active
agent-vision-toolkit,Agent Vision Toolkit,anionex,source,active
skillstead,Skillstead,kyungseo-park,source,active
sci-figure,sci-figure,xiao-yuling,source,active
paper-framework-figure-studio-pro,Paper Framework Figure Studio Pro,c-narcissus,architecture,active
premium-vector-icon-designer,Premium Vector Icon Designer,suli,source,active
layer-first-raster-to-svg,Layer-First Raster to SVG,pipi-22,source,active
powerpoint-business,PowerPoint Business,lizheng-wang,source,active
shad-expo-studio,Shad Expo Studio,limin-ge,source,active
threejs-game-skills,Three.js Game Skills,majid-manzarpour,source,active
claude-talk-to-figma-arinspunk,AI Agents Talk to Figma MCP,xulio-ze,source,active
qt-agent-skills,Qt Agent Skills,qt-company,source,active
