slug,product,tier,reason
agon,Agon,other,multi-agent consensus over validated Truth Map patches with durable Postgres/Redis infra
ai-app-builder-abdul,AI App Builder by Abdul Baqui,other,"Supabase file workspace with recovery loop, version snapshots, WebContainer preview and export"
ai-app-builder-doratiotto,AI App Builder by Doratiotto67,other,tenant-scoped builder with data-source-file markers and durable file writes though versioning flawed
ai-app-builder-edge,AI App Builder by Shoaib Ahmed,other,"distinctive repair chain: diagnostics, escalating repair, smoke checks and export gate"
ai-app-builder-eugene,AI App Builder by Eugene McMillian,other,thin single-code-value register with no version or history tables and chat overwriting source
ai-app-builder-piyush,AI App Builder by Piyush Agarwal,other,"pinned open-source with real gen-to-Sandpack editing, Prisma persistence and export loop"
ai-app-builder-saas-tauhid,AI App Builder SaaS by Yayasan At-Tauhid,other,"real provider-interface with concrete adapters, parent-linked version graph and Sandpack export"
ai-app-developer-rajnish,AI App Developer by Rajnish Kumar,other,"managed multi-file Project authority in Mongo with deployment tracking, pinned source"
ai-builder-nishant,AI Builder by Nishant Chaudhary,other,concrete typed-dashboard-schema authority with canvas rendering and codeGen export
ai-cad,AI-CAD,other,"real Replicad/OpenCascade parametric workspace with feature codegen, worker and MCP"
ai-canvas-desktop,AI Canvas Desktop,other,"shared document-core with MCP bridge, SQLite commits and tested command semantics"
ai-canvas-studio,AI Canvas Studio,other,hackathon-era browser composition with no server project or exercised generation API
ai-cms,AI CMS,other,GrapesJS selection-scoped surgical generation with DOM safety guards verified in source
ai-code-tutor-video,AI CodeTutor Video Generator,other,one-shot scene pipeline to MP4 with no editing contract or frontend
ai-component-builder-aditya,AI Component Builder by Aditya Sharma,other,component-as-source with per-turn versions and live preview closing the loop
ai-component-builder-bamerf,AI Component Builder by Bamdad Erfanian,other,"historical 2023 streamed-generation demo, source ended, minimal persistence"
ai-component-builder-bluntbrain,AI Component Builder by bluntbrain,other,small course-backed keep/discard builder with only a Firebase save gallery
ai-component-builder-debanik,AI Component Builder by Debanik,other,thin browser builder evaluating JSX in-process with no durability
ai-component-builder-devisha,AI Component Builder by Devisha Arora,other,simple JSX-to-iframe preview with no persistence or versioning
ai-component-builder-gokul,AI Component Builder by Gokul Krishna,other,small Redux playground with no durable store
ai-component-builder-harshbhx,AI Component Builder by Harsh Bhanushali,other,distinctive Cursor-agent SSE streaming with fenced-source promotion to preview
ai-component-builder-iaman,AI Component Builder by Aman Raj,other,thin Gemini-to-iframe component string with no persistence
ai-component-builder-sanskriti,AI Component Builder by Sanskriti Singh,other,small generate-and-save-variant builder with only browser/Firebase retention
ai-component-builder-sfyr,AI-Powered UI Component Generator by Ryan,other,multimodal builder with in-browser esbuild bundling of editable source to iframe
ai-component-builder-stacked,AI Component Builder by StackedByAdit,other,"thin single-loop component generator, Firebase not wired"
ai-component-generator-sandbox,AI Component Generator Sandbox,other,single-page source-to-sandbox injection with no project or revision state
ai-component-generator-shakti,AI Component Generator by Shakti Prasad Ram,other,session current-state builder with validation but no version graph
ai-consulting-soyeon,AI Consulting Workflow,other,mostly template and phase documents with no runtime; evidence leans on a protocol pack
ai-creative-studio,AI Creative Studio,other,A2A multi-agent campaign spec with no visual editor or renderer
ai-design-engineer,AI Design Engineer,other,"architecture-level persona plugin; only role/handoff contracts, no visual runtime or artifact store"
ai-design-skills,AI Design Skills,other,"workshop skill collection, mostly prompt content with thin implementation"
ai-design-space,AI DESIGN SPACE,other,architecture-level hosted beta whose internals/schema/export are not exposed
ai-design-studio,AI Design Studio,other,deep open-source room editor with lasso-to-mask inpaint and durable edit history
ai-design-workspace-catalog,AI Design Workspace,other,"real print-production React app with pinned source, agent editor and checkpointed audit-session"
ai-diagram-copilot-pranav,AI Diagram Copilot by Pranav,other,real DSL+event-log diagram model with Excalidraw port and approval-gated copilot
ai-diagrammer,AI Diagrammer,other,"real Azure scene-object generation with deterministic layout, append semantics and persistence"
ai-diagrams,AI Diagrams,other,real PlantUML-source authority with three Gemini entrances and CodeMirror editor
ai-diagrams-toolkit,AI Diagrams Toolkit,other,thin agent-instruction/toolkit repo gating Mermaid via policy and shell conformance tests
ai-draw-nexus,AI Diagram Hub / AI Draw Nexus,other,real multi-engine diagram system routing streaming output into Mermaid/Excalidraw/Draw.io
ai-factory,AI Factory,other,thin workflow/skill toolkit plus small CLI whose AI mechanism is largely external
ai-figma,AI Figma,other,real Drupal module with deterministic resolver and agent functions
ai-forge-mcp,AI Forge MCP,other,architecture-level contracts but no production code evidence
ai-frontend-generator-amit,AI Frontend Generator by Amit Sharma,other,real local Flask+CodeGen pipeline with split-source editor and filesystem materialization
ai-frontend-generator-arijeet,AI Frontend Generator by Arijeet Priyadarshi,other,real blueprint-hinge staged pipeline though some validation is simulated
ai-frontend-generator-marcelorl,AI Frontend Generator by Marcelo Lima,other,real orchestrator/sub-agent/refiner filesystem generator with distinctive negotiation loop
ai-frontend-generator-metamil,AI Frontend Generator by Tamil Selvan,other,stale 2024 minimal 3-pane editor with no project store and thin mechanism
ai-game-launchpad,AI Game LaunchPad,other,"real config-not-code game generator with bounded templates, version restore and publishing"
ai-generator-abhi,AI Generator by Abhi Gandhi,other,real local-Ollama code workspace with MongoDB generation records and delivery
ai-landing-generator-pro,IA Landing Generator Pro,other,real structured-content-into-template landing generator with native React preview authority
ai-landing-page-builder-ali-tamer,AI Landing Page Builder by Ali Tamer,other,real staged generation kernel materializing files despite scaffold-like surround and weak persistence
ai-landing-page-studio,AI Landing Page Studio,other,real versioned domain model with immutable draft/published states and public renderer
ai-media-canvas,AI Media Canvas,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
ai-module-generator-sawan,AI Module Generator by Sawan Kumar,other,real repo-ingesting module generator with a hard LangGraph approval interrupt gate
ai-orchestration-honey610,AI Orchestration UI Generator by Shishir Gupta,other,real constrained-component-graph governance with validator and DynamicRenderer separate from display JSX
ai-parametric-cad,AI Parametric CAD Generator,other,real prompt-to-CadQuery/OpenCascade solid pipeline with bounded validation
ai-prototyper,AI Prototyper,other,real Figma plugin writing native nodes from bounded component-vocabulary JSON tree
ai-react-component-generator-amit,AI React Component Generator by Amit Nandan,other,thin single-component-session loop with no project store
ai-revit-family-maker,AI Revit Family Maker,other,real typed-intent-to-Revit-family pipeline across Pydantic agent and Autodesk AppBundle
ai-shortfilm-studio,AI Shortfilm Studio,other,"real full production pipeline with versioned artifacts, dependency invalidation and FFmpeg"
ai-slide-editor,AI Slide Editor,other,real PPTX-scene-graph ActionPlan loop with reviewable plans and diff preview
ai-ui-builder-akshay,AI UI Builder by Akshay Chaulya,other,real plan-governed 3-role generator with review-to-repair loop within component vocabulary
ai-ui-builder-beingshappy,AI UI Builder by beingshappy,other,"pinned source, real GPT-4 provider route and sandboxed preview-download of the generated file bundle"
ai-ui-builder-devdiego,AI UI Builder by Diego Perez,other,pinned source with generation repair-gate and distinct iteration/version project graph
ai-ui-builder-eptura,AI UI Builder by Alexandr Davydov,other,real validated React component workspace with renderer
ai-ui-builder-isvaku,AI UI Builder by Rigoberto Quezada,other,"pinned source with typed model envelope, PostgreSQL-persisted conversation revisions and Babel sandbox preview"
ai-ui-builder-kiryuchi,AI-Powered UI Builder by kiryuchi10,other,pinned source with orchestrator and generation/history/validation/export service records
ai-ui-builder-merchantry,AI UI Builder by Merchantry,other,pinned source with constrained schema vocabulary and deterministic interpreter controlling visibility
ai-ui-builder-sharadpatil,AI UI Builder by Sharad Patil,other,pinned source with planner/generator/modifier agents and durable versionStore rollback
ai-ui-components-generator-thegreatbonnie,AI-Powered UI Components Generator,other,historical 2024-stopped session-level Copilot action generator; one concrete code-to-preview mechanism only
ai-ui-designer,AI UI Designer,other,live hosted generator with prompt-bound HTML/React exports giving concrete analyzable deliverables
ai-ui-generator,AI UI Generator / Design Engine,other,pinned source with constrained component vocabulary and react-live evaluation as the preview authority
ai-ui-generator-deepanshu,AI UI Generator by Deepanshu Sharma,other,pinned source with planner/generator registry validation and versionStore loop
ai-ui-generator-dhruv,AI UI Generator by Dhruv Jain,other,"pinned source with Gemini orchestration, acceptance gate and browser version graph"
ai-ui-generator-harshi,AI UI Generator by Harshi,other,pinned source with real OpenAI generation and editor/apply/revert preview flow
ai-ui-generator-kahab,AI UI Generator by Mohammed Kahab,other,pinned source with constrained LandingPageConfig schema contract and fixed renderer
ai-ui-generator-mohit,AI UI Generator by Mohit Aggarwal,other,pinned source with planner/generator validator and MongoDB durable version history
ai-ui-generator-mondo,AI UI Generator by Mohannad Abdelrazek,other,"pinned source with real OpenAI call, HTML/React dual projection and bounded local history"
ai-ui-generator-yash,AI UI Generator by yashsaini0759,other,pinned source with schema-constrained generation and process-scoped rollback session
ai-ui-style-director,AI UI Style Director,other,"pinned source with deterministic catalog, provider refinement and DESIGN.md project contract"
ai-ui-table-generator-dladislav,AI UI Table Generator,other,pinned source with tool-call schema producing typed table data and variant history
ai-ux-writer,AI UX Writer,other,"closed Figma plugin with no source, no usable contracts and no analyzable mechanism"
ai-voice-page-builder-graeber,AI Voice Page Builder,other,"historical 2024-stopped voice handoff demo; opaque external studio, only terminal projection submechanism"
ai-web-app-builder-mazzyy,AI Web App Builder by Abdul Musawar,other,pinned source with file-map project model and file-scoped generation plus download
ai-web-app-builder-shubha,AI-Powered Web App Builder by Shubha,other,pinned source with Mongo-backed durable continuation and version-producing refinement
ai-webpage-generator-achua,AI Webpage Generator by Achuajays,other,pinned source with pattern/palette constrained generation and artifact-anchored correction
ai-webpage-generator-pa741,AI Webpage Generator by Pablo de Groot,other,"pinned source with component-manager durable units, feedback routing and runtime benchmark"
ai-webpage-generator-pavan,AI Webpage Generator by Pavan Kumar,other,thin Streamlit delivery-only pipeline; preview and revision are roadmap items with partial substance
ai-website-builder-bonifacio,AI Website Builder by Bonifacio Calindoro,other,"pinned source with pickle-store version trail, restore and shared preview/publication document"
ai-website-builder-builtbyv,AI Website Builder by V,other,"agent skill plus starter site scaffold, thin but real workflow"
ai-website-builder-chitransh,AI Website Builder by Chitransh Chocksey,other,source-pinned builder; three-layer schema generation plus element-targeted refinement and chat correction
ai-website-builder-dennis,AI Website Builder by Dennis Faucher,other,source-pinned single-document generation via OpenRouter with prompt-history file and preview/download paths
ai-website-builder-firefetch,AI Website Builder by Firefetch,other,"source-pinned artifact graph with SQLite snapshots, two preview runtimes, and GitHub/Coolify delivery"
ai-website-builder-krishna,AI Website Builder by Krishna Paralkar,other,source-pinned OpenRouter single-document generator with SQLite user-project recovery
ai-website-builder-lab1207,AI Website Builder by Vaibhav Hajare,other,source-pinned browser workspace normalizing streaming GenAI output into a virtual file set with preview/export
ai-website-builder-lucas,AI Website Builder by Lucas H507,other,"source-pinned plan-and-embedding-driven assembly over a local foundation library, distinctive mechanism"
ai-website-builder-markec,AI Website Builder by markec12345678,other,source-pinned BYOK complete-HTML workspace with session undo and full authoring loop
ai-website-builder-mohammad,AI Website Builder by Mohammad Armaan,other,source-pinned PostgreSQL frames with contenteditable element-inspection direct-manipulation correction
ai-website-builder-ratna,AI-Powered Website Builder by Ratna Babu,other,source-pinned Convex-backed file-bundle generator with Sandpack preview and JSON-validated generation
ai-website-builder-safwan,AI Website Builder by Safwan Hanif,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
ai-website-builder-shekhbasir,AI Website Builder by Shekh Basir,other,"source-pinned Mongo-backed single-document builder with conversation, editor and deploy-slug state"
ai-website-builder-subrata,AI Website Builder by Subrata Ghosh,other,source-pinned filesystem pipeline multi-page generation with preview and ZIP delivery
ai-website-builder-vardhan,AI Website Builder by Vardhan V,other,source-pinned conversational single-document builder with conversation-grounded regeneration
ai-website-builder-vijay,AI Website Builder by Vijay Kusekar,other,"source-pinned file-plan-then-generate builder with Mongo file graph, hashes, revision ops and version metadata"
ai-website-builder-zaran,AI Website Builder by Zyra,other,source-pinned append-style WebsiteVersion artifact history separate from chat
ai-website-generator-aditya-umale,AI Website Generator by Aditya Umale,other,source-pinned multi-page React graph generator with Babel materialization and deterministic edit overlays
ai-website-generator-aifeifei,AI Website Generator by aifeifei798,other,source-pinned plan-driven CLI pipeline feeding design document into CSS and template generation
ai-website-generator-dhanu7789,AI Website Generator by Dhanu7789,other,source-pinned three-artifact generator with labeled-contract parsing and shared preview/delivery source
ai-website-generator-gokulbits,AI Website Generator by GokulBits18,other,"source-pinned local Llama JSON-contract generator with iframe projection, functional albeit session-only"
ai-website-generator-gururaj,AI Website Generator by GururajCharan,other,source-pinned Streamlit single-document generator with full authority chain and ZIP delivery
ai-website-generator-jordan,AI Website Generator by Jordan D'Souza,other,source-pinned bounded-schema TinyLlama generator with deterministic template materialization
ai-website-generator-kpriya,AI Website Generator by Krishna Priya,other,source-pinned single-document generator with whole-document reauthoring loop across editor/preview/improve/deliver
ai-website-generator-louvivien,AI Website Generator by Louvivien,other,source-pinned historical generator joining ChatGPT HTML and Stable Horde imagery with GitHub/Vercel delivery
ai-website-generator-maurya,AI Website Generator by Maurya Patel,other,source-pinned Groq-backed three-field session-local generator with ZIP export loop
ai-website-generator-nithin,AI Website Generator by Nithin1616,other,source-pinned Streamlit delimited-syntax generator with validated extraction and ZIP delivery
ai-website-generator-pappu,AI Website Generator by Pappu Kumar,other,"source-pinned Laravel generator persisting site records with intent, category and style in a database"
ai-website-generator-praneet,AI Website Generator by Praneet Biswal,other,"real local-first generator with pinned source, layer separation and ZIP materialization"
ai-website-generator-rishi,AI Website Generator by Rishikesh Ugale,other,real full-stack generator with visible fallback boundary and MongoDB project recovery
ai-website-generator-shaxx,AI Website Generator by Shaxxshankari,other,real multi-grounding generator with Figma MCP adapter and Netlify deploy pinned source
ai-website-generator-shrik4,AI Website Generator by shrik4,other,real multi-provider generator normalizing to a shared website schema
ai-website-generator-shrutika,AI Website Generator by Shrutika Kapade,other,real Streamlit+LangChain Gemini generator with pinned source and source-live preview
ai-website-generator-shubh,AI Website Generator by shubharthaksangharsha,other,real browser-side version-history generator across four providers with live product
ai-website-generator-tayyabeh,Agentic AI Website Builder by Tayyab Ellahi,other,real WebContainer workspace with pinned revision and explicit failure semantics
ai-website-generator-tony,AI-Powered Website Generator by Tony-VBB,other,real design-brief-stage generator with MongoDB persistence and real provider deploys
ai-website-generator-tulsi,AI Website Generator by Tulsi Pandey,other,real typed-blueprint generator with deterministic Python assembly and persistence
ai-website-generator-varun,AI Website Generator by Varun Sharma,other,real full-stack generator with analyzable dual-authority boundary though volatile state
ai-workflow-automation-vmk,AI Workflow Builder Platform by VMK-004,other,real database-backed DAG editor with multi-handler runtime and validation
ai-workflow-builder-anshii,AI Workflow Builder by Anshi Jain,other,"real relational typed-step workflow engine with triggers, RBAC and run engine"
ai-workflow-builder-fuleinist,ai-workflow-builder by fuleinist,other,real DAG-as-IR design-code translator executing generated Python/TS source
ai-workflow-builder-nids12,AI Workflow Builder by Nidhi Sarda,other,thin prototype whose runtime ignores graph topology and only follows a fixed Gemini recipe
ai-workflow-builder-rmounith,AI Workflow Builder by R. Mounith Reddy,other,source-level implementation with pinned repo and saved-graph-to-model execution loop
ai-workflow-builder-robertsbob,AI Workflow Builder by Roberts B,other,source-level Qt node graph with pinned evidence and parallel-stage workflow runner
ai-workflow-builder-sanket-hatti,AI Agent Workflow Builder by Sanket Hatti,other,real governed ordered-step executor with approval pauses despite missing schema
ai-workflow-builder-sneha-chaurasia,AI Workflow Builder by Sneha Chaurasia,other,prompt-to-n8n materialization emits only non-executable noOp scaffolding
ai-workflow-builder-subham-mohanta,AI Workflow Builder by Subham Mohanta,other,transitional governed runtime with hard-coded Gemini test and simulated action steps
ai-workflow-builder-toobahasnain,AI Workflow Builder by Syeda Tooba Hasnain,other,thin prompt-to-plan graph with decorative integrations and no execution or persistence
ai-workflow-builder-upinder28,AI Workflow Builder by Upinder Kaur,other,real ordered governed workflow with real Groq/HTTP execution and approval resume
ai-workflow-demilade,AI Workflow Builder by Demilade01,other,real database-backed graph authoring consumed by a recursive block-execution route
ai-workflow-tim-wijma,AI Workflow Builder by Tim Wijma,other,real Vue Flow editor backed by a real linear FastAPI/LiteLLM runtime
ai2ui-component-generator,AI2UI Component Generator,other,"historical small stream-to-component workspace, stale since 2024 with no project store"
aidemyst-agentstudio,Aidemyst AgentStudio,other,mature multi-tenant agent platform compiling saved graphs into real LangGraph execution
aidesigner,AIDesigner,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
aihouse,AIHouse,other,real commercial design-to-manufacture product with AI layout back into editable spatial graph
ainaming,AINaming,other,real pinned-source Figma plugin with anchor-constrained and deterministic validation split
aionui,AionUi,other,real desktop Cowork host with pinned source and workspace/editor/preview mechanism
aios,AIOS,other,"real canvas UI but run/deploy are fake setTimeout demos, backend unintegrated"
aipto,AIPTO,other,real hosted fashion canvas with identity-lock node graph and analyzable workflow
airship,Airship,other,"real open source overlay with element/source mapping and undo, pinned code"
aispirit-agent,AISpirit Agent,other,real agent workspace with event-driven Python runtime and pinned source
aiwebgenerator-kuroda,AIWebGenerator by Kuroda Kayn,other,real local-first Nuxt authoring system with versioned file graph and pinned source
akcli,akcli,other,real zero-dependency KiCad schematic CLI
akn-website-generator,AKN AI Website Generator,other,real hosted HTML generator with pinned source and conversation-as-source trail
ako-visual-design-agent,AKO Visual Design Agent,other,real deterministic design pipeline with review gate
algocraft,AlgoCraft,other,real prompt-to-app workbench with human approval gate and pinned source
alice-sdf,ALICE-SDF,other,real SDF geometry runtime with LLM text-to-3D server and pinned source
alloy,Alloy,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
alwaysblue,AlwaysBlue,other,real Django landing generator with retrieval/component mechanism and pinned source
amaroad,Amaroad,other,real MDX slide environment with source authority and pinned source
ams-io-agent,AMS-IO-Agent,other,real EDA IO-ring agent with intent graph and pinned benchmark evidence
anima,Anima,other,"real hosted product with strong contracts (docs, MCP, SDK source, Git artifact authority)"
aniya-studio,Aniya Studio,other,real HTML presentation editor with agent DOM-editing and pinned tests
anthropic-agent-skills,Anthropic Agent Skills,other,official pinned skill collection with concrete document/canvas/brand mechanisms
anthropic-claude-design,Claude Design,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
anthropic-course-uigen,UIGen Claude Code in Action sample,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
anti-ai-design,anti-ai-design,other,"skill-only auto-routed UI authoring with thin running-code evidence, no runnable engine"
antv-infographic,AntV Infographic,other,real parser/runtime/editor/exporter with model-tolerant grammar and source-level evidence
anything,Anything,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
apo,Apo,other,real Excalidraw planning agent with lossy-summary/structured-event mechanism and pinned source
app-club-design,App Club Design,other,real Nuxt Figma-like multi-screen canvas agent with project-state authority
app-store-screenshots,App Store Screenshots,other,real Next.js editor skill with disk-authoritative source-of-truth mechanism
appautomaton-presentation,App Automaton Presentation,other,real four-skill presentation suite with concrete plain-file handoff and renderers
appfromai,AppFromAI,other,real on-device mobile module factory with normalized module authority and permission gate
appiav2,AppiaV2,other,real Bolt-derivative managed project with Postgres persistence and deployment
appmaker,AppMaker,other,real one-page HTML app generator with single-document authority and pinned source
appy-pie-ui,Appy Pie AI UI Generator,other,real hosted no-code UI generator with distinct delivery contracts and analyzable lifecycle
archgen,ArchGen,other,"closed early-access product with only landing page and unverified claims, no usable contracts"
archie-ea,Archie,other,real enterprise portfolio/AI governance tool with ARB workflows and pinned source
archiflow,ArchiFlow,other,real WAM architecture editor with AI routes and pinned full-stack source
archify,Archify,other,real agent-authored IR compiled to diagrams with concrete JS pipeline and delta
archigen,ArchiGen,other,real brief-to-graph editor with editable graph authority and pinned source
archischema,Archischema,other,"real Rust/Leptos schema designer with AI graph operations and CRDT, pinned source"
architechtures,ARCHITEChTURES,other,"hosted BIM product with analyzable workflow, mode invalidation rule and product contracts"
architect-studio-x,Architect Studio X,other,open-source typed-mutation graph IDE with pinned source-level evidence
architecture-drawio-automation,Architecture Draw.io Automation,other,open-source MCP server writing native drawio XML with pinned source
archon-workflows,Archon by Cole Medin,other,open-source workflow control plane with pinned source and gates/artifacts mechanism
archondev,ArchonDev,other,"packaged product with DESIGN.md truth contract, QA gates and VSIX artifact"
arckit,ArcKit,other,open-source architecture-governance plugin with pinned source and artifact graph
argus-sammy,Argus by Sammy Tourani,other,open-source derivative with pinned source and build/deploy double-ledger mechanism
artclaw-bridge,ArtClaw Bridge,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
artifex-ui-generator,Artifex UI Generator,other,real component generator with Gemini and Babel preview
artiso,ARTISO,other,hosted fashion collection-lifecycle product with analyzable workflow contracts
asciitecture,Asciitecture,other,working ASCII canvas app that exports markdown and defines an agent handoff contract
astron-rpa,Astron RPA,other,iFLYTEK open-source RPA with pinned source and large deterministic action catalog
atlas-3d-design,Atlas 3D Design Team,other,"architecture-level team/skill manifests only, no scene runtime"
atlas-design-ux,Atlas Design UX Team,other,"architecture-level team contracts; artifacts external, no visual runtime to inspect"
atomic-component-generator,Atomic Component Generator,other,"closed Figma plugin with only landing page, no source or acceptance evidence"
atoms,Atoms,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
atv-design,ATV Design,other,open-source desktop agent with pinned source and OAuth/BYOK architecture
aura-ai-workflow-builder,Aura AI Workflow Builder,other,working LiteGraph canvas with backend graph executor
aurelius,Aurelius,other,open-source gated design-to-code pipeline with pinned source and lockfile
auricide,AuricIDE,other,open-source orchestration-as-design system with pinned source and SQLite goal state
auteur,auteur,other,open-source site-building skill with pinned source and screenshot gate
author-autograph,Author,other,open-source document-native diagram agent with pinned source evidence
auto-slides,Auto-Slides,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
autockt,AutoCkt,other,open-source RL+SPICE circuit-design loop with pinned source and traceable mechanism
autocraft,Autocraft,other,live beta product with three mutation lanes as a concrete analyzable mechanism
autodesk-flow-studio,Autodesk Flow Studio,other,hosted Autodesk CG production product with analyzable scene/export contracts
autodesk-platform-services-skills,Agent Skills for Autodesk Platform Services,other,pinned skills packaging execution contracts with deterministic generators
autogpt,AutoGPT Platform,other,open-source agent platform with pinned source and versioned-graph execution
automotive-skills-suite,Automotive Skills Suite,other,pinned builder/reviewer chain with file contracts forming system graph
awesome-design-extractor,Awesome Design Extractor,other,real agent skill with validation script and worked preview examples
aws-architecture-diagram-skill,AWS Architecture Diagram Skill,other,"pinned visual language with templates, validator and icon references"
aws-deploy-on-aws,AWS Deploy on AWS plugin,other,real architecture-diagram skill with validator
ayushi-ai,Ayushi.AI,other,"open-source document-driven site builder with pinned source, though thin persistence"
azure-diagram-mcp-server,Azure Diagram MCP Server,other,"working MCP diagram server with AST security scan and viewer, pinned source"
azure-diagram-skill,Azure Diagram Skill,other,pinned skill with mxGraph rules plus bundled VS Code extension handoff
